time,Detroit,pts.away,score,pts.home,LA Clippers
3:18.0,,,85-102,,Personal foul by E. Udoh (drawn by S. Dinwiddie)
3:13.0,Shooting foul by E. Udoh (drawn by J. Meeks),,85-102,,
3:13.0,J. Meeks makes free throw 1 of 2,1,86-102,,
3:13.0,J. Meeks makes free throw 2 of 2,1,87-102,,
2:59.0,,,87-105,3,C. Douglas-Roberts makes 3-pt shot from 22 ft (assist by J. Farmar)
2:42.0,J. Jerebko makes 2-pt shot from 20 ft (assist by J. Meeks),2,89-105,,
2:22.0,,,89-105,,Shooting foul by A. Drummond (drawn by C. Douglas-Roberts)
2:22.0,,,89-106,1,C. Douglas-Roberts makes free throw 1 of 2
2:22.0,,,89-106,,J. Cunningham enters the game for J. Farmar
2:22.0,,,89-106,,R. Bullock enters the game for J. Crawford
2:22.0,,,89-107,1,C. Douglas-Roberts makes free throw 2 of 2
2:09.0,J. Jerebko misses 3-pt shot from 24 ft,,89-107,,
2:07.0,,,89-107,,Defensive rebound by J. Cunningham
1:58.0,,,89-109,2,C. Douglas-Roberts makes 2-pt shot from 1 ft
1:38.0,S. Dinwiddie misses 3-pt shot from 26 ft,,89-109,,
1:37.0,,,89-109,,Defensive rebound by R. Bullock
1:34.0,,,89-109,,Shooting foul by J. Meeks (drawn by J. Cunningham)
1:34.0,,,89-109,,J. Cunningham misses free throw 1 of 2
1:34.0,,,89-109,,Offensive rebound by Team
1:34.0,,,89-110,1,J. Cunningham makes free throw 2 of 2
1:20.0,J. Meeks misses 3-pt shot from 24 ft,,89-110,,
1:19.0,,,89-110,,Defensive rebound by H. Turkoglu
1:06.0,,,89-110,,Turnover by H. Turkoglu (bad pass; steal by J. Meeks)
1:03.0,J. Meeks makes 2-pt shot at rim,2,91-110,,
0:52.0,,,91-113,3,H. Turkoglu makes 3-pt shot from 23 ft (assist by J. Cunningham)
0:29.0,A. Drummond misses 2-pt shot from 2 ft,,91-113,,
0:29.0,Offensive rebound by Team,,91-113,,
0:27.0,J. Jerebko misses 3-pt shot from 24 ft,,91-113,,
0:26.0,,,91-113,,Defensive rebound by E. Udoh
0:02.0,,,91-113,,Turnover by Team (shot clock)
0:01.0,S. Dinwiddie misses 3-pt shot from 50 ft,,91-113,,
0:00.0,Offensive rebound by Team,,91-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
