time,Phoenix,pts.away,score,pts.home,Boston
7:13.0,M. Morris makes 2-pt shot from 10 ft (assist by E. Bledsoe),2,95-93,,
6:52.0,,,95-95,2,J. Sullinger makes 2-pt shot at rim (assist by P. Pressey)
6:34.0,M. Morris makes 2-pt shot at rim,2,97-95,,
6:16.0,,,97-97,2,P. Pressey makes 2-pt shot at rim
6:12.0,,,97-97,,Personal foul by P. Pressey (drawn by E. Bledsoe)
6:12.0,,,97-97,,R. Rondo enters the game for P. Pressey
6:12.0,G. Dragic enters the game for G. Green,,97-97,,
6:12.0,,,97-97,,T. Zeller enters the game for J. Sullinger
6:06.0,,,97-97,,Personal foul by R. Rondo (drawn by E. Bledsoe)
5:52.0,E. Bledsoe makes 2-pt shot from 4 ft,2,99-97,,
5:41.0,,,99-97,,J. Green misses 3-pt shot from 24 ft
5:40.0,,,99-97,,Offensive rebound by T. Zeller
5:33.0,,,99-97,,Turnover by R. Rondo (lost ball; steal by E. Bledsoe)
5:24.0,T. Warren makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,102-97,,
5:08.0,,,102-99,2,E. Turner makes 2-pt shot from 13 ft (assist by T. Zeller)
4:52.0,M. Morris misses 2-pt shot from 8 ft,,102-99,,
4:51.0,,,102-99,,Defensive rebound by R. Rondo
4:44.0,,,102-101,2,T. Zeller makes 2-pt shot from 11 ft (assist by R. Rondo)
4:32.0,Turnover by G. Dragic (step out of bounds),,102-101,,
4:32.0,,,102-101,,Boston full timeout
4:32.0,A. Len enters the game for M. Plumlee,,102-101,,
4:32.0,M. Morris enters the game for T. Warren,,102-101,,
4:19.0,,,102-103,2,J. Green makes 2-pt shot from 4 ft (assist by E. Turner)
4:04.0,M. Morris makes 2-pt shot from 3 ft,2,104-103,,
3:44.0,,,104-105,2,J. Green makes 2-pt shot from 2 ft
3:29.0,,,104-105,,Personal foul by E. Turner (drawn by M. Morris)
3:24.0,E. Bledsoe misses 2-pt shot from 2 ft,,104-105,,
3:23.0,Offensive rebound by A. Len,,104-105,,
3:22.0,A. Len makes 2-pt shot at rim,2,106-105,,
3:22.0,Shooting foul by A. Bradley (drawn by A. Len),,106-105,,
3:22.0,A. Len makes free throw 1 of 1,1,107-105,,
3:17.0,Shooting block foul by M. Morris (drawn by J. Green),,107-105,,
3:17.0,,,107-106,1,J. Green makes free throw 1 of 2
3:17.0,,,107-106,,B. Bass enters the game for E. Turner
3:17.0,,,107-107,1,J. Green makes free throw 2 of 2
2:59.0,G. Dragic makes 3-pt shot from 23 ft (assist by M. Morris),3,110-107,,
2:46.0,,,110-107,,Offensive charge foul by J. Green
2:46.0,,,110-107,,Turnover by J. Green (offensive foul)
2:46.0,Phoenix full timeout,,110-107,,
2:30.0,Turnover by M. Morris (traveling),,110-107,,
2:30.0,,,110-107,,J. Sullinger enters the game for B. Bass
2:21.0,,,110-109,2,T. Zeller makes 2-pt shot from 1 ft (assist by R. Rondo)
2:03.0,M. Morris misses 3-pt shot from 25 ft,,110-109,,
2:01.0,,,110-109,,Defensive rebound by Team
1:44.0,,,110-111,2,J. Sullinger makes 2-pt shot from 20 ft (assist by A. Bradley)
1:32.0,E. Bledsoe misses 2-pt shot from 1 ft,,110-111,,
1:32.0,Offensive rebound by E. Bledsoe,,110-111,,
1:32.0,E. Bledsoe makes 2-pt shot from 1 ft,2,112-111,,
1:17.0,,,112-111,,Turnover by J. Sullinger (lost ball; steal by M. Morris)
1:00.0,Turnover by E. Bledsoe (bad pass; steal by J. Green),,112-111,,
0:57.0,,,112-113,2,J. Green makes 2-pt shot at rim
0:57.0,,,112-113,,Shooting foul by M. Morris (drawn by J. Green)
0:57.0,,,112-113,,B. Bass enters the game for J. Sullinger
0:57.0,,,112-114,1,J. Green makes free throw 1 of 1
0:57.0,Phoenix full timeout,,112-114,,
0:46.0,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris),2,114-114,,
0:43.0,,,114-114,,Boston full timeout
0:43.0,,,114-114,,J. Sullinger enters the game for B. Bass
0:33.0,,,114-114,,Turnover by A. Bradley (bad pass; steal by E. Bledsoe)
0:30.0,E. Bledsoe makes 2-pt shot from 1 ft,2,116-114,,
0:30.0,,,116-114,,Boston full timeout
0:30.0,,,116-114,,K. Olynyk enters the game for T. Zeller
0:22.0,,,116-114,,J. Green misses 3-pt shot from 27 ft
0:21.0,Defensive rebound by A. Len,,116-114,,
0:20.0,,,116-114,,Personal take foul by R. Rondo (drawn by A. Len)
0:20.0,A. Len makes free throw 1 of 2,1,117-114,,
0:20.0,,,117-114,,B. Bass enters the game for K. Olynyk
0:20.0,A. Len makes free throw 2 of 2,1,118-114,,
0:03.0,Personal foul by A. Len (drawn by R. Rondo),,118-114,,
0:03.0,,,118-114,,R. Rondo misses free throw 1 of 3
0:03.0,,,118-114,,Offensive rebound by Team
0:03.0,,,118-114,,R. Rondo misses free throw 2 of 3
0:03.0,,,118-114,,Offensive rebound by Team
0:03.0,,,118-114,,R. Rondo misses free throw 3 of 3
0:02.0,Defensive rebound by M. Morris,,118-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
