time,Boston,pts.away,score,pts.home,Orlando
3:30.0,,,81-90,,E. Fournier enters the game for E. Payton
3:30.0,T. Zeller makes free throw 2 of 2,1,82-90,,
3:08.0,,,82-90,,N. Vucevic misses 2-pt shot from 19 ft
3:07.0,Defensive rebound by K. Olynyk,,82-90,,
3:01.0,T. Zeller makes 2-pt shot from 1 ft (assist by J. Nelson),2,84-90,,
2:40.0,,,84-90,,V. Oladipo misses 2-pt shot from 6 ft
2:38.0,Defensive rebound by E. Turner,,84-90,,
2:34.0,K. Olynyk makes 3-pt shot from 25 ft (assist by E. Turner),3,87-90,,
2:33.0,,,87-90,,Orlando full timeout
2:15.0,,,87-92,2,T. Harris makes 2-pt shot from 10 ft (assist by V. Oladipo)
1:59.0,K. Olynyk misses 3-pt shot from 25 ft,,87-92,,
1:59.0,,,87-92,,Defensive rebound by Team
1:59.0,Loose ball foul by K. Olynyk (drawn by K. O'Quinn),,87-92,,
1:59.0,,,87-93,1,K. O'Quinn makes free throw 1 of 2
1:59.0,,,87-94,1,K. O'Quinn makes free throw 2 of 2
1:38.0,T. Zeller makes 2-pt shot at rim (assist by J. Crowder),2,89-94,,
1:25.0,Personal foul by J. Crowder (drawn by K. O'Quinn),,89-94,,
1:25.0,,,89-95,1,K. O'Quinn makes free throw 1 of 2
1:25.0,,,89-96,1,K. O'Quinn makes free throw 2 of 2
1:25.0,Boston full timeout,,89-96,,
1:25.0,A. Bradley enters the game for J. Crowder,,89-96,,
1:17.0,E. Turner misses 2-pt shot from 10 ft,,89-96,,
1:13.0,,,89-96,,Defensive rebound by K. O'Quinn
0:53.0,,,89-96,,E. Fournier misses 2-pt shot from 20 ft
0:50.0,Defensive rebound by K. Olynyk,,89-96,,
0:42.0,J. Nelson misses 3-pt shot from 29 ft,,89-96,,
0:40.0,,,89-96,,Defensive rebound by V. Oladipo
0:37.0,Personal take foul by J. Nelson (drawn by V. Oladipo),,89-96,,
0:37.0,,,89-96,,V. Oladipo misses free throw 1 of 2
0:37.0,,,89-96,,Offensive rebound by Team
0:37.0,,,89-97,1,V. Oladipo makes free throw 2 of 2
0:37.0,Boston full timeout,,89-97,,
0:34.0,T. Zeller makes 2-pt shot at rim (assist by K. Olynyk),2,91-97,,
0:34.0,,,91-97,,Shooting block foul by V. Oladipo (drawn by T. Zeller)
0:34.0,M. Smart enters the game for J. Nelson,,91-97,,
0:34.0,P. Pressey enters the game for K. Olynyk,,91-97,,
0:34.0,T. Zeller makes free throw 1 of 1,1,92-97,,
0:31.0,Personal foul by A. Bradley (drawn by E. Fournier),,92-97,,
0:31.0,,,92-97,,E. Fournier misses free throw 1 of 2
0:31.0,,,92-97,,Offensive rebound by Team
0:31.0,J. Nelson enters the game for M. Smart,,92-97,,
0:31.0,K. Olynyk enters the game for P. Pressey,,92-97,,
0:31.0,,,92-98,1,E. Fournier makes free throw 2 of 2
0:23.0,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner),3,95-98,,
0:19.0,Personal take foul by T. Zeller (drawn by T. Harris),,95-98,,
0:19.0,,,95-98,,T. Harris misses free throw 1 of 2
0:19.0,,,95-98,,Offensive rebound by Team
0:19.0,,,95-99,1,T. Harris makes free throw 2 of 2
0:07.0,J. Nelson misses 3-pt shot from 25 ft,,95-99,,
0:06.0,,,95-99,,Defensive rebound by K. O'Quinn
0:01.0,Personal foul by E. Turner (drawn by T. Harris),,95-99,,
0:01.0,,,95-100,1,T. Harris makes free throw 1 of 2
0:01.0,,,95-100,,T. Harris misses free throw 2 of 2
0:01.0,Defensive rebound by K. Olynyk,,95-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
