time,Toronto,pts.away,score,pts.home,Golden State
2:20.0,,,101-121,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
1:53.0,G. Vasquez misses 3-pt shot from 23 ft,,101-121,,
1:50.0,,,101-121,,Defensive rebound by A. Iguodala
1:38.0,,,101-124,3,S. Curry makes 3-pt shot from 27 ft
1:38.0,Toronto full timeout,,101-124,,
1:38.0,T. Hansbrough enters the game for K. Lowry,,101-124,,
1:38.0,L. Fields enters the game for P. Patterson,,101-124,,
1:38.0,L. Nogueira enters the game for L. Williams,,101-124,,
1:38.0,,,101-124,,J. Holiday enters the game for K. Thompson
1:38.0,,,101-124,,S. Livingston enters the game for S. Curry
1:28.0,T. Hansbrough makes 2-pt shot from 3 ft (assist by G. Vasquez),2,103-124,,
1:10.0,,,103-126,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
0:54.0,G. Vasquez misses 2-pt shot from 10 ft,,103-126,,
0:53.0,,,103-126,,Defensive rebound by D. Green
0:32.0,,,103-126,,M. Speights misses 3-pt shot from 23 ft
0:31.0,Defensive rebound by L. Nogueira,,103-126,,
0:21.0,L. Fields misses 2-pt shot from 2 ft,,103-126,,
0:20.0,Offensive rebound by T. Hansbrough,,103-126,,
0:20.0,T. Hansbrough misses 2-pt shot from 1 ft,,103-126,,
0:19.0,Offensive rebound by T. Hansbrough,,103-126,,
0:19.0,Shooting foul by A. Iguodala (drawn by T. Hansbrough),,103-126,,
0:19.0,T. Hansbrough misses free throw 1 of 2,,103-126,,
0:19.0,Offensive rebound by Team,,103-126,,
0:19.0,,,103-126,,O. Kuzmic enters the game for D. Green
0:19.0,T. Hansbrough misses free throw 2 of 2,,103-126,,
0:19.0,Offensive rebound by L. Fields,,103-126,,
0:19.0,L. Fields makes 2-pt shot from 1 ft,2,105-126,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
