time,Denver,pts.away,score,pts.home,San Antonio
1:18.0,,,93-121,,P. Mills misses 2-pt shot from 4 ft
1:16.0,Defensive rebound by E. Green,,93-121,,
1:06.0,E. Green misses 2-pt shot from 4 ft,,93-121,,
1:05.0,,,93-121,,Defensive rebound by J. Ayres
0:56.0,,,93-121,,Turnover by J. Ayres (bad pass)
0:56.0,Denver full timeout,,93-121,,
0:37.0,G. Harris misses 3-pt shot from 25 ft,,93-121,,
0:36.0,,,93-121,,Defensive rebound by B. Diaw
0:15.0,,,93-121,,B. Diaw misses 2-pt shot from 5 ft
0:15.0,,,93-121,,Offensive rebound by J. Ayres
0:15.0,,,93-123,2,J. Ayres makes 2-pt shot from 1 ft
0:04.0,E. Green misses 2-pt shot from 19 ft,,93-123,,
0:03.0,,,93-123,,Defensive rebound by M. Bonner
0:00.0,End of 4th quarter,,,,End of 4th quarter
