time,Miami,pts.away,score,pts.home,New Orleans
1:11.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,102-100,,
1:11.0,,,102-100,,New Orleans full timeout
1:11.0,,,102-100,,A. Ajinca enters the game for D. Cunningham
1:11.0,,,102-100,,L. Babbitt enters the game for O. Asik
1:00.0,,,102-102,2,A. Ajinca makes 2-pt shot from 2 ft (assist by E. Gordon)
0:39.0,Miami full timeout,,102-102,,
0:39.0,,,102-102,,O. Asik enters the game for L. Babbitt
0:39.0,,,102-102,,D. Cunningham enters the game for A. Ajinca
0:36.0,H. Walker misses 3-pt shot from 28 ft,,102-102,,
0:36.0,Offensive rebound by Team,,102-102,,
0:36.0,Turnover by Team (shot clock),,102-102,,
0:36.0,,,102-102,,New Orleans full timeout
0:36.0,,,102-102,,L. Babbitt enters the game for D. Cunningham
0:36.0,,,102-102,,A. Ajinca enters the game for O. Asik
0:36.0,M. Chalmers enters the game for G. Dragic,,102-102,,
0:26.0,,,102-104,2,A. Ajinca makes 2-pt shot from 3 ft (assist by E. Gordon)
0:26.0,Miami full timeout,,102-104,,
0:26.0,G. Dragic enters the game for M. Chalmers,,102-104,,
0:26.0,,,102-104,,D. Cunningham enters the game for L. Babbitt
0:26.0,,,102-104,,O. Asik enters the game for A. Ajinca
0:17.0,H. Whiteside misses 2-pt shot from 1 ft (block by O. Asik),,102-104,,
0:16.0,,,102-104,,Defensive rebound by O. Asik
0:15.0,,,102-104,,Turnover by O. Asik (bad pass)
0:01.0,D. Wade misses 3-pt shot from 25 ft,,102-104,,
0:00.0,Offensive rebound by Team,,102-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
