time,Philadelphia,pts.away,score,pts.home,Minnesota
3:47.0,Philadelphia full timeout,,73-70,,
3:47.0,N. Noel enters the game for H. Sims,,73-70,,
3:37.0,M. Carter-Williams misses 2-pt shot from 3 ft (block by A. Wiggins),,73-70,,
3:36.0,,,73-70,,Defensive rebound by A. Wiggins
3:32.0,,,73-72,2,T. Young makes 2-pt shot at rim (assist by A. Wiggins)
3:15.0,,,73-72,,Personal foul by A. Wiggins (drawn by R. Covington)
3:07.0,M. Carter-Williams misses 3-pt shot from 24 ft,,73-72,,
3:05.0,,,73-72,,Defensive rebound by M. Williams
2:52.0,,,73-72,,T. Young misses 2-pt shot from 6 ft
2:51.0,Defensive rebound by R. Covington,,73-72,,
2:35.0,M. Carter-Williams misses 2-pt shot from 8 ft,,73-72,,
2:34.0,,,73-72,,Defensive rebound by G. Dieng
2:17.0,,,73-75,3,M. Williams makes 3-pt shot from 24 ft
1:59.0,K. McDaniels makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,76-75,,
1:45.0,,,76-75,,Turnover by G. Dieng (traveling)
1:45.0,Philadelphia full timeout,,76-75,,
1:45.0,L. Mbah a Moute enters the game for H. Thompson,,76-75,,
1:34.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,78-75,,
1:34.0,,,78-75,,Minnesota full timeout
1:24.0,,,78-75,,T. Young misses 2-pt shot at rim
1:22.0,,,78-75,,Offensive rebound by G. Dieng
1:21.0,,,78-77,2,G. Dieng makes 2-pt shot from 1 ft
1:15.0,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,81-77,,
1:06.0,,,81-77,,M. Williams misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by M. Carter-Williams,,81-77,,
0:47.0,N. Noel makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,83-77,,
0:47.0,,,83-77,,Minnesota full timeout
0:35.0,,,83-77,,Offensive foul by M. Williams
0:35.0,,,83-77,,Turnover by M. Williams (offensive foul)
0:35.0,H. Sims enters the game for N. Noel,,83-77,,
0:31.0,,,83-77,,Personal take foul by C. Brewer (drawn by M. Carter-Williams)
0:31.0,Offensive foul by H. Sims,,83-77,,
0:31.0,Turnover by H. Sims (offensive foul),,83-77,,
0:31.0,N. Noel enters the game for H. Sims,,83-77,,
0:31.0,,,83-77,,C. Budinger enters the game for G. Dieng
0:26.0,,,83-77,,T. Young misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by M. Carter-Williams,,83-77,,
0:24.0,,,83-77,,Personal take foul by A. Wiggins (drawn by M. Carter-Williams)
0:24.0,M. Carter-Williams misses free throw 1 of 2,,83-77,,
0:24.0,Offensive rebound by Team,,83-77,,
0:24.0,M. Carter-Williams misses free throw 2 of 2,,83-77,,
0:24.0,,,83-77,,Defensive rebound by C. Budinger
0:15.0,,,83-77,,C. Budinger misses 3-pt shot from 25 ft
0:14.0,,,83-77,,Offensive rebound by T. Young
0:09.0,,,83-77,,C. Budinger misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by L. Mbah a Moute,,83-77,,
0:06.0,,,83-77,,Personal take foul by C. Budinger (drawn by L. Mbah a Moute)
0:06.0,L. Mbah a Moute makes free throw 1 of 2,1,84-77,,
0:06.0,L. Mbah a Moute makes free throw 2 of 2,1,85-77,,
0:03.0,,,85-77,,Turnover by M. Williams (lost ball; steal by N. Noel)
0:00.0,End of 4th quarter,,,,End of 4th quarter
