time,Indiana,pts.away,score,pts.home,Utah
0:43.0,,,98-93,,Personal foul by D. Exum (drawn by R. Stuckey)
0:43.0,R. Stuckey makes free throw 1 of 2,1,99-93,,
0:43.0,S. Hill enters the game for C. Miles,,99-93,,
0:43.0,R. Stuckey makes free throw 2 of 2,1,100-93,,
0:36.0,,,100-93,,G. Hayward misses 3-pt shot from 26 ft
0:35.0,,,100-93,,Offensive rebound by T. Booker
0:32.0,,,100-93,,D. Exum misses 3-pt shot from 24 ft
0:31.0,,,100-93,,Offensive rebound by Team
0:31.0,,,100-93,,Utah full timeout
0:31.0,D. Sloan enters the game for R. Stuckey,,100-93,,
0:27.0,Violation by D. West (kicked ball),,100-93,,
0:24.0,,,100-96,3,T. Booker makes 3-pt shot from 24 ft
0:23.0,Indiana full timeout,,100-96,,
0:23.0,C. Miles enters the game for S. Hill,,100-96,,
0:23.0,L. Scola enters the game for L. Allen,,100-96,,
0:21.0,,,100-96,,Personal foul by G. Hayward (drawn by C. Watson)
0:21.0,C. Watson misses free throw 1 of 2,,100-96,,
0:21.0,Offensive rebound by Team,,100-96,,
0:21.0,S. Hill enters the game for C. Miles,,100-96,,
0:21.0,C. Watson makes free throw 2 of 2,1,101-96,,
0:16.0,Personal foul by D. Sloan (drawn by G. Hayward),,101-96,,
0:16.0,,,101-97,1,G. Hayward makes free throw 1 of 2
0:16.0,C. Miles enters the game for S. Hill,,101-97,,
0:16.0,,,101-98,1,G. Hayward makes free throw 2 of 2
0:12.0,Turnover by L. Scola (bad pass; steal by J. Ingles),,101-98,,
0:12.0,,,101-98,,Utah full timeout
0:12.0,L. Allen enters the game for L. Scola,,101-98,,
0:12.0,S. Hill enters the game for D. Sloan,,101-98,,
0:10.0,Shooting block foul by C. Watson (drawn by D. Favors),,101-98,,
0:10.0,,,101-99,1,D. Favors makes free throw 1 of 2
0:10.0,,,101-100,1,D. Favors makes free throw 2 of 2
0:08.0,,,101-100,,Personal foul by D. Exum (drawn by C. Miles)
0:08.0,C. Miles makes free throw 1 of 2,1,102-100,,
0:08.0,C. Miles makes free throw 2 of 2,1,103-100,,
0:08.0,,,103-100,,Utah full timeout
0:06.0,Personal foul by S. Hill (drawn by G. Hayward),,103-100,,
0:06.0,,,103-100,,G. Hayward misses free throw 1 of 2
0:06.0,,,103-100,,Offensive rebound by Team
0:06.0,,,103-101,1,G. Hayward makes free throw 2 of 2
0:05.0,,,103-101,,Personal foul by G. Hayward (drawn by S. Hill)
0:05.0,S. Hill makes free throw 1 of 2,1,104-101,,
0:05.0,S. Hill makes free throw 2 of 2,1,105-101,,
0:02.0,,,105-101,,G. Hayward misses 3-pt shot from 31 ft
0:01.0,Defensive rebound by C. Watson,,105-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
