time,Brooklyn,pts.away,score,pts.home,Minnesota
0:58.0,Personal foul by C. Jefferson (drawn by A. Payne),,119-106,,
0:47.0,,,119-106,,C. Budinger misses 2-pt shot from 16 ft
0:46.0,,,119-106,,Offensive rebound by A. Wiggins
0:44.0,,,119-106,,A. Wiggins misses 2-pt shot at rim
0:42.0,Defensive rebound by A. Anderson,,119-106,,
0:26.0,B. Bogdanovic misses 2-pt shot from 21 ft,,119-106,,
0:25.0,Offensive rebound by D. Morris,,119-106,,
0:04.0,A. Anderson makes 3-pt shot from 24 ft (assist by D. Morris),3,122-106,,
0:01.0,,,122-106,,Z. LaVine misses 3-pt shot from 28 ft
0:00.0,,,122-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
