time,Philadelphia,pts.away,score,pts.home,Orlando
2:58.0,Defensive rebound by R. Covington,,89-94,,
2:39.0,J. Sampson makes 2-pt shot at rim (assist by N. Noel),2,91-94,,
2:31.0,Personal foul by I. Canaan (drawn by E. Payton),,91-94,,
2:31.0,,,91-94,,E. Payton misses free throw 1 of 2
2:31.0,,,91-94,,Offensive rebound by Team
2:31.0,,,91-94,,E. Payton misses free throw 2 of 2
2:30.0,Defensive rebound by H. Thompson,,91-94,,
2:22.0,Turnover by R. Covington (bad pass),,91-94,,
2:22.0,Loose ball foul by I. Canaan (drawn by E. Payton),,91-94,,
2:22.0,,,91-95,1,E. Payton makes free throw 1 of 2
2:22.0,,,91-96,1,E. Payton makes free throw 2 of 2
2:15.0,Philadelphia full timeout,,91-96,,
2:15.0,T. Frazier enters the game for I. Canaan,,91-96,,
2:02.0,Shooting foul by V. Oladipo (drawn by J. Sampson),,91-96,,
2:02.0,J. Sampson makes free throw 1 of 2,1,92-96,,
2:02.0,,,92-96,,L. Ridnour enters the game for E. Payton
2:02.0,J. Sampson makes free throw 2 of 2,1,93-96,,
1:45.0,,,93-96,,Turnover by V. Oladipo (bad pass; steal by N. Noel)
1:37.0,J. Sampson makes 2-pt shot from 2 ft (assist by H. Thompson),2,95-96,,
1:37.0,,,95-96,,Orlando full timeout
1:37.0,,,95-96,,E. Payton enters the game for L. Ridnour
1:25.0,Away from play foul by H. Thompson (drawn by V. Oladipo),,95-96,,
1:25.0,I. Canaan enters the game for T. Frazier,,95-96,,
1:25.0,,,95-97,1,V. Oladipo makes free throw 1 of 1
1:12.0,,,95-97,,V. Oladipo misses 2-pt shot at rim (block by H. Thompson)
1:12.0,,,95-97,,Offensive rebound by Team
1:05.0,,,95-97,,Shooting foul by R. Covington (drawn by W. Green)
1:05.0,T. Frazier enters the game for R. Covington,,95-97,,
1:05.0,,,95-98,1,W. Green makes free throw 1 of 2
1:05.0,,,95-99,1,W. Green makes free throw 2 of 2
1:01.0,Offensive charge foul by T. Frazier,,95-99,,
1:01.0,Turnover by H. Thompson (offensive foul),,95-99,,
0:48.0,,,95-101,2,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo)
0:48.0,Philadelphia full timeout,,95-101,,
0:31.0,I. Canaan makes 3-pt shot from 26 ft (assist by T. Frazier),3,98-101,,
0:31.0,,,98-101,,Orlando full timeout
0:24.0,,,98-101,,Orlando full timeout
0:14.0,Personal foul by N. Noel (drawn by V. Oladipo),,98-101,,
0:14.0,,,98-102,1,V. Oladipo makes free throw 1 of 2
0:14.0,,,98-103,1,V. Oladipo makes free throw 2 of 2
0:05.0,I. Canaan misses 3-pt shot from 27 ft (block by N. Vucevic),,98-103,,
0:02.0,,,98-103,,Defensive rebound by N. Vucevic
0:00.0,End of 4th quarter,,,,End of 4th quarter
