time,Philadelphia,pts.away,score,pts.home,Sacramento
8:16.0,,,91-96,,D. Cousins misses 2-pt shot from 4 ft (block by L. Mbah a Moute)
8:14.0,Defensive rebound by L. Mbah a Moute,,91-96,,
8:09.0,Turnover by I. Smith (lost ball; steal by A. Miller),,91-96,,
8:06.0,,,91-96,,Shooting foul by R. Covington (drawn by D. Cousins)
8:06.0,,,91-96,,Sacramento full timeout
8:06.0,,,91-97,1,D. Cousins makes free throw 1 of 2
8:06.0,,,91-98,1,D. Cousins makes free throw 2 of 2
7:55.0,H. Thompson misses 2-pt shot from 21 ft,,91-98,,
7:54.0,,,91-98,,Defensive rebound by D. Cousins
7:42.0,,,91-98,,N. Stauskas misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by N. Noel,,91-98,,
7:26.0,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith),3,94-98,,
7:12.0,,,94-98,,Turnover by A. Miller (bad pass; steal by L. Mbah a Moute)
7:09.0,R. Covington makes 2-pt shot at rim (assist by I. Smith),2,96-98,,
7:09.0,,,96-98,,Shooting block foul by A. Miller (drawn by R. Covington)
7:09.0,,,96-98,,R. Gay enters the game for N. Stauskas
7:09.0,R. Covington makes free throw 1 of 1,1,97-98,,
6:56.0,,,97-98,,D. Cousins misses 2-pt shot from 4 ft
6:54.0,Defensive rebound by R. Covington,,97-98,,
6:48.0,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith),3,100-98,,
6:44.0,,,100-98,,Sacramento full timeout
6:27.0,,,100-98,,Shooting foul by R. Covington (drawn by D. Cousins)
6:27.0,,,100-99,1,D. Cousins makes free throw 1 of 2
6:27.0,,,100-99,,N. Stauskas enters the game for J. Thompson
6:27.0,,,100-100,1,D. Cousins makes free throw 2 of 2
6:12.0,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel),3,103-100,,
5:47.0,,,103-100,,R. Gay misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by I. Smith,,103-100,,
5:40.0,Turnover by I. Smith (bad pass; steal by D. Cousins),,103-100,,
5:33.0,,,103-100,,R. Gay misses 2-pt shot at rim
5:32.0,,,103-100,,Offensive rebound by R. Gay
5:32.0,,,103-100,,R. Gay misses 2-pt shot at rim
5:31.0,Defensive rebound by I. Smith,,103-100,,
5:22.0,I. Smith misses 2-pt shot from 6 ft,,103-100,,
5:21.0,,,103-100,,Defensive rebound by R. Gay
5:13.0,Violation by H. Thompson (kicked ball),,103-100,,
5:13.0,T. Robinson enters the game for H. Thompson,,103-100,,
5:13.0,,,103-100,,R. McCallum enters the game for O. Casspi
5:13.0,,,103-100,,B. McLemore enters the game for A. Miller
5:05.0,,,103-102,2,B. McLemore makes 2-pt shot from 19 ft
4:50.0,T. Robinson misses 2-pt shot from 5 ft (block by D. Cousins),,103-102,,
4:49.0,Offensive rebound by T. Robinson,,103-102,,
4:49.0,Turnover by T. Robinson (lost ball),,103-102,,
4:49.0,J. Grant enters the game for L. Mbah a Moute,,103-102,,
4:49.0,Jump ball: D. Cousins vs. T. Robinson (R. Gay gains possession),,,,Jump ball: D. Cousins vs. T. Robinson (R. Gay gains possession)
4:30.0,,,103-102,,Turnover by B. McLemore (lost ball)
4:08.0,N. Noel misses 2-pt shot from 6 ft,,103-102,,
4:07.0,,,103-102,,Defensive rebound by R. Gay
3:58.0,,,103-102,,R. Gay misses 2-pt shot from 8 ft (block by N. Noel)
3:57.0,Defensive rebound by N. Noel,,103-102,,
3:46.0,Turnover by N. Noel (lost ball; steal by B. McLemore),,103-102,,
3:34.0,,,103-102,,R. McCallum misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by I. Smith,,103-102,,
3:27.0,Shooting foul by N. Stauskas (drawn by I. Smith),,103-102,,
3:27.0,I. Smith makes free throw 1 of 2,1,104-102,,
3:27.0,,,104-102,,D. Williams enters the game for N. Stauskas
3:27.0,L. Mbah a Moute enters the game for N. Noel,,104-102,,
3:27.0,I. Smith makes free throw 2 of 2,1,105-102,,
3:10.0,,,105-102,,R. McCallum misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by T. Robinson,,105-102,,
2:48.0,Turnover by I. Smith (lost ball; steal by D. Cousins),,105-102,,
2:34.0,,,105-102,,Turnover by R. Gay (traveling)
2:34.0,Official timeout,,105-102,,
2:34.0,N. Noel enters the game for J. Grant,,105-102,,
2:34.0,I. Canaan enters the game for T. Robinson,,105-102,,
2:21.0,I. Smith misses 2-pt shot from 4 ft (block by D. Cousins),,105-102,,
2:21.0,Offensive rebound by Team,,105-102,,
2:11.0,I. Smith misses 3-pt shot from 26 ft,,105-102,,
2:10.0,,,105-102,,Defensive rebound by B. McLemore
1:54.0,Personal foul by N. Noel (drawn by D. Cousins),,105-102,,
1:44.0,,,105-102,,Shooting foul by R. Covington (drawn by D. Williams)
1:44.0,,,105-103,1,D. Williams makes free throw 1 of 2
1:44.0,,,105-103,,D. Williams misses free throw 2 of 2
1:43.0,Defensive rebound by I. Smith,,105-103,,
1:41.0,Turnover by I. Smith (lost ball; steal by R. McCallum),,105-103,,
1:37.0,,,105-103,,R. Gay misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by Team,,105-103,,
1:36.0,,,105-103,,Loose ball foul by R. Gay (drawn by I. Smith)
1:20.0,Turnover by I. Canaan (bad pass),,105-103,,
1:20.0,,,105-103,,Sacramento full timeout
1:20.0,J. Grant enters the game for I. Canaan,,105-103,,
1:20.0,Personal foul by R. Covington (drawn by R. Gay),,105-103,,
1:20.0,,,105-104,1,R. Gay makes free throw 1 of 2
1:20.0,H. Thompson enters the game for J. Grant,,105-104,,
1:20.0,,,105-105,1,R. Gay makes free throw 2 of 2
1:02.0,Turnover by N. Noel (bad pass),,105-105,,
1:02.0,J. Grant enters the game for H. Thompson,,105-105,,
0:50.0,,,105-105,,D. Cousins misses 2-pt shot from 4 ft
0:49.0,,,105-105,,Offensive rebound by R. McCallum
0:49.0,,,105-107,2,R. McCallum makes 2-pt shot from 3 ft
0:49.0,Philadelphia full timeout,,105-107,,
0:49.0,H. Thompson enters the game for J. Grant,,105-107,,
0:40.0,Shooting foul by D. Cousins (drawn by R. Covington),,105-107,,
0:40.0,R. Covington misses free throw 1 of 2,,105-107,,
0:40.0,Offensive rebound by Team,,105-107,,
0:40.0,J. Grant enters the game for H. Thompson,,105-107,,
0:40.0,J. Sampson enters the game for I. Smith,,105-107,,
0:40.0,R. Covington makes free throw 2 of 2,1,106-107,,
0:18.0,,,106-107,,D. Cousins misses 2-pt shot from 5 ft (block by N. Noel)
0:15.0,,,106-107,,Offensive rebound by D. Cousins
0:14.0,,,106-107,,D. Cousins misses 2-pt shot from 12 ft
0:12.0,Defensive rebound by L. Mbah a Moute,,106-107,,
0:08.0,Philadelphia full timeout,,106-107,,
0:08.0,I. Smith enters the game for J. Sampson,,106-107,,
0:08.0,H. Thompson enters the game for J. Grant,,106-107,,
0:01.0,Turnover by H. Thompson (lost ball; steal by D. Cousins),,106-107,,
0:01.0,,,106-107,,R. McCallum misses 3-pt shot from 44 ft
0:00.0,,,106-107,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
