time,Denver,pts.away,score,pts.home,Detroit
1:50.0,,,79-88,,Turnover by G. Monroe (lost ball; steal by K. Faried)
1:40.0,Shooting foul by J. Jerebko (drawn by T. Lawson),,79-88,,
1:40.0,T. Lawson makes free throw 1 of 2,1,80-88,,
1:40.0,T. Lawson misses free throw 2 of 2,,80-88,,
1:39.0,,,80-88,,Defensive rebound by G. Monroe
1:28.0,,,80-88,,J. Jerebko misses 2-pt shot from 21 ft
1:26.0,,,80-88,,Offensive rebound by G. Monroe
1:08.0,,,80-88,,K. Singler misses 2-pt shot from 3 ft (block by K. Faried)
1:06.0,Defensive rebound by K. Faried,,80-88,,
1:01.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,82-88,,
0:58.0,Violation by T. Lawson (kicked ball),,82-88,,
0:53.0,Personal foul by R. Foye (drawn by D. Augustin),,82-88,,
0:53.0,,,82-89,1,D. Augustin makes free throw 1 of 2
0:53.0,,,82-90,1,D. Augustin makes free throw 2 of 2
0:53.0,Denver full timeout,,82-90,,
0:50.0,Shooting foul by D. Augustin (drawn by T. Lawson),,82-90,,
0:50.0,T. Lawson makes free throw 1 of 2,1,83-90,,
0:50.0,T. Lawson makes free throw 2 of 2,1,84-90,,
0:43.0,,,84-90,,Detroit full timeout
0:43.0,,,84-90,,Detroit full timeout
0:43.0,,,84-90,,J. Meeks enters the game for K. Caldwell-Pope
0:43.0,A. Gee enters the game for D. Gallinari,,84-90,,
0:40.0,,,84-90,,D. Augustin misses 2-pt shot at rim (block by W. Chandler)
0:38.0,,,84-90,,Offensive rebound by J. Jerebko
0:36.0,Personal foul by T. Lawson (drawn by G. Monroe),,84-90,,
0:36.0,,,84-91,1,G. Monroe makes free throw 1 of 2
0:36.0,,,84-91,,K. Caldwell-Pope enters the game for J. Meeks
0:36.0,D. Gallinari enters the game for A. Gee,,84-91,,
0:36.0,,,84-92,1,G. Monroe makes free throw 2 of 2
0:25.0,W. Chandler misses 3-pt shot from 26 ft,,84-92,,
0:24.0,Offensive rebound by D. Gallinari,,84-92,,
0:20.0,R. Foye misses 3-pt shot from 26 ft,,84-92,,
0:20.0,,,84-92,,Defensive rebound by D. Augustin
0:20.0,Personal foul by D. Gallinari (drawn by D. Augustin),,84-92,,
0:20.0,,,84-93,1,D. Augustin makes free throw 1 of 2
0:20.0,,,84-94,1,D. Augustin makes free throw 2 of 2
0:20.0,T. Lawson makes 2-pt shot from 18 ft,2,86-94,,
0:17.0,Personal foul by T. Lawson (drawn by D. Augustin),,86-94,,
0:17.0,,,86-95,1,D. Augustin makes free throw 1 of 2
0:17.0,,,86-96,1,D. Augustin makes free throw 2 of 2
0:13.0,D. Gallinari misses 3-pt shot from 23 ft,,86-96,,
0:10.0,Offensive rebound by K. Faried,,86-96,,
0:09.0,K. Faried makes 2-pt shot at rim,2,88-96,,
0:02.0,Personal foul by R. Foye (drawn by D. Augustin),,88-96,,
0:02.0,,,88-97,1,D. Augustin makes free throw 1 of 2
0:02.0,,,88-98,1,D. Augustin makes free throw 2 of 2
0:01.0,R. Foye misses 3-pt shot from 84 ft,,88-98,,
0:00.0,Offensive rebound by Team,,88-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
