time,Oklahoma City,pts.away,score,pts.home,Toronto
3:00.0,,,87-94,,T. Ross enters the game for L. Williams
2:43.0,,,87-94,,D. DeRozan misses 3-pt shot from 23 ft
2:42.0,,,87-94,,Offensive rebound by P. Patterson
2:39.0,,,87-96,2,P. Patterson makes 2-pt shot from 1 ft
2:25.0,N. Collison misses 2-pt shot from 15 ft,,87-96,,
2:24.0,Offensive rebound by N. Collison,,87-96,,
2:19.0,R. Jackson misses 2-pt shot from 18 ft,,87-96,,
2:19.0,,,87-96,,Defensive rebound by Team
2:19.0,Loose ball foul by S. Adams (drawn by T. Hansbrough),,87-96,,
2:19.0,,,87-97,1,T. Hansbrough makes free throw 1 of 2
2:19.0,,,87-98,1,T. Hansbrough makes free throw 2 of 2
2:07.0,Turnover by S. Adams (lost ball),,87-98,,
1:57.0,S. Telfair ejected from game,,87-98,,
1:57.0,L. Thomas enters the game for S. Telfair,,87-98,,
1:57.0,,,87-99,1,T. Hansbrough makes flagrant free throw 1 of 2
1:57.0,,,87-100,1,T. Hansbrough makes flagrant free throw 2 of 2
1:48.0,,,87-100,,Turnover by D. DeRozan (bad pass; steal by L. Thomas)
1:34.0,N. Collison misses 3-pt shot from 23 ft,,87-100,,
1:33.0,,,87-100,,Defensive rebound by T. Ross
1:10.0,,,87-100,,T. Hansbrough misses 3-pt shot from 23 ft
1:09.0,Defensive rebound by S. Ibaka,,87-100,,
1:09.0,Oklahoma City full timeout,,87-100,,
1:00.0,R. Jackson misses 3-pt shot from 28 ft,,87-100,,
1:00.0,Offensive rebound by N. Collison,,87-100,,
0:55.0,R. Jackson misses 2-pt shot from 2 ft (block by P. Patterson),,87-100,,
0:54.0,,,87-100,,Defensive rebound by P. Patterson
0:40.0,,,87-100,,D. DeRozan misses 2-pt shot from 11 ft
0:39.0,Defensive rebound by N. Collison,,87-100,,
0:29.0,Shooting foul by D. DeRozan (drawn by S. Adams),,87-100,,
0:29.0,S. Adams misses free throw 1 of 2,,87-100,,
0:29.0,Offensive rebound by Team,,87-100,,
0:29.0,S. Adams makes free throw 2 of 2,1,88-100,,
0:07.0,,,88-100,,T. Ross misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by S. Ibaka,,88-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
