time,Portland,pts.away,score,pts.home,Philadelphia
7:51.0,Shooting foul by H. Sims (drawn by D. Lillard),,65-62,,
7:51.0,D. Lillard makes free throw 1 of 1,1,66-62,,
7:41.0,,,66-62,,M. Carter-Williams misses 2-pt shot from 18 ft
7:39.0,Defensive rebound by N. Batum,,66-62,,
7:35.0,W. Matthews misses 2-pt shot from 1 ft (block by T. Wroten),,66-62,,
7:33.0,,,66-62,,Defensive rebound by H. Sims
7:12.0,,,66-64,2,H. Sims makes 2-pt shot from 15 ft (assist by L. Mbah a Moute)
7:01.0,N. Batum makes 2-pt shot from 17 ft,2,68-64,,
6:42.0,,,68-64,,H. Sims misses 2-pt shot from 16 ft
6:40.0,Defensive rebound by L. Aldridge,,68-64,,
6:32.0,D. Lillard misses 3-pt shot from 26 ft,,68-64,,
6:30.0,Offensive rebound by R. Lopez,,68-64,,
6:30.0,R. Lopez misses 2-pt shot at rim,,68-64,,
6:29.0,Offensive rebound by R. Lopez,,68-64,,
6:29.0,R. Lopez makes 2-pt shot at rim,2,70-64,,
6:29.0,,,70-64,,Philadelphia full timeout
6:29.0,S. Blake enters the game for W. Matthews,,70-64,,
6:29.0,,,70-64,,K. McDaniels enters the game for L. Mbah a Moute
6:29.0,,,70-64,,D. Gordon enters the game for H. Sims
6:29.0,,,70-64,,H. Thompson enters the game for M. Carter-Williams
6:11.0,,,70-64,,T. Wroten misses 2-pt shot from 2 ft (block by R. Lopez)
6:09.0,Defensive rebound by S. Blake,,70-64,,
6:00.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,72-64,,
5:46.0,,,72-66,2,T. Wroten makes 2-pt shot from 1 ft (assist by N. Noel)
5:35.0,L. Aldridge makes 2-pt shot from 17 ft (assist by S. Blake),2,74-66,,
5:09.0,,,74-68,2,H. Thompson makes 2-pt shot from 5 ft (assist by T. Wroten)
4:59.0,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake),2,76-68,,
4:37.0,,,76-68,,D. Gordon misses 2-pt shot from 20 ft
4:36.0,Defensive rebound by D. Lillard,,76-68,,
4:32.0,L. Aldridge makes 2-pt shot at rim (assist by S. Blake),2,78-68,,
4:31.0,,,78-68,,Philadelphia full timeout
4:31.0,,,78-68,,R. Covington enters the game for D. Gordon
4:20.0,,,78-68,,H. Thompson misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by S. Blake,,78-68,,
4:02.0,N. Batum makes 2-pt shot at rim (assist by R. Lopez),2,80-68,,
3:39.0,,,80-70,2,T. Wroten makes 2-pt shot from 1 ft (assist by N. Noel)
3:39.0,,,80-70,,Shooting foul by R. Lopez (drawn by T. Wroten)
3:39.0,C. Kaman enters the game for R. Lopez,,80-70,,
3:39.0,W. Matthews enters the game for N. Batum,,80-70,,
3:39.0,,,80-71,1,T. Wroten makes free throw 1 of 1
3:30.0,Shooting foul by T. Wroten (drawn by D. Lillard),,80-71,,
3:30.0,D. Lillard makes free throw 1 of 2,1,81-71,,
3:30.0,D. Lillard makes free throw 2 of 2,1,82-71,,
3:13.0,,,82-73,2,N. Noel makes 2-pt shot from 6 ft (assist by H. Thompson)
2:55.0,D. Lillard misses 3-pt shot from 26 ft,,82-73,,
2:54.0,,,82-73,,Defensive rebound by N. Noel
2:43.0,,,82-75,2,T. Wroten makes 2-pt shot from 2 ft
2:43.0,Portland full timeout,,82-75,,
2:43.0,A. Crabbe enters the game for D. Lillard,,82-75,,
2:43.0,,,82-75,,M. Carter-Williams enters the game for R. Covington
2:26.0,Shooting foul by K. McDaniels (drawn by L. Aldridge),,82-75,,
2:26.0,L. Aldridge makes free throw 1 of 2,1,83-75,,
2:26.0,L. Aldridge makes free throw 2 of 2,1,84-75,,
2:09.0,,,84-77,2,N. Noel makes 2-pt shot from 16 ft (assist by K. McDaniels)
1:52.0,S. Blake misses 3-pt shot from 25 ft,,84-77,,
1:50.0,,,84-77,,Defensive rebound by H. Thompson
1:42.0,,,84-77,,M. Carter-Williams misses 2-pt shot from 2 ft
1:40.0,Defensive rebound by W. Matthews,,84-77,,
1:34.0,W. Matthews misses 3-pt shot from 26 ft,,84-77,,
1:32.0,Offensive rebound by L. Aldridge,,84-77,,
1:26.0,L. Aldridge makes 3-pt shot from 25 ft (assist by S. Blake),3,87-77,,
1:05.0,,,87-77,,T. Wroten misses 2-pt shot from 5 ft
1:03.0,Defensive rebound by L. Aldridge,,87-77,,
0:54.0,W. Matthews makes 2-pt shot from 19 ft (assist by L. Aldridge),2,89-77,,
0:41.0,,,89-77,,M. Carter-Williams misses 2-pt shot from 19 ft
0:40.0,Defensive rebound by C. Kaman,,89-77,,
0:35.0,W. Matthews misses 2-pt shot from 2 ft,,89-77,,
0:33.0,,,89-77,,Defensive rebound by N. Noel
0:24.0,,,89-79,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by T. Wroten)
0:24.0,,,89-79,,Shooting foul by A. Crabbe (drawn by M. Carter-Williams)
0:24.0,,,89-79,,H. Sims enters the game for N. Noel
0:24.0,D. Lillard enters the game for A. Crabbe,,89-79,,
0:24.0,,,89-79,,L. Mbah a Moute enters the game for H. Sims
0:24.0,,,89-80,1,M. Carter-Williams makes free throw 1 of 1
0:01.0,S. Blake misses 3-pt shot from 23 ft,,89-80,,
0:00.0,Offensive rebound by Team,,89-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,W. Matthews misses 2-pt shot from 16 ft,,89-80,,
11:44.0,Offensive rebound by C. Kaman,,89-80,,
11:44.0,C. Kaman misses 2-pt shot from 3 ft,,89-80,,
11:42.0,,,89-80,,Defensive rebound by H. Thompson
11:27.0,Personal foul by C. Kaman (drawn by K. McDaniels),,89-80,,
11:21.0,,,89-80,,M. Carter-Williams misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by W. Matthews,,89-80,,
11:14.0,Turnover by W. Matthews (bad pass; steal by M. Carter-Williams),,89-80,,
11:11.0,,,89-82,2,M. Carter-Williams makes 2-pt shot at rim (assist by K. McDaniels)
10:51.0,S. Blake misses 3-pt shot from 26 ft,,89-82,,
10:49.0,,,89-82,,Defensive rebound by Team
10:25.0,,,89-82,,K. McDaniels misses 2-pt shot from 21 ft
10:23.0,Defensive rebound by C. Kaman,,89-82,,
10:13.0,C. Kaman misses 2-pt shot from 1 ft (block by K. McDaniels),,89-82,,
10:12.0,,,89-82,,Defensive rebound by L. Mbah a Moute
10:05.0,,,89-82,,Turnover by H. Thompson (bad pass; steal by W. Matthews)
