time,Orlando,pts.away,score,pts.home,Utah
1:56.0,Defensive rebound by A. Nicholson,,69-62,,
1:43.0,Turnover by E. Payton (bad pass; steal by J. Ingles),,69-62,,
1:38.0,,,69-62,,T. Burke misses 3-pt shot from 24 ft
1:36.0,,,69-62,,Offensive rebound by T. Burke
1:34.0,Personal foul by D. Dedmon (drawn by R. Gobert),,69-62,,
1:34.0,,,69-62,,R. Gobert misses free throw 1 of 2
1:34.0,,,69-62,,Offensive rebound by Team
1:34.0,W. Green enters the game for E. Fournier,,69-62,,
1:34.0,,,69-62,,I. Clark enters the game for T. Burke
1:34.0,,,69-62,,R. Gobert misses free throw 2 of 2
1:33.0,Defensive rebound by D. Dedmon,,69-62,,
1:17.0,,,69-62,,Personal foul by T. Booker (drawn by A. Nicholson)
1:04.0,Turnover by Team (shot clock),,69-62,,
0:52.0,,,69-62,,Turnover by T. Booker (bad pass)
0:33.0,Shooting foul by J. Ingles (drawn by B. Gordon),,69-62,,
0:33.0,B. Gordon makes free throw 1 of 2,1,70-62,,
0:33.0,,,70-62,,G. Hayward enters the game for I. Clark
0:33.0,B. Gordon makes free throw 2 of 2,1,71-62,,
0:11.0,,,71-64,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
0:00.0,E. Payton misses 2-pt shot from 18 ft,,71-64,,
0:00.0,Offensive rebound by Team,,71-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,71-64,,Turnover by D. Exum (bad pass)
11:22.0,A. Nicholson misses 2-pt shot from 20 ft,,71-64,,
11:20.0,,,71-64,,Defensive rebound by G. Hayward
11:15.0,,,71-66,2,G. Hayward makes 2-pt shot at rim
10:55.0,W. Green misses 2-pt shot from 16 ft,,71-66,,
10:55.0,Offensive rebound by D. Dedmon,,71-66,,
10:55.0,,,71-66,,Personal foul by R. Gobert (drawn by D. Dedmon)
10:55.0,,,71-66,,R. Hood enters the game for I. Clark
10:55.0,K. O'Quinn enters the game for D. Dedmon,,71-66,,
10:55.0,C. Frye enters the game for A. Nicholson,,71-66,,
10:45.0,B. Gordon misses 2-pt shot from 17 ft,,71-66,,
10:42.0,,,71-66,,Defensive rebound by R. Gobert
10:29.0,,,71-66,,D. Exum misses 2-pt shot from 20 ft
10:26.0,,,71-66,,Offensive rebound by R. Gobert
10:26.0,,,71-66,,R. Gobert misses 2-pt shot from 8 ft
10:23.0,Defensive rebound by C. Frye,,71-66,,
10:14.0,B. Gordon makes 2-pt shot from 3 ft,2,73-66,,
10:00.0,,,73-66,,R. Gobert misses 2-pt shot from 1 ft (block by K. O'Quinn)
9:58.0,Defensive rebound by K. O'Quinn,,73-66,,
9:51.0,Turnover by W. Green (lost ball; steal by G. Hayward),,73-66,,
9:37.0,,,73-69,3,D. Exum makes 3-pt shot from 25 ft (assist by T. Booker)
9:10.0,C. Frye misses 3-pt shot from 24 ft (block by T. Booker),,73-69,,
9:08.0,,,73-69,,Defensive rebound by R. Gobert
9:08.0,Personal foul by W. Green (drawn by G. Hayward),,73-69,,
9:08.0,V. Oladipo enters the game for W. Green,,73-69,,
9:08.0,T. Harris enters the game for K. O'Quinn,,73-69,,
9:08.0,,,73-69,,D. Favors enters the game for R. Gobert
9:00.0,,,73-69,,E. Kanter enters the game for T. Booker
8:49.0,,,73-69,,Turnover by E. Kanter (bad pass; steal by E. Payton)
8:45.0,,,73-69,,Violation by G. Hayward (def goaltending)
8:45.0,E. Payton makes 2-pt shot from 7 ft,2,75-69,,
8:26.0,,,75-72,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Exum)
8:02.0,B. Gordon makes 2-pt shot from 2 ft,2,77-72,,
7:43.0,,,77-72,,Turnover by G. Hayward (bad pass; steal by E. Payton)
7:42.0,,,77-72,,Personal foul by R. Hood (drawn by E. Payton)
7:42.0,Official timeout,,77-72,,
7:42.0,,,77-72,,T. Burke enters the game for D. Exum
7:29.0,Turnover by B. Gordon (lost ball),,77-72,,
7:09.0,,,77-72,,E. Kanter misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by E. Payton,,77-72,,
6:57.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton),2,79-72,,
6:29.0,,,79-74,2,D. Favors makes 2-pt shot from 12 ft (assist by T. Burke)
6:15.0,,,79-74,,Personal foul by G. Hayward (drawn by C. Frye)
6:15.0,E. Fournier enters the game for B. Gordon,,79-74,,
6:06.0,T. Harris makes 3-pt shot from 24 ft (assist by V. Oladipo),3,82-74,,
5:46.0,,,82-76,2,E. Kanter makes 2-pt shot from 1 ft (assist by T. Burke)
5:32.0,,,82-76,,Personal foul by R. Hood (drawn by V. Oladipo)
5:32.0,,,82-76,,Utah full timeout
5:32.0,,,82-76,,J. Ingles enters the game for R. Hood
5:21.0,C. Frye misses 3-pt shot from 24 ft,,82-76,,
5:20.0,,,82-76,,Defensive rebound by G. Hayward
5:07.0,,,82-76,,T. Burke misses 2-pt shot from 20 ft
5:06.0,Defensive rebound by T. Harris,,82-76,,
4:46.0,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo),3,85-76,,
4:31.0,Personal foul by T. Harris (drawn by D. Favors),,85-76,,
4:23.0,,,85-78,2,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke)
4:04.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,87-78,,
4:04.0,Shooting foul by D. Favors (drawn by T. Harris),,87-78,,
4:04.0,,,87-78,,T. Booker enters the game for E. Kanter
4:04.0,T. Harris makes free throw 1 of 1,1,88-78,,
3:46.0,,,88-81,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
3:29.0,Turnover by V. Oladipo (bad pass; steal by G. Hayward),,88-81,,
3:23.0,,,88-81,,G. Hayward misses 2-pt shot from 5 ft
3:18.0,Defensive rebound by E. Fournier,,88-81,,
3:13.0,Orlando full timeout,,88-81,,
3:13.0,,,88-81,,R. Hood enters the game for J. Ingles
2:56.0,V. Oladipo misses 2-pt shot from 19 ft,,88-81,,
2:55.0,Offensive rebound by E. Fournier,,88-81,,
2:42.0,E. Fournier misses 3-pt shot from 23 ft,,88-81,,
2:41.0,,,88-81,,Defensive rebound by T. Burke
2:21.0,,,88-83,2,T. Burke makes 2-pt shot from 1 ft
2:06.0,T. Harris makes 2-pt shot from 14 ft (assist by V. Oladipo),2,90-83,,
1:54.0,,,90-85,2,T. Burke makes 2-pt shot from 15 ft
1:36.0,V. Oladipo makes 2-pt shot from 1 ft,2,92-85,,
1:25.0,,,92-85,,D. Favors misses 2-pt shot from 5 ft (block by C. Frye)
1:21.0,,,92-85,,Offensive rebound by D. Favors
1:21.0,,,92-85,,D. Favors misses 2-pt shot from 4 ft
1:19.0,Defensive rebound by T. Harris,,92-85,,
1:08.0,Orlando full timeout,,92-85,,
1:01.0,T. Harris misses 3-pt shot from 24 ft,,92-85,,
1:00.0,,,92-85,,Defensive rebound by T. Booker
0:49.0,Jump ball: D. Favors vs. V. Oladipo (R. Hood gains possession),,,,Jump ball: D. Favors vs. V. Oladipo (R. Hood gains possession)
0:41.0,,,92-85,,Shooting foul by E. Payton (drawn by R. Hood)
0:41.0,,,92-86,1,R. Hood makes free throw 1 of 3
0:41.0,,,92-87,1,R. Hood makes free throw 2 of 3
0:41.0,,,92-88,1,R. Hood makes free throw 3 of 3
0:33.0,,,92-88,,Personal foul by T. Booker (drawn by V. Oladipo)
0:33.0,V. Oladipo makes free throw 1 of 2,1,93-88,,
0:33.0,D. Dedmon enters the game for C. Frye,,93-88,,
0:33.0,V. Oladipo misses free throw 2 of 2,,93-88,,
0:33.0,,,93-88,,Defensive rebound by T. Booker
0:33.0,,,93-88,,Utah full timeout
0:33.0,W. Green enters the game for D. Dedmon,,93-88,,
0:33.0,,,93-88,,S. Novak enters the game for T. Booker
0:24.0,,,93-88,,Turnover by G. Hayward (lost ball; steal by V. Oladipo)
0:22.0,,,93-88,,Personal foul by S. Novak (drawn by W. Green)
0:22.0,W. Green makes free throw 1 of 2,1,94-88,,
0:22.0,W. Green makes free throw 2 of 2,1,95-88,,
0:22.0,,,95-88,,Utah full timeout
0:14.0,,,95-91,3,S. Novak makes 3-pt shot from 23 ft (assist by T. Burke)
0:14.0,,,95-91,,Personal foul by D. Favors (drawn by T. Harris)
0:14.0,T. Harris makes free throw 1 of 2,1,96-91,,
0:14.0,T. Harris misses free throw 2 of 2,,96-91,,
0:13.0,,,96-91,,Defensive rebound by S. Novak
0:13.0,Personal foul by E. Fournier (drawn by S. Novak),,96-91,,
0:13.0,,,96-91,,S. Novak misses free throw 1 of 2
0:13.0,,,96-91,,Offensive rebound by Team
