time,LA Lakers,pts.away,score,pts.home,Portland
0:19.0,R. Kelly enters the game for E. Davis,,92-95,,
0:14.0,J. Lin misses 3-pt shot from 24 ft,,92-95,,
0:14.0,,,92-95,,Defensive rebound by L. Aldridge
0:13.0,Personal take foul by W. Ellington (drawn by L. Aldridge),,92-95,,
0:13.0,,,92-96,1,L. Aldridge makes free throw 1 of 2
0:13.0,E. Davis enters the game for R. Kelly,,92-96,,
0:13.0,,,92-97,1,L. Aldridge makes free throw 2 of 2
0:13.0,LA Lakers full timeout,,92-97,,
0:13.0,R. Kelly enters the game for E. Davis,,92-97,,
0:08.0,J. Lin makes 2-pt shot from 3 ft,2,94-97,,
0:08.0,,,94-97,,Portland full timeout
0:08.0,E. Davis enters the game for R. Kelly,,94-97,,
0:08.0,,,94-97,,S. Blake enters the game for M. Leonard
0:07.0,Personal block foul by J. Lin (drawn by D. Lillard),,94-97,,
0:07.0,,,94-98,1,D. Lillard makes free throw 1 of 2
0:07.0,,,94-98,,D. Lillard misses free throw 2 of 2
0:06.0,Defensive rebound by J. Hill,,94-98,,
0:06.0,LA Lakers full timeout,,94-98,,
0:06.0,R. Kelly enters the game for E. Davis,,94-98,,
0:06.0,,,94-98,,M. Leonard enters the game for S. Blake
0:03.0,N. Young misses 3-pt shot from 26 ft,,94-98,,
0:02.0,,,94-98,,Defensive rebound by N. Batum
0:00.0,End of 4th quarter,,,,End of 4th quarter
