time,Memphis,pts.away,score,pts.home,Washington
3:14.0,K. Koufos misses 2-pt shot from 14 ft,,43-48,,
3:13.0,,,43-48,,Defensive rebound by J. Wall
3:07.0,,,43-48,,J. Wall misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by J. Green,,43-48,,
3:02.0,Turnover by B. Udrih (lost ball; steal by R. Sessions),,43-48,,
2:59.0,,,43-50,2,J. Wall makes 2-pt shot from 1 ft (assist by R. Sessions)
2:59.0,,,43-50,,Shooting foul by J. Green (drawn by J. Wall)
2:59.0,,,43-50,,Washington full timeout
2:59.0,,,43-51,1,J. Wall makes free throw 1 of 1
2:36.0,C. Lee makes 2-pt shot at rim (assist by J. Green),2,45-51,,
2:19.0,,,45-51,,O. Porter misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by J. Green,,45-51,,
2:10.0,B. Udrih misses 3-pt shot from 24 ft,,45-51,,
2:08.0,,,45-51,,Defensive rebound by M. Gortat
2:00.0,,,45-54,3,P. Pierce makes 3-pt shot from 25 ft (assist by R. Sessions)
1:40.0,K. Koufos makes 2-pt shot from 6 ft (assist by B. Udrih),2,47-54,,
1:24.0,Personal foul by K. Koufos (drawn by R. Sessions),,47-54,,
1:24.0,,,47-54,,R. Sessions misses free throw 1 of 2
1:24.0,,,47-54,,Offensive rebound by Team
1:24.0,,,47-54,,D. Gooden enters the game for O. Porter
1:24.0,,,47-55,1,R. Sessions makes free throw 2 of 2
1:11.0,Turnover by B. Udrih (bad pass; steal by P. Pierce),,47-55,,
1:06.0,,,47-57,2,J. Wall makes 2-pt shot at rim (assist by P. Pierce)
0:56.0,Turnover by J. Green (bad pass; steal by M. Gortat),,47-57,,
0:44.0,,,47-60,3,P. Pierce makes 3-pt shot from 27 ft (assist by M. Gortat)
0:28.0,B. Udrih misses 3-pt shot from 25 ft,,47-60,,
0:27.0,,,47-60,,Defensive rebound by J. Wall
0:18.0,V. Carter enters the game for J. Green,,47-60,,
0:18.0,,,47-60,,R. Butler enters the game for D. Gooden
0:06.0,,,47-60,,Personal take foul by R. Sessions (drawn by B. Udrih)
0:01.0,B. Udrih misses 2-pt shot from 18 ft,,47-60,,
0:00.0,,,47-60,,Defensive rebound by R. Sessions
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,47-60,,B. Beal misses 2-pt shot from 19 ft
11:38.0,Defensive rebound by K. Koufos,,47-60,,
11:17.0,K. Koufos misses 2-pt shot from 7 ft,,47-60,,
11:16.0,,,47-60,,Defensive rebound by D. Gooden
11:12.0,Personal foul by K. Koufos (drawn by M. Gortat),,47-60,,
11:00.0,,,47-60,,M. Gortat misses 2-pt shot from 5 ft
10:57.0,Defensive rebound by J. Green,,47-60,,
10:49.0,,,47-60,,Def 3 sec tech foul by M. Gortat
10:49.0,C. Lee makes technical free throw,1,48-60,,
10:40.0,J. Green makes 2-pt shot from 21 ft,2,50-60,,
10:17.0,,,50-60,,M. Gortat misses 2-pt shot from 14 ft
10:16.0,Defensive rebound by J. Green,,50-60,,
10:11.0,Shooting foul by P. Pierce (drawn by J. Green),,50-60,,
10:11.0,J. Green makes free throw 1 of 2,1,51-60,,
10:11.0,J. Green misses free throw 2 of 2,,51-60,,
10:09.0,Offensive rebound by Team,,51-60,,
10:06.0,Turnover by J. Green (bad pass; steal by B. Beal),,51-60,,
9:52.0,,,51-63,3,J. Wall makes 3-pt shot from 24 ft
9:35.0,,,51-63,,Personal foul by D. Gooden (drawn by J. Green)
9:22.0,J. Green misses 3-pt shot from 25 ft,,51-63,,
9:21.0,,,51-63,,Defensive rebound by M. Gortat
9:14.0,,,51-63,,Shooting foul by C. Lee (drawn by P. Pierce)
9:14.0,,,51-64,1,P. Pierce makes free throw 1 of 2
9:14.0,,,51-65,1,P. Pierce makes free throw 2 of 2
8:57.0,J. Green misses 2-pt shot from 17 ft,,51-65,,
8:56.0,,,51-65,,Defensive rebound by J. Wall
8:49.0,,,51-65,,Shooting foul by J. Green (drawn by D. Gooden)
8:49.0,,,51-66,1,D. Gooden makes free throw 1 of 2
8:49.0,,,51-67,1,D. Gooden makes free throw 2 of 2
8:36.0,K. Koufos misses 2-pt shot from 8 ft,,51-67,,
8:35.0,,,51-67,,Defensive rebound by M. Gortat
8:30.0,,,51-67,,Turnover by J. Wall (bad pass; steal by J. Green)
8:22.0,J. Green misses 2-pt shot from 2 ft (block by J. Wall),,51-67,,
8:21.0,Offensive rebound by C. Lee,,51-67,,
8:19.0,C. Lee misses 3-pt shot from 24 ft (block by J. Wall),,51-67,,
8:19.0,Offensive rebound by Team,,51-67,,
8:19.0,Memphis full timeout,,51-67,,
8:16.0,C. Lee misses 2-pt shot from 10 ft,,51-67,,
8:15.0,,,51-67,,Defensive rebound by M. Gortat
8:12.0,,,51-69,2,B. Beal makes 2-pt shot at rim (assist by M. Gortat)
7:52.0,J. Green misses 2-pt shot from 3 ft,,51-69,,
7:51.0,Offensive rebound by J. Green,,51-69,,
7:50.0,J. Green misses 2-pt shot from 1 ft,,51-69,,
7:49.0,Offensive rebound by J. Green,,51-69,,
7:46.0,J. Green makes 2-pt shot from 1 ft,2,53-69,,
7:21.0,,,53-71,2,D. Gooden makes 2-pt shot from 19 ft (assist by B. Beal)
7:00.0,J. Green misses 2-pt shot from 22 ft,,53-71,,
6:58.0,,,53-71,,Defensive rebound by J. Wall
6:50.0,Personal foul by K. Koufos (drawn by J. Wall),,53-71,,
6:42.0,,,53-73,2,B. Beal makes 2-pt shot from 18 ft
6:27.0,J. Green makes 2-pt shot from 8 ft (assist by J. Green),2,55-73,,
6:06.0,,,55-75,2,M. Gortat makes 2-pt shot from 10 ft
5:58.0,Offensive foul by K. Koufos,,55-75,,
5:58.0,Turnover by K. Koufos (offensive foul),,55-75,,
5:58.0,N. Calathes enters the game for J. Green,,55-75,,
5:36.0,,,55-75,,B. Beal misses 2-pt shot from 5 ft
5:36.0,,,55-75,,Offensive rebound by M. Gortat
5:36.0,Personal foul by K. Koufos (drawn by M. Gortat),,55-75,,
5:36.0,Technical foul by K. Koufos (drawn by M. Gortat),,55-75,,
5:36.0,,,55-76,1,B. Beal makes technical free throw
5:36.0,,,55-76,,M. Gortat misses free throw 1 of 2
5:36.0,,,55-76,,Offensive rebound by Team
5:36.0,J. Stokes enters the game for K. Koufos,,55-76,,
5:36.0,,,55-76,,O. Porter enters the game for P. Pierce
5:36.0,,,55-77,1,M. Gortat makes free throw 2 of 2
5:24.0,B. Udrih misses 2-pt shot from 17 ft,,55-77,,
5:23.0,,,55-77,,Defensive rebound by J. Wall
5:14.0,,,55-79,2,D. Gooden makes 2-pt shot from 8 ft (assist by J. Wall)
4:49.0,Turnover by N. Calathes (bad pass; steal by O. Porter),,55-79,,
4:44.0,,,55-79,,O. Porter misses 2-pt shot at rim
4:42.0,Defensive rebound by J. Green,,55-79,,
4:38.0,C. Lee makes 2-pt shot from 19 ft (assist by N. Calathes),2,57-79,,
