time,Denver,pts.away,score,pts.home,Golden State
6:52.0,,,106-109,,Defensive rebound by Team
6:52.0,Loose ball foul by J. Nurkic (drawn by M. Speights),,106-109,,
6:41.0,,,106-109,,Shooting foul by I. Clark (drawn by J. Holiday)
6:41.0,,,106-110,1,J. Holiday makes free throw 1 of 2
6:41.0,,,106-111,1,J. Holiday makes free throw 2 of 2
6:27.0,J. Nurkic makes 2-pt shot from 1 ft (assist by I. Clark),2,108-111,,
6:20.0,,,108-111,,Shooting foul by J. Franklin (drawn by S. Livingston)
6:20.0,,,108-112,1,S. Livingston makes free throw 1 of 2
6:20.0,,,108-113,1,S. Livingston makes free throw 2 of 2
6:01.0,G. Harris makes 3-pt shot from 23 ft (assist by J. Franklin),3,111-113,,
5:49.0,,,111-116,3,J. Holiday makes 3-pt shot from 23 ft (assist by L. Barbosa)
5:33.0,J. Franklin makes 3-pt shot from 26 ft (assist by J. Lauvergne),3,114-116,,
5:22.0,,,114-116,,L. Barbosa misses 2-pt shot from 7 ft
5:21.0,,,114-116,,Offensive rebound by M. Speights
5:21.0,,,114-116,,M. Speights misses 2-pt shot at rim
5:20.0,Defensive rebound by G. Harris,,114-116,,
5:14.0,G. Harris misses 2-pt shot from 2 ft,,114-116,,
5:12.0,,,114-116,,Defensive rebound by L. Barbosa
5:11.0,,,114-116,,Shooting foul by J. Nurkic (drawn by J. Holiday)
5:11.0,Official timeout,,114-116,,
5:11.0,,,114-116,,B. Rush enters the game for L. Barbosa
5:11.0,,,114-116,,F. Ezeli enters the game for M. Speights
5:11.0,E. Green enters the game for I. Clark,,114-116,,
5:11.0,,,114-117,1,J. Holiday makes free throw 1 of 2
5:11.0,,,114-118,1,J. Holiday makes free throw 2 of 2
5:01.0,Turnover by J. Franklin (bad pass),,114-118,,
4:46.0,,,114-120,2,F. Ezeli makes 2-pt shot from 8 ft (assist by J. McAdoo)
4:26.0,E. Green makes 2-pt shot from 9 ft,2,116-120,,
4:04.0,,,116-120,,J. Holiday misses 2-pt shot from 2 ft (block by J. Franklin)
4:02.0,,,116-120,,Offensive rebound by J. Holiday
3:58.0,,,116-120,,J. Holiday misses 3-pt shot from 28 ft
3:57.0,Defensive rebound by E. Green,,116-120,,
3:45.0,J. Nurkic misses 2-pt shot from 6 ft,,116-120,,
3:45.0,,,116-120,,Defensive rebound by Team
3:45.0,Loose ball foul by J. Lauvergne (drawn by J. McAdoo),,116-120,,
3:45.0,,,116-120,,J. McAdoo misses free throw 1 of 2
3:45.0,,,116-120,,Offensive rebound by Team
3:45.0,,,116-121,1,J. McAdoo makes free throw 2 of 2
3:32.0,J. Lauvergne misses 2-pt shot from 20 ft,,116-121,,
3:31.0,Offensive rebound by Team,,116-121,,
3:30.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by J. Franklin),2,118-121,,
3:30.0,Shooting foul by J. McAdoo (drawn by J. Lauvergne),,118-121,,
3:30.0,J. Lauvergne misses free throw 1 of 1,,118-121,,
3:27.0,Offensive rebound by J. Franklin,,118-121,,
3:19.0,J. Lauvergne misses 2-pt shot from 3 ft (block by J. McAdoo),,118-121,,
3:17.0,Offensive rebound by J. Nurkic,,118-121,,
3:12.0,E. Green makes 3-pt shot from 26 ft (assist by J. Nurkic),3,121-121,,
3:12.0,Shooting foul by B. Rush (drawn by E. Green),,121-121,,
3:12.0,E. Green makes free throw 1 of 1,1,122-121,,
2:51.0,,,122-121,,Shooting foul by J. Lauvergne (drawn by J. McAdoo)
2:51.0,,,122-121,,Golden State full timeout
2:51.0,,,122-121,,L. Barbosa enters the game for J. Holiday
2:51.0,,,122-121,,J. McAdoo misses free throw 1 of 2
2:51.0,,,122-121,,Offensive rebound by Team
2:51.0,,,122-122,1,J. McAdoo makes free throw 2 of 2
2:42.0,Shooting foul by B. Rush (drawn by G. Harris),,122-122,,
2:42.0,G. Harris makes free throw 1 of 2,1,123-122,,
2:42.0,,,123-122,,M. Speights enters the game for J. McAdoo
2:42.0,G. Harris makes free throw 2 of 2,1,124-122,,
2:27.0,,,124-122,,M. Speights misses 2-pt shot from 8 ft
2:25.0,,,124-122,,Offensive rebound by B. Rush
2:25.0,,,124-124,2,B. Rush makes 2-pt shot at rim
2:08.0,J. Franklin misses 3-pt shot from 26 ft,,124-124,,
2:07.0,,,124-124,,Defensive rebound by M. Speights
1:49.0,,,124-124,,F. Ezeli misses 2-pt shot from 16 ft
1:48.0,Defensive rebound by G. Harris,,124-124,,
1:42.0,Turnover by G. Harris (palming),,124-124,,
1:23.0,,,124-124,,Shooting foul by J. Lauvergne (drawn by M. Speights)
1:23.0,Technical foul by J. Lauvergne (drawn by M. Speights),,124-124,,
1:23.0,I. Clark enters the game for J. Lauvergne,,124-124,,
1:23.0,,,124-125,1,M. Speights makes technical free throw
1:23.0,,,124-126,1,M. Speights makes free throw 1 of 2
1:23.0,,,124-126,,J. McAdoo enters the game for F. Ezeli
1:23.0,,,124-127,1,M. Speights makes free throw 2 of 2
1:12.0,E. Green misses 2-pt shot from 16 ft,,124-127,,
1:10.0,,,124-127,,Defensive rebound by Team
1:10.0,W. Barton enters the game for J. Nurkic,,124-127,,
1:02.0,,,124-129,2,M. Speights makes 2-pt shot from 1 ft
0:49.0,E. Green misses 2-pt shot from 19 ft,,124-129,,
0:47.0,,,124-129,,Defensive rebound by M. Speights
0:38.0,,,124-131,2,J. McAdoo makes 2-pt shot at rim (assist by L. Barbosa)
0:38.0,Denver full timeout,,124-131,,
0:38.0,,,124-131,,J. Holiday enters the game for M. Speights
0:30.0,Turnover by J. Franklin (bad pass; steal by J. Holiday),,124-131,,
0:23.0,,,124-133,2,J. McAdoo makes 2-pt shot at rim (assist by J. Holiday)
0:18.0,W. Barton makes 2-pt shot from 1 ft,2,126-133,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
