time,LA Lakers,pts.away,score,pts.home,Atlanta
6:35.0,,,43-35,,Turnover by K. Korver (lost ball; steal by J. Lin)
6:29.0,K. Bryant makes 2-pt shot at rim (assist by J. Lin),2,45-35,,
6:15.0,,,45-35,,T. Sefolosha misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by J. Hill,,45-35,,
6:08.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,47-35,,
6:06.0,,,47-35,,Atlanta full timeout
5:45.0,,,47-35,,Turnover by A. Horford (back court)
5:30.0,C. Boozer misses 2-pt shot from 17 ft,,47-35,,
5:28.0,,,47-35,,Defensive rebound by A. Horford
5:20.0,Personal foul by J. Lin (drawn by J. Teague),,47-35,,
5:13.0,,,47-37,2,P. Millsap makes 2-pt shot at rim
4:54.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Lin),3,50-37,,
4:40.0,,,50-37,,Shooting foul by J. Hill (drawn by J. Teague)
4:40.0,,,50-38,1,J. Teague makes free throw 1 of 2
4:40.0,E. Davis enters the game for J. Hill,,50-38,,
4:40.0,,,50-38,,P. Antic enters the game for A. Horford
4:40.0,,,50-39,1,J. Teague makes free throw 2 of 2
4:26.0,C. Boozer makes 2-pt shot from 15 ft (assist by J. Lin),2,52-39,,
4:05.0,,,52-39,,T. Sefolosha misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by J. Lin,,52-39,,
3:50.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin),2,54-39,,
3:50.0,Shooting foul by P. Antic (drawn by E. Davis),,54-39,,
3:50.0,E. Davis misses free throw 1 of 1,,54-39,,
3:49.0,,,54-39,,Defensive rebound by T. Sefolosha
3:40.0,,,54-41,2,J. Teague makes 2-pt shot from 1 ft
3:26.0,W. Johnson misses 3-pt shot from 26 ft,,54-41,,
3:24.0,Offensive rebound by C. Boozer,,54-41,,
3:22.0,C. Boozer makes 2-pt shot from 1 ft,2,56-41,,
3:07.0,,,56-41,,P. Millsap misses 3-pt shot from 25 ft
3:05.0,,,56-41,,Offensive rebound by P. Antic
3:00.0,,,56-41,,Shooting foul by K. Bryant (drawn by T. Sefolosha)
3:00.0,,,56-42,1,T. Sefolosha makes free throw 1 of 2
3:00.0,,,56-42,,S. Mack enters the game for K. Korver
3:00.0,,,56-42,,T. Sefolosha misses free throw 2 of 2
2:58.0,Defensive rebound by E. Davis,,56-42,,
2:44.0,J. Lin makes 2-pt shot from 20 ft,2,58-42,,
2:29.0,,,58-42,,J. Teague misses 2-pt shot from 12 ft
2:27.0,,,58-42,,Offensive rebound by P. Antic
2:26.0,,,58-44,2,P. Antic makes 2-pt shot from 2 ft
2:06.0,J. Lin makes 2-pt shot from 6 ft,2,60-44,,
1:51.0,,,60-46,2,J. Teague makes 2-pt shot from 2 ft
1:51.0,,,60-46,,Violation by Team (delay of game)
1:33.0,E. Davis makes 2-pt shot from 1 ft,2,62-46,,
1:14.0,,,62-48,2,J. Teague makes 2-pt shot from 5 ft
0:57.0,K. Bryant makes 3-pt shot from 25 ft,3,65-48,,
0:43.0,,,65-50,2,P. Millsap makes 2-pt shot from 19 ft (assist by S. Mack)
0:33.0,Turnover by J. Lin (bad pass; steal by P. Millsap),,65-50,,
0:29.0,,,65-52,2,P. Millsap makes 2-pt shot at rim
0:12.0,K. Bryant misses 3-pt shot from 24 ft,,65-52,,
0:11.0,Offensive rebound by C. Boozer,,65-52,,
0:01.0,E. Davis misses 2-pt shot from 4 ft,,65-52,,
0:00.0,Offensive rebound by C. Boozer,,65-52,,
0:00.0,C. Boozer makes 2-pt shot at rim,2,67-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,67-54,2,A. Horford makes 2-pt shot from 7 ft
11:29.0,,,67-54,,Personal foul by T. Sefolosha (drawn by K. Bryant)
11:24.0,W. Johnson misses 2-pt shot from 20 ft (block by K. Korver),,67-54,,
11:22.0,Offensive rebound by W. Johnson,,67-54,,
11:16.0,J. Hill misses 2-pt shot from 10 ft,,67-54,,
11:15.0,,,67-54,,Defensive rebound by A. Horford
10:59.0,,,67-56,2,T. Sefolosha makes 2-pt shot from 6 ft (assist by P. Millsap)
10:44.0,K. Bryant misses 3-pt shot from 25 ft,,67-56,,
10:43.0,,,67-56,,Defensive rebound by K. Korver
10:40.0,,,67-56,,Turnover by A. Horford (bad pass; steal by J. Lin)
10:33.0,Offensive charge foul by K. Bryant,,67-56,,
10:33.0,Turnover by K. Bryant (offensive foul),,67-56,,
10:21.0,,,67-58,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
10:01.0,Turnover by J. Lin (bad pass; steal by P. Millsap),,67-58,,
9:57.0,,,67-60,2,J. Teague makes 2-pt shot from 1 ft (assist by T. Sefolosha)
9:57.0,LA Lakers full timeout,,67-60,,
9:50.0,Turnover by K. Bryant (lost ball; steal by T. Sefolosha),,67-60,,
9:45.0,,,67-62,2,T. Sefolosha makes 2-pt shot at rim
9:20.0,W. Johnson misses 3-pt shot from 25 ft,,67-62,,
9:18.0,,,67-62,,Defensive rebound by A. Horford
