time,Atlanta,pts.away,score,pts.home,Oklahoma City
1:38.0,D. Schroder makes free throw 2 of 2,1,113-119,,
1:18.0,,,113-119,,Shooting foul by A. Horford (drawn by R. Westbrook)
1:18.0,,,113-120,1,R. Westbrook makes free throw 1 of 2
1:18.0,,,113-120,,A. Roberson enters the game for D. Augustin
1:18.0,,,113-121,1,R. Westbrook makes free throw 2 of 2
1:09.0,D. Schroder misses 2-pt shot from 1 ft (block by D. Waiters),,113-121,,
1:08.0,,,113-121,,Defensive rebound by S. Adams
0:52.0,,,113-121,,R. Westbrook misses 2-pt shot from 15 ft
0:50.0,,,113-121,,Offensive rebound by D. Waiters
0:33.0,Personal foul by J. Teague (drawn by R. Westbrook),,113-121,,
0:33.0,,,113-122,1,R. Westbrook makes free throw 1 of 2
0:33.0,,,113-123,1,R. Westbrook makes free throw 2 of 2
0:28.0,J. Teague misses 2-pt shot from 2 ft,,113-123,,
0:27.0,,,113-123,,Defensive rebound by S. Adams
0:13.0,,,113-123,,Turnover by R. Westbrook (lost ball; steal by J. Teague)
0:08.0,D. Carroll makes 2-pt shot from 1 ft,2,115-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
