time,Chicago,pts.away,score,pts.home,Philadelphia
5:25.0,,,109-100,2,T. Wroten makes 2-pt shot from 2 ft (assist by H. Sims)
5:05.0,K. Hinrich misses 2-pt shot from 20 ft,,109-100,,
5:03.0,,,109-100,,Defensive rebound by T. Wroten
4:48.0,,,109-100,,Shooting foul by T. Gibson (drawn by H. Thompson)
4:48.0,,,109-100,,H. Thompson misses free throw 1 of 2
4:48.0,,,109-100,,Offensive rebound by Team
4:48.0,P. Gasol enters the game for T. Gibson,,109-100,,
4:48.0,,,109-100,,K. McDaniels enters the game for J. Sampson
4:48.0,,,109-100,,H. Thompson misses free throw 2 of 2
4:46.0,,,109-100,,Offensive rebound by H. Thompson
4:44.0,,,109-100,,H. Thompson misses 2-pt shot from 4 ft (block by J. Noah)
4:42.0,Defensive rebound by J. Noah,,109-100,,
4:27.0,Turnover by K. Hinrich (traveling),,109-100,,
4:13.0,,,109-100,,T. Wroten misses 2-pt shot from 6 ft
4:11.0,,,109-100,,Offensive rebound by H. Sims
4:09.0,,,109-100,,H. Sims misses 2-pt shot from 5 ft
4:08.0,Defensive rebound by P. Gasol,,109-100,,
3:47.0,K. Hinrich misses 2-pt shot from 11 ft,,109-100,,
3:47.0,Offensive rebound by Team,,109-100,,
3:31.0,P. Gasol makes 2-pt shot from 18 ft (assist by K. Hinrich),2,111-100,,
3:22.0,Personal foul by J. Noah (drawn by T. Wroten),,111-100,,
3:22.0,,,111-101,1,T. Wroten makes free throw 1 of 2
3:22.0,,,111-102,1,T. Wroten makes free throw 2 of 2
3:11.0,,,111-102,,B. Davies enters the game for L. Mbah a Moute
3:04.0,M. Dunleavy makes 2-pt shot from 16 ft (assist by K. Hinrich),2,113-102,,
2:56.0,,,113-102,,Shooting foul by K. Hinrich (drawn by T. Wroten)
2:56.0,,,113-102,,T. Wroten misses free throw 1 of 2
2:56.0,,,113-102,,Offensive rebound by Team
2:56.0,,,113-103,1,T. Wroten makes free throw 2 of 2
2:42.0,Turnover by P. Gasol (bad pass; steal by K. McDaniels),,113-103,,
2:33.0,,,113-103,,T. Wroten misses 3-pt shot from 25 ft
2:31.0,,,113-103,,Offensive rebound by Team
2:28.0,,,113-103,,H. Thompson misses 2-pt shot from 8 ft
2:27.0,Defensive rebound by J. Butler,,113-103,,
2:08.0,Offensive charge foul by K. Hinrich,,113-103,,
2:08.0,Turnover by K. Hinrich (offensive foul),,113-103,,
1:57.0,,,113-103,,H. Thompson misses 3-pt shot from 27 ft
1:56.0,Defensive rebound by Team,,113-103,,
1:56.0,,,113-103,,Loose ball foul by B. Davies (drawn by J. Noah)
1:46.0,M. Dunleavy misses 2-pt shot from 14 ft,,113-103,,
1:43.0,,,113-103,,Defensive rebound by H. Sims
1:39.0,,,113-103,,Shooting foul by J. Butler (drawn by T. Wroten)
1:39.0,,,113-104,1,T. Wroten makes free throw 1 of 2
1:39.0,,,113-104,,T. Wroten misses free throw 2 of 2
1:38.0,,,113-104,,Offensive rebound by T. Wroten
1:26.0,,,113-106,2,T. Wroten makes 2-pt shot from 1 ft
1:06.0,Chicago full timeout,,113-106,,
1:06.0,,,113-106,,L. Mbah a Moute enters the game for K. McDaniels
1:04.0,Turnover by P. Gasol (lost ball),,113-106,,
0:56.0,,,113-106,,T. Wroten misses 2-pt shot from 3 ft
0:52.0,Defensive rebound by J. Butler,,113-106,,
0:38.0,,,113-106,,K. McDaniels enters the game for H. Sims
0:36.0,Shooting foul by B. Davies (drawn by P. Gasol),,113-106,,
0:36.0,P. Gasol makes free throw 1 of 2,1,114-106,,
0:36.0,,,114-106,,H. Sims enters the game for H. Thompson
0:36.0,P. Gasol makes free throw 2 of 2,1,115-106,,
0:36.0,,,115-106,,Philadelphia full timeout
0:36.0,,,115-106,,H. Thompson enters the game for K. McDaniels
0:36.0,,,115-106,,C. Johnson enters the game for B. Davies
0:31.0,Chicago full timeout,,115-106,,
0:30.0,,,115-109,3,C. Johnson makes 3-pt shot from 25 ft
0:28.0,Turnover by K. Hinrich (lost ball),,115-109,,
0:23.0,,,115-109,,T. Wroten misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by M. Dunleavy,,115-109,,
0:19.0,,,115-109,,Personal foul by C. Johnson (drawn by M. Dunleavy)
0:19.0,M. Dunleavy misses free throw 1 of 2,,115-109,,
0:19.0,Offensive rebound by Team,,115-109,,
0:19.0,M. Dunleavy makes free throw 2 of 2,1,116-109,,
0:19.0,,,116-109,,Philadelphia full timeout
0:15.0,,,116-112,3,H. Thompson makes 3-pt shot from 23 ft (assist by H. Sims)
0:12.0,,,116-112,,Personal foul by C. Johnson (drawn by K. Hinrich)
0:12.0,K. Hinrich misses free throw 1 of 2,,116-112,,
0:12.0,Offensive rebound by Team,,116-112,,
0:12.0,K. Hinrich misses free throw 2 of 2,,116-112,,
0:11.0,,,116-112,,Defensive rebound by T. Wroten
0:06.0,,,116-115,3,C. Johnson makes 3-pt shot from 25 ft (assist by T. Wroten)
0:05.0,Chicago full timeout,,116-115,,
0:05.0,A. Brooks enters the game for J. Butler,,116-115,,
0:02.0,,,116-115,,Personal foul by T. Wroten (drawn by K. Hinrich)
0:02.0,,,116-115,,K. McDaniels enters the game for T. Wroten
0:02.0,J. Butler enters the game for A. Brooks,,116-115,,
0:02.0,K. Hinrich makes free throw 1 of 2,1,117-115,,
0:02.0,K. Hinrich makes free throw 2 of 2,1,118-115,,
0:00.0,,,118-115,,C. Johnson misses 3-pt shot from 42 ft
0:00.0,,,118-115,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
