time,Orlando,pts.away,score,pts.home,Toronto
0:56.0,T. Harris makes 2-pt shot from 4 ft (assist by L. Ridnour),2,100-101,,
0:42.0,,,100-101,,K. Lowry misses 2-pt shot from 8 ft
0:41.0,Defensive rebound by E. Fournier,,100-101,,
0:38.0,,,100-101,,Personal foul by J. Johnson (drawn by E. Fournier)
0:23.0,E. Fournier misses 2-pt shot from 9 ft,,100-101,,
0:22.0,,,100-101,,Defensive rebound by J. Johnson
0:13.0,,,100-101,,Toronto full timeout
0:13.0,,,100-101,,G. Vasquez enters the game for J. Johnson
0:13.0,M. Harkless enters the game for T. Harris,,100-101,,
0:13.0,A. Gordon enters the game for C. Frye,,100-101,,
0:12.0,Personal foul by N. Vucevic (drawn by P. Patterson),,100-101,,
0:12.0,,,100-101,,P. Patterson misses free throw 1 of 2
0:12.0,,,100-101,,Offensive rebound by Team
0:12.0,C. Frye enters the game for A. Gordon,,100-101,,
0:12.0,T. Harris enters the game for M. Harkless,,100-101,,
0:12.0,,,100-101,,J. Johnson enters the game for G. Vasquez
0:12.0,,,100-102,1,P. Patterson makes free throw 2 of 2
0:12.0,Orlando full timeout,,100-102,,
0:02.0,T. Harris misses 2-pt shot from 9 ft,,100-102,,
0:01.0,,,100-102,,Defensive rebound by T. Ross
0:01.0,Personal foul by T. Harris (drawn by T. Ross),,100-102,,
0:01.0,,,100-103,1,T. Ross makes free throw 1 of 2
0:01.0,,,100-104,1,T. Ross makes free throw 2 of 2
0:00.0,Turnover by C. Frye (bad pass; steal by J. Johnson),,100-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
