time,Minnesota,pts.away,score,pts.home,Indiana
1:56.0,,,40-46,,C. Miles misses 3-pt shot from 24 ft
1:54.0,,,40-46,,Offensive rebound by R. Hibbert
1:38.0,,,40-48,2,C. Watson makes 2-pt shot from 1 ft
1:08.0,T. Young makes 3-pt shot from 27 ft (assist by T. Daniels),3,43-48,,
0:46.0,,,43-50,2,C. Watson makes 2-pt shot at rim
0:41.0,M. Williams makes 2-pt shot from 13 ft,2,45-50,,
0:30.0,,,45-50,,C. Watson misses 2-pt shot from 16 ft
0:29.0,,,45-50,,Offensive rebound by R. Hibbert
0:25.0,,,45-50,,S. Hill misses 2-pt shot from 17 ft
0:25.0,,,45-50,,Offensive rebound by Team
0:25.0,Loose ball foul by G. Dieng (drawn by R. Hibbert),,45-50,,
0:25.0,,,45-51,1,R. Hibbert makes free throw 1 of 2
0:25.0,A. Bennett enters the game for G. Dieng,,45-51,,
0:25.0,,,45-51,,Indiana full timeout
0:25.0,,,45-51,,R. Stuckey enters the game for S. Hill
0:25.0,,,45-52,1,R. Hibbert makes free throw 2 of 2
0:07.0,,,45-52,,Personal foul by C. Watson (drawn by T. Daniels)
0:06.0,,,45-52,,Personal foul by C. Miles (drawn by M. Williams)
0:06.0,M. Williams makes free throw 1 of 2,1,46-52,,
0:06.0,,,46-52,,D. Rudez enters the game for R. Hibbert
0:06.0,R. Hummel enters the game for T. Daniels,,46-52,,
0:06.0,M. Williams misses free throw 2 of 2,,46-52,,
0:05.0,,,46-52,,Defensive rebound by R. Stuckey
0:00.0,,,46-52,,C. Miles misses 3-pt shot from 29 ft
0:00.0,,,46-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Young makes 2-pt shot from 3 ft,2,48-52,,
11:29.0,,,48-54,2,C. Watson makes 2-pt shot from 20 ft
11:07.0,,,48-54,,Personal foul by R. Hibbert (drawn by G. Dieng)
11:00.0,A. Wiggins makes 2-pt shot from 5 ft,2,50-54,,
11:00.0,Shooting foul by S. Hill (drawn by A. Wiggins),,50-54,,
