time,New Orleans,pts.away,score,pts.home,Indiana
6:34.0,,,70-82,,Defensive rebound by G. Hill
6:30.0,,,70-82,,G. Hill misses 2-pt shot from 4 ft
6:28.0,,,70-82,,Offensive rebound by L. Scola
6:27.0,,,70-82,,L. Scola misses 2-pt shot from 1 ft
6:26.0,Defensive rebound by J. Holiday,,70-82,,
6:11.0,J. Holiday misses 2-pt shot from 8 ft,,70-82,,
6:10.0,,,70-82,,Defensive rebound by L. Allen
6:04.0,,,70-82,,Indiana full timeout
6:04.0,,,70-82,,R. Hibbert enters the game for L. Allen
6:04.0,,,70-82,,C. Watson enters the game for G. Hill
6:04.0,T. Evans enters the game for D. Cunningham,,70-82,,
6:04.0,A. Davis enters the game for A. Ajinca,,70-82,,
5:57.0,,,70-82,,C. Miles misses 2-pt shot from 20 ft
5:55.0,Defensive rebound by A. Davis,,70-82,,
5:49.0,J. Holiday makes 2-pt shot from 2 ft,2,72-82,,
5:35.0,,,72-82,,Shooting foul by R. Anderson (drawn by R. Hibbert)
5:35.0,,,72-83,1,R. Hibbert makes free throw 1 of 2
5:35.0,,,72-83,,S. Hill enters the game for C. Miles
5:35.0,,,72-83,,R. Hibbert misses free throw 2 of 2
5:35.0,Defensive rebound by A. Davis,,72-83,,
5:17.0,J. Holiday makes 2-pt shot from 9 ft,2,74-83,,
4:59.0,,,74-85,2,R. Hibbert makes 2-pt shot from 14 ft (assist by L. Scola)
4:43.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,76-85,,
4:43.0,Shooting foul by R. Hibbert (drawn by A. Davis),,76-85,,
4:43.0,O. Asik enters the game for J. Salmons,,76-85,,
4:43.0,A. Davis makes free throw 1 of 1,1,77-85,,
4:26.0,,,77-87,2,S. Hill makes 2-pt shot at rim
4:12.0,Shooting foul by R. Hibbert (drawn by A. Davis),,77-87,,
4:12.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,79-87,,
4:12.0,A. Davis makes free throw 1 of 1,1,80-87,,
3:54.0,,,80-87,,S. Hill misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by A. Davis,,80-87,,
3:46.0,Turnover by R. Anderson (step out of bounds),,80-87,,
3:31.0,,,80-87,,C. Watson misses 2-pt shot from 8 ft
3:30.0,Defensive rebound by A. Davis,,80-87,,
3:15.0,J. Holiday makes 2-pt shot from 2 ft,2,82-87,,
2:53.0,,,82-89,2,C. Watson makes 2-pt shot from 16 ft
2:29.0,T. Evans misses 3-pt shot from 25 ft,,82-89,,
2:27.0,Offensive rebound by R. Anderson,,82-89,,
2:24.0,Shooting foul by C. Watson (drawn by O. Asik),,82-89,,
2:24.0,New Orleans full timeout,,82-89,,
2:24.0,,,82-89,,D. West enters the game for R. Stuckey
2:24.0,,,82-89,,C. Miles enters the game for C. Watson
2:24.0,,,82-89,,G. Hill enters the game for L. Scola
2:24.0,O. Asik misses free throw 1 of 2,,82-89,,
2:24.0,Offensive rebound by Team,,82-89,,
2:24.0,O. Asik misses free throw 2 of 2,,82-89,,
2:23.0,,,82-89,,Defensive rebound by C. Miles
2:06.0,,,82-91,2,R. Hibbert makes 2-pt shot from 8 ft
1:52.0,A. Davis misses 2-pt shot from 16 ft,,82-91,,
1:51.0,,,82-91,,Defensive rebound by G. Hill
1:37.0,Personal foul by O. Asik (drawn by R. Hibbert),,82-91,,
1:29.0,,,82-91,,Shooting foul by R. Anderson (drawn by C. Miles)
1:29.0,D. Cunningham enters the game for R. Anderson,,82-91,,
1:29.0,,,82-92,1,C. Miles makes free throw 1 of 2
