time,Cleveland,pts.away,score,pts.home,Utah
0:28.0,L. James misses 2-pt shot from 3 ft,,94-96,,
0:26.0,,,94-96,,Defensive rebound by D. Favors
0:18.0,Personal foul by M. Miller (drawn by A. Burks),,94-96,,
0:18.0,,,94-97,1,A. Burks makes free throw 1 of 2
0:18.0,,,94-98,1,A. Burks makes free throw 2 of 2
0:18.0,Cleveland full timeout,,94-98,,
0:14.0,L. James makes 3-pt shot from 23 ft,3,97-98,,
0:08.0,Personal foul by K. Irving (drawn by A. Burks),,97-98,,
0:08.0,,,97-99,1,A. Burks makes free throw 1 of 2
0:08.0,,,97-100,1,A. Burks makes free throw 2 of 2
0:03.0,Shooting foul by D. Favors (drawn by L. James),,97-100,,
0:03.0,L. James makes free throw 1 of 3,1,98-100,,
0:03.0,L. James makes free throw 2 of 3,1,99-100,,
0:03.0,S. Marion enters the game for M. Miller,,99-100,,
0:03.0,L. James makes free throw 3 of 3,1,100-100,,
0:03.0,,,100-100,,Utah full timeout
0:03.0,,,100-100,,J. Ingles enters the game for T. Booker
0:03.0,,,100-100,,T. Burke enters the game for R. Hood
0:03.0,D. Waiters enters the game for K. Love,,100-100,,
0:00.0,,,100-102,2,G. Hayward makes 2-pt shot from 20 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
