time,San Antonio,pts.away,score,pts.home,Golden State
1:43.0,,,45-42,2,A. Bogut makes 2-pt shot from 7 ft (assist by S. Curry)
1:26.0,M. Ginobili misses 3-pt shot from 27 ft,,45-42,,
1:25.0,,,45-42,,Defensive rebound by A. Bogut
1:17.0,,,45-44,2,H. Barnes makes 2-pt shot from 19 ft (assist by S. Curry)
0:53.0,T. Parker makes 3-pt shot from 23 ft (assist by M. Ginobili),3,48-44,,
0:50.0,,,48-44,,Turnover by H. Barnes (lost ball)
0:50.0,,,48-44,,F. Ezeli enters the game for A. Bogut
0:50.0,,,48-44,,A. Iguodala enters the game for D. Green
0:38.0,T. Duncan misses 2-pt shot from 16 ft,,48-44,,
0:37.0,,,48-44,,Defensive rebound by H. Barnes
0:30.0,Personal foul by T. Parker (drawn by S. Curry),,48-44,,
0:23.0,,,48-44,,Turnover by S. Curry (lost ball; steal by M. Ginobili)
0:02.0,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker),2,50-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,50-47,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
11:13.0,D. Green makes 2-pt shot from 11 ft,2,52-47,,
11:01.0,,,52-49,2,S. Curry makes 2-pt shot from 2 ft
11:01.0,,,52-49,,Violation by Team (delay of game)
10:49.0,M. Bonner makes 3-pt shot from 27 ft (assist by T. Parker),3,55-49,,
10:40.0,,,55-49,,Turnover by S. Curry (lost ball; steal by D. Green)
10:34.0,K. Leonard makes 2-pt shot at rim (assist by T. Parker),2,57-49,,
10:15.0,,,57-49,,D. Green misses 3-pt shot from 27 ft
10:14.0,Defensive rebound by T. Duncan,,57-49,,
9:59.0,K. Leonard misses 2-pt shot from 16 ft,,57-49,,
9:58.0,,,57-49,,Defensive rebound by A. Bogut
9:49.0,,,57-52,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
9:30.0,T. Parker makes 2-pt shot from 9 ft,2,59-52,,
9:23.0,,,59-54,2,S. Curry makes 2-pt shot from 17 ft
9:02.0,T. Parker makes 2-pt shot from 16 ft,2,61-54,,
8:52.0,,,61-54,,S. Curry misses 3-pt shot from 28 ft
8:50.0,Defensive rebound by T. Duncan,,61-54,,
8:29.0,K. Leonard misses 2-pt shot from 6 ft,,61-54,,
8:28.0,,,61-54,,Defensive rebound by D. Green
8:23.0,,,61-54,,D. Green misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by K. Leonard,,61-54,,
8:19.0,San Antonio full timeout,,61-54,,
8:02.0,D. Green makes 3-pt shot from 26 ft (assist by M. Bonner),3,64-54,,
7:45.0,,,64-54,,K. Thompson misses 2-pt shot from 19 ft
7:44.0,,,64-54,,Offensive rebound by Team
7:41.0,,,64-54,,K. Thompson misses 3-pt shot from 23 ft
7:40.0,Defensive rebound by M. Bonner,,64-54,,
7:24.0,T. Parker makes 2-pt shot from 18 ft,2,66-54,,
7:15.0,Personal foul by D. Green (drawn by K. Thompson),,66-54,,
7:05.0,,,66-56,2,D. Green makes 2-pt shot at rim (assist by A. Bogut)
6:43.0,D. Green misses 2-pt shot from 6 ft,,66-56,,
6:43.0,Offensive rebound by Team,,66-56,,
6:43.0,M. Ginobili enters the game for K. Leonard,,66-56,,
6:43.0,B. Diaw enters the game for M. Bonner,,66-56,,
6:39.0,T. Duncan misses 2-pt shot from 18 ft,,66-56,,
6:38.0,,,66-56,,Defensive rebound by S. Curry
6:35.0,,,66-58,2,S. Curry makes 2-pt shot at rim
6:35.0,,,66-58,,Shooting foul by B. Diaw (drawn by S. Curry)
6:35.0,,,66-59,1,S. Curry makes free throw 1 of 1
6:18.0,D. Green misses 3-pt shot from 26 ft,,66-59,,
6:17.0,,,66-59,,Defensive rebound by S. Curry
