time,Milwaukee,pts.away,score,pts.home,Indiana
1:40.0,J. Dudley misses 3-pt shot from 26 ft,,84-77,,
1:39.0,,,84-77,,Defensive rebound by L. Allen
1:32.0,Personal block foul by E. Ilyasova (drawn by R. Stuckey),,84-77,,
1:32.0,,,84-77,,R. Stuckey misses free throw 1 of 2
1:32.0,,,84-77,,Offensive rebound by Team
1:32.0,,,84-78,1,R. Stuckey makes free throw 2 of 2
1:19.0,E. Ilyasova misses 2-pt shot from 21 ft,,84-78,,
1:17.0,Offensive rebound by J. Parker,,84-78,,
0:57.0,L. Sanders misses 2-pt shot from 7 ft,,84-78,,
0:56.0,,,84-78,,Defensive rebound by L. Allen
0:43.0,,,84-81,3,C. Copeland makes 3-pt shot from 25 ft (assist by L. Allen)
0:23.0,B. Knight makes 2-pt shot from 20 ft,2,86-81,,
0:22.0,,,86-81,,Indiana full timeout
0:22.0,J. Bayless enters the game for E. Ilyasova,,86-81,,
0:16.0,,,86-81,,R. Stuckey misses 2-pt shot from 5 ft
0:15.0,,,86-81,,Offensive rebound by Team
0:15.0,,,86-81,,D. Rudez enters the game for L. Allen
0:08.0,,,86-81,,R. Stuckey misses 3-pt shot from 27 ft
0:06.0,Defensive rebound by B. Knight,,86-81,,
0:04.0,,,86-81,,Personal take foul by S. Hill (drawn by B. Knight)
0:04.0,,,86-81,,D. Sloan enters the game for R. Hibbert
0:02.0,,,86-81,,Away from play foul by C. Copeland (drawn by B. Knight)
0:02.0,B. Knight makes free throw 1 of 1,1,87-81,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
