time,Golden State,pts.away,score,pts.home,Brooklyn
2:11.0,,,105-108,,Turnover by D. Williams (bad pass; steal by H. Barnes)
2:08.0,S. Curry misses 3-pt shot from 24 ft,,105-108,,
2:07.0,Offensive rebound by D. Green,,105-108,,
2:06.0,D. Green misses 2-pt shot at rim,,105-108,,
2:05.0,,,105-108,,Defensive rebound by Team
2:05.0,Loose ball foul by H. Barnes (drawn by M. Plumlee),,105-108,,
1:47.0,,,105-108,,Turnover by D. Williams (bad pass; steal by K. Thompson)
1:43.0,,,105-108,,Shooting block foul by D. Williams (drawn by H. Barnes)
1:43.0,H. Barnes misses free throw 1 of 2,,105-108,,
1:43.0,Offensive rebound by Team,,105-108,,
1:43.0,,,105-108,,B. Lopez enters the game for M. Plumlee
1:43.0,,,105-108,,A. Anderson enters the game for T. Young
1:43.0,A. Bogut enters the game for A. Iguodala,,105-108,,
1:43.0,H. Barnes makes free throw 2 of 2,1,106-108,,
1:19.0,,,106-108,,A. Anderson misses 3-pt shot from 22 ft
1:18.0,Defensive rebound by K. Thompson,,106-108,,
1:09.0,S. Curry makes 2-pt shot from 20 ft (assist by K. Thompson),2,108-108,,
0:51.0,A. Iguodala enters the game for H. Barnes,,108-108,,
0:50.0,Personal foul by A. Bogut (drawn by B. Lopez),,108-108,,
0:37.0,,,108-108,,Turnover by B. Lopez (lost ball; steal by D. Green)
0:21.0,Turnover by A. Bogut (bad pass),,108-108,,
0:21.0,,,108-108,,Brooklyn full timeout
0:01.0,,,108-110,2,J. Jack makes 2-pt shot from 16 ft
0:01.0,Golden State full timeout,,108-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
