time,Atlanta,pts.away,score,pts.home,Houston
1:29.0,,,95-90,,Houston full timeout
1:20.0,,,95-90,,J. Terry misses 2-pt shot from 8 ft
1:19.0,Defensive rebound by P. Millsap,,95-90,,
0:59.0,,,95-90,,Personal foul by D. Howard (drawn by D. Schroder)
0:59.0,D. Schroder makes free throw 1 of 2,1,96-90,,
0:59.0,D. Schroder makes free throw 2 of 2,1,97-90,,
0:50.0,,,97-90,,Shooting foul by D. Schroder (drawn by D. Howard)
0:50.0,,,97-91,1,D. Howard makes free throw 1 of 2
0:50.0,P. Antic enters the game for D. Carroll,,97-91,,
0:50.0,,,97-92,1,D. Howard makes free throw 2 of 2
0:47.0,,,97-92,,Personal foul by P. Beverley (drawn by A. Horford)
0:47.0,A. Horford makes free throw 1 of 2,1,98-92,,
0:47.0,D. Carroll enters the game for P. Antic,,98-92,,
0:47.0,A. Horford makes free throw 2 of 2,1,99-92,,
0:40.0,,,99-92,,J. Harden misses 3-pt shot from 24 ft
0:37.0,Defensive rebound by P. Millsap,,99-92,,
0:32.0,Shooting foul by J. Harden (drawn by D. Carroll),,99-92,,
0:32.0,D. Carroll makes free throw 1 of 2,1,100-92,,
0:32.0,D. Carroll misses free throw 2 of 2,,100-92,,
0:28.0,,,100-92,,Defensive rebound by J. Harden
0:27.0,,,100-94,2,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden)
0:27.0,,,100-94,,Personal take foul by P. Beverley (drawn by K. Korver)
0:27.0,,,100-94,,N. Johnson enters the game for P. Beverley
0:27.0,K. Korver makes free throw 1 of 2,1,101-94,,
0:27.0,K. Korver makes free throw 2 of 2,1,102-94,,
0:14.0,,,102-97,3,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden)
0:13.0,,,102-97,,Personal take foul by T. Ariza (drawn by K. Korver)
0:13.0,K. Korver makes free throw 1 of 2,1,103-97,,
0:13.0,K. Korver makes free throw 2 of 2,1,104-97,,
0:07.0,,,104-97,,J. Terry misses 3-pt shot from 29 ft
0:04.0,Defensive rebound by D. Schroder,,104-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
