time,Minnesota,pts.away,score,pts.home,Boston
1:42.0,G. Dieng misses 2-pt shot from 18 ft,,95-110,,
1:41.0,,,95-110,,Defensive rebound by J. Sullinger
1:37.0,,,95-110,,Turnover by T. Zeller (lost ball)
1:37.0,G. Robinson enters the game for G. Dieng,,95-110,,
1:37.0,J. Adrien enters the game for S. Muhammad,,95-110,,
1:37.0,R. Hummel enters the game for A. Bennett,,95-110,,
1:35.0,,,95-110,,Personal foul by A. Bradley (drawn by Z. LaVine)
1:25.0,G. Robinson misses 2-pt shot from 14 ft,,95-110,,
1:24.0,Offensive rebound by Team,,95-110,,
1:24.0,,,95-110,,Loose ball foul by T. Zeller (drawn by J. Adrien)
1:24.0,J. Adrien misses free throw 1 of 2,,95-110,,
1:24.0,Offensive rebound by Team,,95-110,,
1:24.0,J. Adrien makes free throw 2 of 2,1,96-110,,
1:13.0,,,96-112,2,A. Bradley makes 2-pt shot from 21 ft (assist by T. Zeller)
0:55.0,Z. LaVine misses 2-pt shot from 21 ft,,96-112,,
0:54.0,,,96-112,,Defensive rebound by J. Sullinger
0:36.0,,,96-112,,Turnover by M. Smart (lost ball; steal by R. Hummel)
0:31.0,Turnover by G. Robinson (lost ball; steal by M. Smart),,96-112,,
0:25.0,,,96-114,2,J. Sullinger makes 2-pt shot at rim (assist by T. Zeller)
0:13.0,J. Adrien makes 2-pt shot from 16 ft (assist by Z. LaVine),2,98-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
