time,Chicago,pts.away,score,pts.home,San Antonio
2:58.0,,,95-108,,Offensive rebound by T. Splitter
2:58.0,,,95-110,2,T. Splitter makes 2-pt shot from 1 ft
2:43.0,Shooting foul by M. Ginobili (drawn by A. Brooks),,95-110,,
2:43.0,,,95-110,,San Antonio full timeout
2:43.0,A. Brooks makes free throw 1 of 2,1,96-110,,
2:43.0,A. Brooks makes free throw 2 of 2,1,97-110,,
2:34.0,Personal foul by N. Mirotic (drawn by T. Splitter),,97-110,,
2:22.0,,,97-110,,K. Leonard misses 2-pt shot from 14 ft
2:21.0,Defensive rebound by P. Gasol,,97-110,,
2:13.0,N. Mirotic makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,99-110,,
1:53.0,,,99-112,2,M. Ginobili makes 2-pt shot from 5 ft
1:46.0,A. Brooks misses 2-pt shot at rim (block by D. Green),,99-112,,
1:44.0,,,99-112,,Defensive rebound by K. Leonard
1:37.0,,,99-114,2,T. Splitter makes 2-pt shot from 7 ft (assist by M. Ginobili)
1:37.0,Chicago full timeout,,99-114,,
1:37.0,,,99-114,,M. Belinelli enters the game for K. Leonard
1:37.0,,,99-114,,C. Joseph enters the game for T. Splitter
1:37.0,,,99-114,,M. Bonner enters the game for D. Green
1:37.0,,,99-114,,A. Baynes enters the game for T. Parker
1:37.0,,,99-114,,J. Ayres enters the game for M. Ginobili
1:37.0,D. McDermott enters the game for M. Dunleavy,,99-114,,
1:37.0,N. Mohammed enters the game for P. Gasol,,99-114,,
1:30.0,A. Brooks misses 3-pt shot from 25 ft,,99-114,,
1:30.0,Offensive rebound by Team,,99-114,,
1:30.0,,,99-114,,Loose ball foul by J. Ayres (drawn by N. Mirotic)
1:30.0,N. Mirotic makes free throw 1 of 2,1,100-114,,
1:30.0,N. Mirotic makes free throw 2 of 2,1,101-114,,
1:15.0,,,101-114,,A. Baynes misses 2-pt shot from 3 ft
1:14.0,Defensive rebound by N. Mirotic,,101-114,,
1:03.0,A. Brooks makes 2-pt shot from 1 ft,2,103-114,,
0:47.0,,,103-114,,C. Joseph misses 2-pt shot from 18 ft
0:46.0,Defensive rebound by N. Mohammed,,103-114,,
0:30.0,N. Mirotic misses 2-pt shot from 1 ft,,103-114,,
0:29.0,,,103-114,,Defensive rebound by A. Baynes
0:08.0,,,103-116,2,A. Baynes makes 2-pt shot from 18 ft (assist by C. Joseph)
0:04.0,E. Moore makes 2-pt shot from 2 ft (assist by A. Brooks),2,105-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
