time,Milwaukee,pts.away,score,pts.home,Oklahoma City
6:58.0,K. Middleton misses 3-pt shot from 24 ft,,86-97,,
6:57.0,,,86-97,,Defensive rebound by K. Perkins
6:52.0,,,86-97,,Shooting foul by L. Sanders (drawn by R. Westbrook)
6:52.0,,,86-98,1,R. Westbrook makes free throw 1 of 2
6:52.0,,,86-98,,S. Ibaka enters the game for K. Perkins
6:52.0,,,86-99,1,R. Westbrook makes free throw 2 of 2
6:33.0,J. Bayless misses 3-pt shot from 23 ft,,86-99,,
6:32.0,,,86-99,,Defensive rebound by R. Jackson
6:25.0,,,86-99,,A. Morrow misses 3-pt shot from 22 ft
6:24.0,Defensive rebound by J. Dudley,,86-99,,
6:17.0,Shooting foul by R. Westbrook (drawn by L. Sanders),,86-99,,
6:17.0,L. Sanders makes free throw 1 of 2,1,87-99,,
6:17.0,J. Parker enters the game for J. Dudley,,87-99,,
6:17.0,G. Antetokounmpo enters the game for K. Middleton,,87-99,,
6:17.0,B. Knight enters the game for J. Bayless,,87-99,,
6:17.0,L. Sanders makes free throw 2 of 2,1,88-99,,
6:07.0,Personal foul by B. Knight (drawn by R. Westbrook),,88-99,,
5:59.0,,,88-101,2,K. Durant makes 2-pt shot from 14 ft
5:47.0,L. Sanders misses 2-pt shot from 1 ft (block by S. Ibaka),,88-101,,
5:46.0,,,88-101,,Defensive rebound by K. Durant
5:41.0,,,88-103,2,S. Ibaka makes 2-pt shot at rim (assist by K. Durant)
5:40.0,Milwaukee full timeout,,88-103,,
5:40.0,J. Dudley enters the game for L. Sanders,,88-103,,
5:40.0,O. Mayo enters the game for K. Marshall,,88-103,,
5:21.0,B. Knight misses 3-pt shot from 26 ft,,88-103,,
5:21.0,,,88-103,,Defensive rebound by R. Jackson
5:07.0,,,88-103,,Shooting foul by O. Mayo (drawn by R. Westbrook)
5:07.0,,,88-103,,R. Westbrook misses free throw 1 of 2
5:07.0,,,88-103,,Offensive rebound by Team
5:07.0,,,88-104,1,R. Westbrook makes free throw 2 of 2
4:56.0,O. Mayo misses 2-pt shot from 3 ft,,88-104,,
4:55.0,Offensive rebound by Team,,88-104,,
4:55.0,,,88-104,,Personal foul by A. Morrow (drawn by J. Dudley)
4:50.0,O. Mayo makes 2-pt shot from 5 ft (assist by J. Dudley),2,90-104,,
4:28.0,,,90-104,,Shooting foul by G. Antetokounmpo (drawn by K. Durant)
4:28.0,,,90-105,1,K. Durant makes free throw 1 of 2
4:28.0,,,90-106,1,K. Durant makes free throw 2 of 2
4:21.0,,,90-106,,Personal foul by A. Morrow (drawn by J. Dudley)
4:21.0,,,90-106,,A. Roberson enters the game for A. Morrow
4:05.0,Turnover by G. Antetokounmpo (bad pass; steal by R. Westbrook),,90-106,,
3:59.0,,,90-109,3,R. Jackson makes 3-pt shot from 24 ft (assist by K. Durant)
3:42.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by S. Ibaka),,90-109,,
3:40.0,,,90-109,,Defensive rebound by K. Durant
3:36.0,,,90-109,,Offensive charge foul by R. Westbrook
3:36.0,,,90-109,,Turnover by R. Westbrook (offensive foul)
3:36.0,,,90-109,,L. Thomas enters the game for K. Durant
3:36.0,,,90-109,,P. Jones enters the game for S. Ibaka
3:36.0,,,90-109,,I. Smith enters the game for R. Westbrook
3:27.0,B. Knight misses 2-pt shot from 5 ft,,90-109,,
3:26.0,Offensive rebound by J. Dudley,,90-109,,
3:25.0,J. Dudley makes 2-pt shot from 1 ft,2,92-109,,
3:08.0,,,92-109,,Turnover by P. Jones (bad pass; steal by J. Dudley)
3:01.0,Shooting foul by R. Jackson (drawn by G. Antetokounmpo),,92-109,,
3:01.0,G. Antetokounmpo makes free throw 1 of 2,1,93-109,,
3:01.0,G. Antetokounmpo misses free throw 2 of 2,,93-109,,
3:00.0,,,93-109,,Defensive rebound by P. Jones
2:49.0,,,93-109,,Turnover by P. Jones (lost ball)
2:49.0,,,93-109,,Oklahoma City full timeout
2:38.0,,,93-109,,Personal foul by P. Jones (drawn by G. Antetokounmpo)
2:38.0,G. Antetokounmpo makes free throw 1 of 2,1,94-109,,
2:38.0,G. Antetokounmpo misses free throw 2 of 2,,94-109,,
2:38.0,Offensive rebound by J. Dudley,,94-109,,
2:20.0,Shooting foul by P. Jones (drawn by J. Parker),,94-109,,
2:20.0,J. Parker makes free throw 1 of 2,1,95-109,,
2:20.0,J. Parker misses free throw 2 of 2,,95-109,,
2:20.0,,,95-109,,Defensive rebound by A. Roberson
1:55.0,,,95-109,,R. Jackson misses 2-pt shot from 9 ft
1:54.0,Defensive rebound by J. Parker,,95-109,,
1:47.0,J. Parker misses 2-pt shot from 10 ft (block by A. Roberson),,95-109,,
1:45.0,,,95-109,,Defensive rebound by A. Roberson
1:31.0,,,95-112,3,R. Jackson makes 3-pt shot from 25 ft (assist by A. Roberson)
1:20.0,J. Dudley misses 2-pt shot from 21 ft,,95-112,,
1:19.0,,,95-112,,Defensive rebound by L. Thomas
1:00.0,,,95-112,,A. Roberson misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by G. Antetokounmpo,,95-112,,
0:51.0,O. Mayo misses 3-pt shot from 24 ft,,95-112,,
0:50.0,,,95-112,,Defensive rebound by I. Smith
0:46.0,Personal take foul by O. Mayo (drawn by I. Smith),,95-112,,
0:46.0,K. Marshall enters the game for O. Mayo,,95-112,,
0:46.0,,,95-112,,I. Smith misses free throw 1 of 2
0:46.0,,,95-112,,Offensive rebound by Team
0:46.0,,,95-112,,I. Smith misses free throw 2 of 2
0:45.0,Defensive rebound by G. Antetokounmpo,,95-112,,
0:31.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,97-112,,
0:31.0,Shooting foul by L. Thomas (drawn by G. Antetokounmpo),,97-112,,
0:31.0,G. Antetokounmpo makes free throw 1 of 1,1,98-112,,
0:11.0,,,98-114,2,I. Smith makes 2-pt shot from 3 ft
0:00.0,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by K. Marshall),3,101-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
