time,Houston,pts.away,score,pts.home,Utah
1:33.0,,,50-49,1,A. Burks makes free throw 1 of 2
1:33.0,T. Black enters the game for D. Howard,,50-49,,
1:33.0,,,50-50,1,A. Burks makes free throw 2 of 2
1:12.0,J. Harden makes 2-pt shot from 18 ft,2,52-50,,
0:56.0,,,52-50,,G. Hayward misses 2-pt shot from 7 ft
0:55.0,Defensive rebound by T. Ariza,,52-50,,
0:47.0,K. Papanikolaou makes 3-pt shot from 23 ft (assist by J. Harden),3,55-50,,
0:24.0,,,55-50,,T. Burke misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by T. Black,,55-50,,
0:01.0,J. Harden makes 3-pt shot from 24 ft,3,58-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,58-50,,A. Burks misses 2-pt shot from 6 ft (block by J. Harden)
11:35.0,Defensive rebound by J. Harden,,58-50,,
11:33.0,Turnover by T. Ariza (bad pass; steal by G. Hayward),,58-50,,
11:22.0,,,58-52,2,E. Kanter makes 2-pt shot from 4 ft
11:04.0,D. Howard makes 2-pt shot at rim (assist by T. Jones),2,60-52,,
10:46.0,Personal foul by P. Beverley (drawn by T. Burke),,60-52,,
10:39.0,,,60-52,,Offensive foul by E. Kanter
10:39.0,,,60-52,,Turnover by E. Kanter (offensive foul)
10:28.0,T. Jones misses 2-pt shot from 4 ft (block by D. Favors),,60-52,,
10:26.0,,,60-52,,Defensive rebound by G. Hayward
10:24.0,,,60-52,,Shooting foul by P. Beverley (drawn by T. Burke)
10:24.0,,,60-53,1,T. Burke makes free throw 1 of 2
10:24.0,,,60-54,1,T. Burke makes free throw 2 of 2
10:12.0,T. Jones makes 2-pt shot at rim,2,62-54,,
9:59.0,,,62-57,3,A. Burks makes 3-pt shot from 24 ft (assist by G. Hayward)
9:43.0,J. Harden misses 2-pt shot from 15 ft,,62-57,,
9:41.0,,,62-57,,Defensive rebound by G. Hayward
9:24.0,,,62-57,,E. Kanter misses 2-pt shot from 3 ft
9:23.0,Defensive rebound by D. Howard,,62-57,,
9:11.0,Shooting foul by A. Burks (drawn by D. Howard),,62-57,,
9:11.0,D. Howard misses free throw 1 of 2,,62-57,,
9:11.0,Offensive rebound by Team,,62-57,,
9:11.0,D. Howard makes free throw 2 of 2,1,63-57,,
8:54.0,,,63-57,,T. Burke misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by P. Beverley,,63-57,,
8:46.0,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley),3,66-57,,
8:28.0,,,66-57,,Offensive charge foul by D. Favors
8:28.0,,,66-57,,Turnover by D. Favors (offensive foul)
8:28.0,,,66-57,,R. Gobert enters the game for D. Favors
8:20.0,Offensive foul by J. Harden,,66-57,,
8:20.0,Turnover by J. Harden (offensive foul),,66-57,,
8:00.0,,,66-57,,G. Hayward misses 2-pt shot from 6 ft
7:58.0,Defensive rebound by T. Jones,,66-57,,
7:37.0,D. Howard makes 2-pt shot from 6 ft,2,68-57,,
7:27.0,,,68-57,,E. Kanter misses 2-pt shot from 15 ft
7:26.0,Defensive rebound by J. Harden,,68-57,,
7:16.0,J. Harden misses 3-pt shot from 24 ft,,68-57,,
7:14.0,,,68-57,,Defensive rebound by Team
6:52.0,,,68-57,,G. Hayward misses 2-pt shot from 5 ft (block by D. Howard)
6:50.0,Defensive rebound by D. Howard,,68-57,,
6:49.0,,,68-57,,Personal foul by T. Burke (drawn by J. Harden)
6:32.0,D. Howard misses 2-pt shot from 5 ft,,68-57,,
6:31.0,,,68-57,,Defensive rebound by E. Kanter
6:16.0,,,68-57,,T. Burke misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by T. Ariza,,68-57,,
6:04.0,Offensive foul by J. Harden,,68-57,,
6:04.0,Turnover by J. Harden (offensive foul),,68-57,,
6:04.0,T. Black enters the game for D. Howard,,68-57,,
5:59.0,,,68-57,,Utah full timeout
5:45.0,,,68-57,,E. Kanter misses 2-pt shot from 5 ft
5:43.0,,,68-57,,Offensive rebound by E. Kanter
5:43.0,,,68-59,2,E. Kanter makes 2-pt shot from 2 ft
5:31.0,J. Harden misses 3-pt shot from 24 ft,,68-59,,
5:30.0,,,68-59,,Defensive rebound by R. Gobert
5:14.0,,,68-59,,E. Kanter misses 2-pt shot from 17 ft
5:13.0,Defensive rebound by J. Harden,,68-59,,
5:06.0,T. Black misses 2-pt shot from 2 ft,,68-59,,
5:05.0,,,68-59,,Defensive rebound by Team
5:05.0,K. Papanikolaou enters the game for T. Jones,,68-59,,
4:50.0,,,68-59,,Shooting foul by T. Black (drawn by T. Burke)
4:50.0,,,68-59,,T. Burke misses free throw 1 of 2
4:50.0,,,68-59,,Offensive rebound by Team
4:50.0,J. Terry enters the game for P. Beverley,,68-59,,
4:50.0,,,68-59,,R. Hood enters the game for A. Burks
4:50.0,,,68-59,,T. Booker enters the game for E. Kanter
4:50.0,,,68-60,1,T. Burke makes free throw 2 of 2
4:27.0,T. Black makes 2-pt shot at rim (assist by K. Papanikolaou),2,70-60,,
4:05.0,,,70-62,2,T. Burke makes 2-pt shot from 9 ft
3:39.0,Shooting foul by R. Gobert (drawn by T. Ariza),,70-62,,
3:39.0,T. Ariza makes free throw 1 of 3,1,71-62,,
3:39.0,T. Ariza misses free throw 2 of 3,,71-62,,
3:39.0,Offensive rebound by Team,,71-62,,
3:39.0,T. Ariza makes free throw 3 of 3,1,72-62,,
3:20.0,,,72-62,,T. Burke misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by T. Black,,72-62,,
3:12.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,75-62,,
2:57.0,,,75-62,,R. Hood misses 3-pt shot from 23 ft
2:56.0,,,75-62,,Offensive rebound by G. Hayward
2:52.0,,,75-64,2,T. Booker makes 2-pt shot from 1 ft (assist by G. Hayward)
2:36.0,J. Harden misses 2-pt shot from 17 ft,,75-64,,
2:35.0,,,75-64,,Defensive rebound by G. Hayward
2:32.0,,,75-66,2,T. Burke makes 2-pt shot from 1 ft (assist by G. Hayward)
2:32.0,Houston full timeout,,75-66,,
2:32.0,D. Howard enters the game for T. Black,,75-66,,
2:32.0,,,75-66,,D. Favors enters the game for R. Gobert
2:32.0,I. Canaan enters the game for J. Harden,,75-66,,
2:15.0,K. Papanikolaou misses 3-pt shot from 25 ft,,75-66,,
2:15.0,,,75-66,,Defensive rebound by T. Booker
2:15.0,Personal foul by D. Howard (drawn by D. Favors),,75-66,,
2:15.0,T. Black enters the game for D. Howard,,75-66,,
1:54.0,,,75-66,,D. Favors misses 2-pt shot from 12 ft
1:53.0,,,75-66,,Offensive rebound by D. Favors
1:49.0,,,75-66,,Turnover by T. Booker (bad pass)
1:38.0,J. Terry misses 2-pt shot from 13 ft (block by R. Hood),,75-66,,
1:35.0,,,75-66,,Defensive rebound by R. Hood
1:30.0,,,75-66,,T. Booker misses 2-pt shot from 1 ft (block by K. Papanikolaou)
1:28.0,,,75-66,,Offensive rebound by D. Favors
1:22.0,,,75-68,2,T. Booker makes 2-pt shot from 3 ft (assist by T. Burke)
1:02.0,T. Black misses 2-pt shot from 3 ft,,75-68,,
1:01.0,,,75-68,,Defensive rebound by D. Favors
0:54.0,,,75-70,2,T. Burke makes 2-pt shot from 3 ft
0:30.0,I. Canaan misses 2-pt shot from 23 ft,,75-70,,
0:30.0,,,75-70,,Defensive rebound by Team
0:11.0,,,75-72,2,T. Burke makes 2-pt shot from 2 ft
0:02.0,K. Papanikolaou misses 3-pt shot from 25 ft,,75-72,,
0:00.0,Offensive rebound by Team,,75-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Terry makes 2-pt shot from 18 ft (assist by K. Papanikolaou),2,77-72,,
11:30.0,,,77-72,,R. Hood misses 3-pt shot from 22 ft
11:29.0,,,77-72,,Offensive rebound by T. Booker
11:10.0,,,77-74,2,T. Booker makes 2-pt shot from 8 ft
10:51.0,P. Beverley misses 3-pt shot from 24 ft,,77-74,,
10:50.0,,,77-74,,Defensive rebound by A. Burks
10:44.0,,,77-74,,T. Burke misses 2-pt shot from 3 ft
10:43.0,Defensive rebound by D. Motiejunas,,77-74,,
10:35.0,D. Motiejunas makes 2-pt shot from 2 ft (assist by K. Papanikolaou),2,79-74,,
10:21.0,Personal foul by D. Motiejunas (drawn by D. Favors),,79-74,,
10:21.0,J. Harden enters the game for K. Papanikolaou,,79-74,,
10:21.0,D. Howard enters the game for T. Black,,79-74,,
10:21.0,,,79-74,,D. Exum enters the game for T. Burke
10:07.0,,,79-76,2,A. Burks makes 2-pt shot from 17 ft
9:48.0,D. Howard misses 2-pt shot from 1 ft (block by D. Favors),,79-76,,
9:46.0,,,79-76,,Defensive rebound by R. Hood
9:29.0,,,79-76,,R. Hood misses 2-pt shot from 15 ft
9:29.0,Defensive rebound by Team,,79-76,,
9:29.0,,,79-76,,Personal foul by T. Booker (drawn by D. Motiejunas)
9:29.0,T. Jones enters the game for D. Motiejunas,,79-76,,
9:29.0,,,79-76,,E. Kanter enters the game for T. Booker
9:18.0,Shooting foul by D. Favors (drawn by J. Harden),,79-76,,
9:18.0,J. Harden makes free throw 1 of 2,1,80-76,,
9:18.0,J. Harden makes free throw 2 of 2,1,81-76,,
9:02.0,,,81-76,,E. Kanter misses 3-pt shot from 23 ft
9:00.0,,,81-76,,Offensive rebound by D. Favors
9:00.0,,,81-76,,Turnover by D. Favors (lost ball; steal by D. Howard)
9:00.0,,,81-76,,Personal foul by E. Kanter (drawn by D. Howard)
9:00.0,,,81-76,,R. Gobert enters the game for D. Favors
8:48.0,T. Jones makes 3-pt shot from 24 ft (assist by P. Beverley),3,84-76,,
8:40.0,,,84-76,,A. Burks misses 2-pt shot from 2 ft (block by T. Jones)
8:38.0,Defensive rebound by J. Harden,,84-76,,
8:32.0,T. Jones makes 2-pt shot from 3 ft,2,86-76,,
8:05.0,,,86-76,,D. Exum misses 2-pt shot from 19 ft
8:05.0,,,86-76,,Offensive rebound by Team
8:05.0,,,86-76,,Turnover by Team (shot clock)
8:05.0,Official timeout,,86-76,,
8:05.0,T. Ariza enters the game for J. Terry,,86-76,,
8:05.0,,,86-76,,G. Hayward enters the game for R. Hood
8:05.0,,,86-76,,T. Burke enters the game for D. Exum
7:46.0,Turnover by T. Jones (palming),,86-76,,
7:35.0,,,86-76,,E. Kanter misses 2-pt shot from 4 ft
7:34.0,Defensive rebound by D. Howard,,86-76,,
7:27.0,J. Harden misses 3-pt shot from 24 ft,,86-76,,
7:26.0,Offensive rebound by T. Jones,,86-76,,
7:10.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,89-76,,
6:58.0,,,89-76,,T. Burke misses 2-pt shot from 15 ft
6:57.0,Defensive rebound by D. Howard,,89-76,,
6:41.0,D. Howard misses 2-pt shot from 5 ft,,89-76,,
6:40.0,,,89-76,,Defensive rebound by E. Kanter
6:30.0,,,89-76,,A. Burks misses 2-pt shot from 16 ft
6:28.0,,,89-76,,Offensive rebound by R. Gobert
6:25.0,,,89-76,,G. Hayward misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by P. Beverley,,89-76,,
6:11.0,Turnover by D. Howard (lost ball; steal by R. Gobert),,89-76,,
6:06.0,,,89-76,,Shooting foul by J. Harden (drawn by A. Burks)
6:06.0,,,89-76,,A. Burks misses free throw 1 of 2
6:06.0,,,89-76,,Offensive rebound by Team
6:06.0,,,89-76,,T. Booker enters the game for E. Kanter
6:06.0,,,89-77,1,A. Burks makes free throw 2 of 2
5:45.0,J. Harden makes 2-pt shot from 19 ft,2,91-77,,
5:32.0,,,91-77,,G. Hayward misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by D. Howard,,91-77,,
5:19.0,P. Beverley makes 2-pt shot from 2 ft,2,93-77,,
5:12.0,,,93-77,,T. Burke misses 2-pt shot from 2 ft (block by T. Jones)
5:10.0,,,93-77,,Offensive rebound by T. Booker
5:10.0,,,93-77,,Shooting foul by T. Jones (drawn by T. Booker)
5:10.0,,,93-77,,Utah full timeout
5:10.0,,,93-77,,D. Favors enters the game for R. Gobert
5:10.0,J. Terry enters the game for P. Beverley,,93-77,,
5:10.0,,,93-78,1,T. Booker makes free throw 1 of 2
5:10.0,,,93-79,1,T. Booker makes free throw 2 of 2
4:53.0,Turnover by D. Howard (lost ball; steal by A. Burks),,93-79,,
4:44.0,,,93-79,,D. Favors misses 2-pt shot from 18 ft
4:43.0,,,93-79,,Offensive rebound by G. Hayward
4:40.0,,,93-81,2,G. Hayward makes 2-pt shot from 2 ft
4:22.0,Shooting foul by A. Burks (drawn by J. Harden),,93-81,,
4:22.0,J. Harden makes free throw 1 of 3,1,94-81,,
4:22.0,J. Harden misses free throw 2 of 3,,94-81,,
4:22.0,Offensive rebound by Team,,94-81,,
4:22.0,J. Harden makes free throw 3 of 3,1,95-81,,
4:06.0,,,95-83,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
3:42.0,J. Harden misses 3-pt shot from 24 ft,,95-83,,
3:39.0,,,95-83,,Defensive rebound by T. Booker
3:32.0,,,95-83,,T. Burke misses 2-pt shot from 21 ft
3:31.0,Defensive rebound by J. Harden,,95-83,,
3:24.0,T. Ariza misses 3-pt shot from 24 ft,,95-83,,
3:22.0,Offensive rebound by D. Howard,,95-83,,
3:22.0,D. Howard makes 2-pt shot from 2 ft,2,97-83,,
3:16.0,,,97-85,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
3:16.0,,,97-85,,Shooting foul by D. Howard (drawn by D. Favors)
3:16.0,,,97-85,,D. Favors misses free throw 1 of 1
3:14.0,Defensive rebound by T. Ariza,,97-85,,
2:59.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,100-85,,
2:47.0,,,100-85,,A. Burks misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by D. Howard,,100-85,,
2:30.0,Turnover by J. Harden (bad pass; steal by D. Favors),,100-85,,
