time,New York,pts.away,score,pts.home,LA Lakers
3:17.0,,,96-82,,W. Johnson misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by A. Shved,,96-82,,
2:52.0,J. Smith misses 2-pt shot from 15 ft,,96-82,,
2:52.0,,,96-82,,Defensive rebound by Team
2:52.0,New York full timeout,,96-82,,
2:32.0,,,96-85,3,W. Ellington makes 3-pt shot from 26 ft
2:10.0,Turnover by A. Shved (lost ball; steal by W. Johnson),,96-85,,
2:06.0,,,96-85,,Shooting foul by J. Smith (drawn by J. Clarkson)
2:06.0,,,96-86,1,J. Clarkson makes free throw 1 of 2
2:06.0,L. Galloway enters the game for C. Early,,96-86,,
2:06.0,,,96-86,,J. Clarkson misses free throw 2 of 2
2:02.0,,,96-86,,Offensive rebound by J. Hill
2:01.0,,,96-88,2,J. Hill makes 2-pt shot from 3 ft
1:42.0,A. Shved misses 2-pt shot from 3 ft (block by J. Hill),,96-88,,
1:40.0,,,96-88,,Defensive rebound by J. Hill
1:27.0,,,96-88,,W. Ellington misses 3-pt shot from 26 ft
1:26.0,Defensive rebound by A. Shved,,96-88,,
1:05.0,T. Hardaway misses 2-pt shot from 19 ft,,96-88,,
1:03.0,,,96-88,,Defensive rebound by W. Ellington
1:03.0,Personal take foul by A. Shved (drawn by W. Ellington),,96-88,,
0:53.0,,,96-91,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Hill)
0:53.0,New York full timeout,,96-91,,
0:32.0,J. Smith makes 2-pt shot from 2 ft (assist by A. Shved),2,98-91,,
0:32.0,,,98-91,,LA Lakers full timeout
0:29.0,,,98-91,,W. Ellington misses 2-pt shot at rim (block by J. Smith)
0:26.0,,,98-91,,Offensive rebound by J. Hill
0:24.0,,,98-94,3,J. Hill makes 3-pt shot from 24 ft
0:24.0,New York full timeout,,98-94,,
0:23.0,,,98-94,,Personal take foul by J. Hill (drawn by A. Bargnani)
0:23.0,A. Bargnani misses free throw 1 of 2,,98-94,,
0:23.0,Offensive rebound by Team,,98-94,,
0:23.0,A. Bargnani makes free throw 2 of 2,1,99-94,,
0:23.0,,,99-94,,LA Lakers full timeout
0:20.0,,,99-94,,J. Hill misses 2-pt shot from 3 ft
0:19.0,Defensive rebound by Team,,99-94,,
0:16.0,,,99-94,,Personal take foul by T. Black (drawn by J. Smith)
0:16.0,,,99-94,,R. Kelly enters the game for T. Black
0:16.0,J. Smith makes free throw 1 of 2,1,100-94,,
0:16.0,C. Early enters the game for A. Bargnani,,100-94,,
0:16.0,J. Smith makes free throw 2 of 2,1,101-94,,
0:10.0,,,101-94,,J. Clarkson misses 3-pt shot from 29 ft
0:07.0,Defensive rebound by C. Early,,101-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
