time,Golden State,pts.away,score,pts.home,Boston
10:39.0,A. Bogut makes 2-pt shot from 1 ft,2,51-67,,
10:14.0,,,51-69,2,B. Bass makes 2-pt shot from 16 ft
10:04.0,S. Curry makes 2-pt shot from 1 ft,2,53-69,,
9:52.0,,,53-69,,A. Bradley misses 2-pt shot from 19 ft
9:51.0,Defensive rebound by D. Green,,53-69,,
9:47.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,55-69,,
9:27.0,Personal foul by S. Curry (drawn by A. Bradley),,55-69,,
9:20.0,,,55-69,,A. Bradley misses 2-pt shot from 16 ft
9:19.0,,,55-69,,Offensive rebound by B. Bass
9:16.0,,,55-69,,A. Bradley misses 2-pt shot from 19 ft
9:15.0,Defensive rebound by A. Bogut,,55-69,,
9:03.0,,,55-69,,Personal foul by E. Turner (drawn by D. Green)
8:55.0,K. Thompson makes 2-pt shot from 19 ft (assist by A. Bogut),2,57-69,,
8:44.0,,,57-69,,Turnover by E. Turner (bad pass; steal by S. Curry)
8:40.0,S. Curry makes 3-pt shot from 25 ft,3,60-69,,
8:40.0,,,60-69,,Boston full timeout
8:23.0,,,60-69,,T. Zeller misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by K. Thompson,,60-69,,
8:08.0,S. Curry misses 2-pt shot from 20 ft,,60-69,,
8:07.0,,,60-69,,Defensive rebound by B. Bass
7:59.0,,,60-69,,B. Bass misses 2-pt shot from 1 ft (block by A. Bogut)
7:58.0,,,60-69,,Offensive rebound by Team
7:55.0,,,60-71,2,T. Zeller makes 2-pt shot from 13 ft (assist by E. Turner)
7:32.0,,,60-71,,Personal foul by E. Turner (drawn by S. Curry)
7:28.0,,,60-71,,Personal foul by M. Smart (drawn by K. Thompson)
7:17.0,H. Barnes misses 2-pt shot from 4 ft,,60-71,,
7:16.0,Offensive rebound by A. Bogut,,60-71,,
7:16.0,A. Bogut misses 2-pt shot at rim,,60-71,,
7:14.0,,,60-71,,Defensive rebound by E. Turner
7:04.0,,,60-71,,T. Zeller misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by S. Curry,,60-71,,
6:54.0,H. Barnes misses 3-pt shot from 23 ft,,60-71,,
6:53.0,,,60-71,,Defensive rebound by T. Zeller
6:48.0,,,60-73,2,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner)
6:24.0,K. Thompson misses 2-pt shot from 19 ft,,60-73,,
6:23.0,Offensive rebound by H. Barnes,,60-73,,
6:23.0,H. Barnes makes 2-pt shot from 1 ft,2,62-73,,
6:10.0,A. Iguodala enters the game for H. Barnes,,62-73,,
6:00.0,,,62-75,2,A. Bradley makes 2-pt shot from 19 ft (assist by M. Smart)
5:51.0,Turnover by S. Curry (lost ball),,62-75,,
5:51.0,,,62-75,,I. Thomas enters the game for M. Smart
5:40.0,,,62-77,2,T. Zeller makes 2-pt shot at rim (assist by A. Bradley)
5:24.0,K. Thompson misses 2-pt shot from 16 ft,,62-77,,
5:23.0,Offensive rebound by A. Bogut,,62-77,,
5:15.0,D. Green misses 3-pt shot from 25 ft,,62-77,,
5:14.0,,,62-77,,Defensive rebound by T. Zeller
4:56.0,,,62-77,,Turnover by T. Zeller (lost ball; steal by A. Bogut)
4:54.0,Golden State full timeout,,62-77,,
4:44.0,A. Bogut misses 2-pt shot from 2 ft,,62-77,,
4:43.0,,,62-77,,Defensive rebound by E. Turner
4:26.0,,,62-77,,A. Bradley misses 2-pt shot from 1 ft
4:24.0,,,62-77,,Offensive rebound by B. Bass
4:22.0,,,62-77,,B. Bass misses 2-pt shot from 17 ft
4:21.0,,,62-77,,Offensive rebound by A. Bradley
4:21.0,,,62-77,,A. Bradley misses 2-pt shot at rim
4:20.0,Defensive rebound by A. Bogut,,62-77,,
4:14.0,K. Thompson misses 3-pt shot from 27 ft,,62-77,,
4:13.0,,,62-77,,Defensive rebound by B. Bass
3:58.0,Personal foul by D. Green (drawn by T. Zeller),,62-77,,
3:58.0,S. Livingston enters the game for S. Curry,,62-77,,
3:51.0,Personal foul by S. Livingston (drawn by I. Thomas),,62-77,,
3:45.0,Personal foul by S. Livingston (drawn by I. Thomas),,62-77,,
3:30.0,,,62-77,,E. Turner misses 2-pt shot from 20 ft
3:29.0,Defensive rebound by K. Thompson,,62-77,,
3:26.0,,,62-77,,Personal foul by I. Thomas (drawn by K. Thompson)
3:19.0,K. Thompson makes 2-pt shot from 10 ft,2,64-77,,
2:57.0,,,64-79,2,B. Bass makes 2-pt shot at rim
2:46.0,,,64-79,,Personal foul by I. Thomas (drawn by S. Livingston)
2:46.0,S. Livingston makes free throw 1 of 2,1,65-79,,
2:46.0,,,65-79,,J. Crowder enters the game for T. Zeller
2:46.0,,,65-79,,J. Young enters the game for E. Turner
2:46.0,H. Barnes enters the game for A. Bogut,,65-79,,
2:46.0,S. Livingston makes free throw 2 of 2,1,66-79,,
2:35.0,,,66-79,,J. Young misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by D. Green,,66-79,,
2:29.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,68-79,,
2:18.0,,,68-79,,I. Thomas misses 2-pt shot from 4 ft
2:17.0,,,68-79,,Offensive rebound by Team
2:17.0,Loose ball foul by H. Barnes (drawn by B. Bass),,68-79,,
