time,Atlanta,pts.away,score,pts.home,Utah
1:57.0,,,95-89,,T. Burke misses 3-pt shot from 24 ft
1:55.0,,,95-89,,Offensive rebound by D. Exum
1:44.0,Personal foul by K. Korver (drawn by D. Favors),,95-89,,
1:44.0,,,95-90,1,D. Favors makes free throw 1 of 2
1:44.0,A. Horford enters the game for E. Brand,,95-90,,
1:44.0,,,95-91,1,D. Favors makes free throw 2 of 2
1:28.0,D. Carroll misses 2-pt shot from 3 ft,,95-91,,
1:27.0,,,95-91,,Defensive rebound by D. Favors
1:10.0,,,95-91,,D. Favors misses 2-pt shot from 15 ft
1:07.0,Defensive rebound by J. Teague,,95-91,,
0:46.0,A. Horford misses 2-pt shot from 20 ft,,95-91,,
0:45.0,,,95-91,,Defensive rebound by D. Favors
0:37.0,,,95-91,,G. Hayward misses 2-pt shot from 9 ft
0:36.0,Defensive rebound by Team,,95-91,,
0:36.0,,,95-91,,Loose ball foul by R. Gobert (drawn by P. Millsap)
0:36.0,Atlanta full timeout,,95-91,,
0:25.0,,,95-91,,Personal foul by G. Hayward (drawn by D. Carroll)
0:25.0,D. Carroll misses free throw 1 of 2,,95-91,,
0:25.0,Offensive rebound by Team,,95-91,,
0:25.0,D. Carroll makes free throw 2 of 2,1,96-91,,
0:18.0,,,96-91,,Shooting foul by K. Korver (drawn by R. Gobert)
0:18.0,T. Sefolosha enters the game for K. Korver,,96-91,,
0:18.0,,,96-91,,R. Gobert misses free throw 1 of 2
0:18.0,,,96-91,,Offensive rebound by Team
0:18.0,,,96-92,1,R. Gobert makes free throw 2 of 2
0:17.0,,,96-92,,Personal foul by T. Burke (drawn by A. Horford)
0:17.0,A. Horford misses free throw 1 of 2,,96-92,,
0:17.0,Offensive rebound by Team,,96-92,,
0:17.0,A. Horford makes free throw 2 of 2,1,97-92,,
0:17.0,,,97-92,,Utah full timeout
0:17.0,,,97-92,,S. Novak enters the game for R. Gobert
0:13.0,,,97-92,,T. Burke misses 3-pt shot from 22 ft
0:12.0,Defensive rebound by Team,,97-92,,
0:08.0,,,97-92,,Personal foul by G. Hayward (drawn by J. Teague)
0:08.0,J. Teague misses free throw 1 of 2,,97-92,,
0:08.0,Offensive rebound by Team,,97-92,,
0:08.0,J. Teague makes free throw 2 of 2,1,98-92,,
0:08.0,,,98-92,,Utah full timeout
0:01.0,,,98-92,,T. Burke misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by D. Carroll,,98-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
