time,Boston,pts.away,score,pts.home,Charlotte
0:35.0,,,110-104,2,K. Walker makes 2-pt shot from 1 ft
0:35.0,Turnover by M. Smart (bad pass),,110-104,,
0:32.0,,,110-104,,K. Walker misses 3-pt shot from 24 ft
0:28.0,Jump ball: E. Turner vs. K. Walker (A. Bradley gains possession),,,,Jump ball: E. Turner vs. K. Walker (A. Bradley gains possession)
0:28.0,Defensive rebound by Team,,110-104,,
0:24.0,,,110-104,,Clear path foul by M. Williams
0:24.0,A. Bradley makes clear path free throw 1 of 2,1,111-104,,
0:24.0,A. Bradley makes clear path free throw 2 of 2,1,112-104,,
0:24.0,I. Thomas enters the game for M. Smart,,112-104,,
0:24.0,,,112-104,,Personal take foul by M. Williams (drawn by I. Thomas)
0:24.0,I. Thomas makes free throw 1 of 2,1,113-104,,
0:24.0,I. Thomas makes free throw 2 of 2,1,114-104,,
0:24.0,,,114-104,,Charlotte full timeout
0:24.0,M. Smart enters the game for I. Thomas,,114-104,,
0:17.0,,,114-104,,M. Williams misses 3-pt shot from 23 ft
0:16.0,Defensive rebound by M. Smart,,114-104,,
0:16.0,,,114-104,,Personal foul by G. Henderson (drawn by M. Smart)
0:16.0,,,114-104,,J. Taylor enters the game for G. Henderson
0:16.0,M. Smart makes free throw 1 of 2,1,115-104,,
0:16.0,M. Smart makes free throw 2 of 2,1,116-104,,
0:08.0,,,116-104,,K. Walker misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by M. Smart,,116-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
