time,Washington,pts.away,score,pts.home,Cleveland
4:26.0,,,101-103,,Defensive rebound by J. Harris
4:15.0,,,101-103,,J. Harris misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by D. Blair,,101-103,,
4:05.0,Turnover by R. Sessions (bad pass; steal by K. Perkins),,101-103,,
3:56.0,,,101-103,,J. Harris misses 2-pt shot from 13 ft
3:54.0,Defensive rebound by D. Blair,,101-103,,
3:39.0,R. Butler misses 2-pt shot from 3 ft,,101-103,,
3:34.0,Offensive rebound by R. Butler,,101-103,,
3:34.0,R. Butler misses 2-pt shot at rim,,101-103,,
3:32.0,,,101-103,,Defensive rebound by S. Marion
3:30.0,,,101-103,,Turnover by K. Perkins (traveling)
3:30.0,W. Bynum enters the game for R. Sessions,,101-103,,
3:16.0,,,101-103,,Personal foul by K. Perkins (drawn by K. Seraphin)
3:08.0,K. Seraphin makes 2-pt shot from 14 ft (assist by W. Bynum),2,103-103,,
2:53.0,,,103-106,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by J. Harris)
2:39.0,M. Webster makes 3-pt shot from 24 ft (assist by W. Bynum),3,106-106,,
2:21.0,,,106-106,,K. Perkins misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by R. Butler,,106-106,,
2:04.0,D. Blair misses 2-pt shot from 3 ft (block by B. Haywood),,106-106,,
2:02.0,Offensive rebound by W. Bynum,,106-106,,
1:59.0,,,106-106,,Violation by S. Marion (kicked ball)
1:46.0,W. Bynum misses 3-pt shot from 25 ft,,106-106,,
1:45.0,Offensive rebound by D. Blair,,106-106,,
1:28.0,W. Bynum misses 2-pt shot from 13 ft,,106-106,,
1:27.0,,,106-106,,Defensive rebound by M. Dellavedova
1:12.0,,,106-106,,K. Perkins misses 2-pt shot from 5 ft
1:11.0,Defensive rebound by K. Seraphin,,106-106,,
1:08.0,,,106-106,,Personal foul by M. Dellavedova (drawn by W. Bynum)
1:00.0,M. Webster misses 3-pt shot from 23 ft,,106-106,,
0:59.0,Offensive rebound by W. Bynum,,106-106,,
0:58.0,W. Bynum misses 2-pt shot from 12 ft (block by B. Haywood),,106-106,,
0:58.0,Offensive rebound by Team,,106-106,,
0:54.0,W. Bynum misses 3-pt shot from 25 ft,,106-106,,
0:53.0,,,106-106,,Defensive rebound by K. Perkins
0:34.0,,,106-106,,Shooting foul by D. Blair (drawn by B. Haywood)
0:34.0,,,106-106,,B. Haywood misses free throw 1 of 2
0:34.0,,,106-106,,Offensive rebound by Team
0:34.0,,,106-107,1,B. Haywood makes free throw 2 of 2
0:34.0,Washington full timeout,,106-107,,
0:29.0,W. Bynum makes 2-pt shot from 8 ft,2,108-107,,
0:10.0,,,108-109,2,B. Haywood makes 2-pt shot from 7 ft (assist by M. Dellavedova)
0:10.0,Washington full timeout,,108-109,,
0:09.0,Personal foul by W. Bynum (drawn by M. Dellavedova),,108-109,,
0:09.0,,,108-110,1,M. Dellavedova makes free throw 1 of 2
0:09.0,,,108-111,1,M. Dellavedova makes free throw 2 of 2
0:09.0,Washington full timeout,,108-111,,
0:09.0,R. Sessions enters the game for K. Seraphin,,108-111,,
0:09.0,,,108-111,,J. Jones enters the game for B. Haywood
0:07.0,Turnover by M. Webster (bad pass; steal by S. Marion),,108-111,,
0:04.0,,,108-113,2,S. Marion makes 2-pt shot at rim
0:00.0,End of 1st overtime,,,,End of 1st overtime
