time,Brooklyn,pts.away,score,pts.home,Orlando
0:31.0,Turnover by M. Plumlee (lost ball; steal by C. Frye),,98-95,,
0:31.0,Jump ball: C. Frye vs. M. Plumlee,,,,Jump ball: C. Frye vs. M. Plumlee
0:29.0,A. Anderson enters the game for M. Plumlee,,98-95,,
0:24.0,,,98-95,,E. Fournier misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by Team,,98-95,,
0:23.0,B. Lopez enters the game for A. Anderson,,98-95,,
0:23.0,,,98-95,,V. Oladipo enters the game for C. Frye
0:23.0,Brooklyn full timeout,,98-95,,
0:22.0,,,98-95,,Personal foul by D. Marble (drawn by J. Johnson)
0:22.0,J. Johnson makes free throw 1 of 2,1,99-95,,
0:22.0,A. Anderson enters the game for B. Lopez,,99-95,,
0:22.0,,,99-95,,C. Frye enters the game for E. Fournier
0:22.0,,,99-95,,N. Vucevic enters the game for D. Marble
0:22.0,J. Johnson makes free throw 2 of 2,1,100-95,,
0:22.0,,,100-95,,Orlando full timeout
0:22.0,,,100-95,,E. Fournier enters the game for V. Oladipo
0:16.0,Jump ball: A. Anderson vs. E. Fournier (J. Jack gains possession),,,,Jump ball: A. Anderson vs. E. Fournier (J. Jack gains possession)
0:16.0,,,100-95,,Turnover by E. Fournier (lost ball; steal by A. Anderson)
0:14.0,Turnover by J. Jack (step out of bounds),,100-95,,
0:09.0,,,100-95,,E. Payton misses 2-pt shot from 19 ft
0:08.0,,,100-95,,Offensive rebound by E. Payton
0:04.0,,,100-98,3,E. Payton makes 3-pt shot from 23 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
