time,Denver,pts.away,score,pts.home,Houston
7:46.0,,,84-95,,Shooting foul by D. Arthur (drawn by T. Ariza)
7:46.0,,,84-96,1,T. Ariza makes free throw 1 of 2
7:46.0,,,84-97,1,T. Ariza makes free throw 2 of 2
7:34.0,J. Nelson misses 2-pt shot from 22 ft,,84-97,,
7:33.0,,,84-97,,Defensive rebound by J. Dorsey
7:25.0,,,84-97,,Turnover by J. Harden (bad pass; steal by D. Arthur)
7:20.0,Shooting foul by J. Dorsey (drawn by W. Barton),,84-97,,
7:20.0,W. Barton misses free throw 1 of 2,,84-97,,
7:20.0,Offensive rebound by Team,,84-97,,
7:20.0,,,84-97,,D. Motiejunas enters the game for J. Dorsey
7:20.0,W. Barton makes free throw 2 of 2,1,85-97,,
7:08.0,,,85-97,,J. Harden misses 3-pt shot from 26 ft
7:06.0,,,85-97,,Offensive rebound by D. Motiejunas
6:57.0,Personal foul by J. Nelson (drawn by J. Harden),,85-97,,
6:57.0,D. Gallinari enters the game for W. Barton,,85-97,,
6:57.0,W. Chandler enters the game for J. Nelson,,85-97,,
6:57.0,T. Lawson enters the game for D. Arthur,,85-97,,
6:57.0,K. Faried enters the game for J. Nurkic,,85-97,,
6:44.0,,,85-97,,D. Motiejunas misses 2-pt shot from 4 ft
6:44.0,Defensive rebound by K. Faried,,85-97,,
6:44.0,,,85-97,,Loose ball foul by D. Motiejunas (drawn by K. Faried)
6:25.0,R. Foye misses 3-pt shot from 22 ft,,85-97,,
6:23.0,,,85-97,,Defensive rebound by T. Ariza
6:21.0,,,85-97,,J. Harden misses 2-pt shot from 2 ft (block by W. Chandler)
6:21.0,,,85-97,,Offensive rebound by Team
6:17.0,Violation by K. Faried (def goaltending),,85-97,,
6:17.0,,,85-99,2,J. Harden makes 2-pt shot from 3 ft
6:02.0,Shooting foul by P. Beverley (drawn by K. Faried),,85-99,,
6:02.0,K. Faried makes free throw 1 of 2,1,86-99,,
6:02.0,K. Faried misses free throw 2 of 2,,86-99,,
6:02.0,,,86-99,,Defensive rebound by J. Harden
5:39.0,,,86-99,,J. Harden misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by D. Gallinari,,86-99,,
5:31.0,W. Chandler makes 2-pt shot from 13 ft,2,88-99,,
5:31.0,Shooting foul by C. Brewer (drawn by W. Chandler),,88-99,,
5:31.0,Official timeout,,88-99,,
5:31.0,W. Chandler makes free throw 1 of 1,1,89-99,,
5:17.0,,,89-99,,J. Harden misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by K. Faried,,89-99,,
5:06.0,K. Faried makes 2-pt shot from 9 ft (assist by T. Lawson),2,91-99,,
4:55.0,,,91-99,,Shooting foul by K. Faried (drawn by J. Harden)
4:55.0,,,91-100,1,J. Harden makes free throw 1 of 2
4:55.0,,,91-100,,J. Harden misses free throw 2 of 2
4:55.0,,,91-100,,Offensive rebound by D. Motiejunas
4:47.0,,,91-100,,P. Beverley misses 3-pt shot from 26 ft
4:46.0,Defensive rebound by W. Chandler,,91-100,,
4:37.0,Turnover by T. Lawson (bad pass; steal by C. Brewer),,91-100,,
4:32.0,,,91-102,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
4:15.0,W. Chandler misses 3-pt shot from 25 ft,,91-102,,
4:14.0,,,91-102,,Defensive rebound by J. Harden
4:06.0,,,91-104,2,J. Harden makes 2-pt shot from 18 ft
4:05.0,Denver full timeout,,91-104,,
3:56.0,R. Foye makes 2-pt shot from 7 ft,2,93-104,,
3:42.0,,,93-104,,T. Ariza misses 2-pt shot from 20 ft
3:40.0,Defensive rebound by T. Lawson,,93-104,,
3:29.0,R. Foye misses 3-pt shot from 24 ft,,93-104,,
3:27.0,,,93-104,,Defensive rebound by D. Motiejunas
3:15.0,,,93-104,,J. Harden misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by K. Faried,,93-104,,
3:08.0,K. Faried makes 2-pt shot from 1 ft,2,95-104,,
2:43.0,,,95-106,2,P. Beverley makes 2-pt shot from 2 ft
2:31.0,K. Faried makes 2-pt shot at rim (assist by R. Foye),2,97-106,,
2:16.0,,,97-106,,Shooting foul by W. Chandler (drawn by J. Harden)
2:16.0,,,97-107,1,J. Harden makes free throw 1 of 2
2:16.0,,,97-108,1,J. Harden makes free throw 2 of 2
2:01.0,Turnover by D. Gallinari (bad pass; steal by D. Motiejunas),,97-108,,
1:49.0,,,97-108,,J. Harden misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by Team,,97-108,,
1:47.0,Denver full timeout,,97-108,,
1:33.0,D. Gallinari misses 3-pt shot from 23 ft,,97-108,,
1:32.0,,,97-108,,Defensive rebound by C. Brewer
1:18.0,,,97-110,2,C. Brewer makes 2-pt shot at rim (assist by D. Motiejunas)
1:07.0,R. Foye makes 2-pt shot from 2 ft,2,99-110,,
1:03.0,Personal foul by D. Gallinari (drawn by J. Harden),,99-110,,
1:03.0,,,99-111,1,J. Harden makes free throw 1 of 2
1:03.0,,,99-112,1,J. Harden makes free throw 2 of 2
0:48.0,W. Chandler makes 3-pt shot from 23 ft (assist by R. Foye),3,102-112,,
0:38.0,,,102-115,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza)
0:30.0,T. Lawson makes 3-pt shot from 25 ft (assist by D. Gallinari),3,105-115,,
0:17.0,,,105-118,3,T. Ariza makes 3-pt shot from 24 ft (assist by C. Brewer)
0:07.0,T. Lawson makes 3-pt shot from 25 ft (assist by R. Foye),3,108-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
