time,Detroit,pts.away,score,pts.home,Washington
1:19.0,Turnover by S. Dinwiddie (bad pass; steal by P. Pierce),,91-94,,
1:02.0,,,91-96,2,J. Wall makes 2-pt shot from 5 ft
0:53.0,G. Monroe makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,93-96,,
0:34.0,,,93-96,,Turnover by J. Wall (bad pass; steal by S. Dinwiddie)
0:19.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,95-96,,
0:10.0,Personal foul by K. Caldwell-Pope (drawn by B. Beal),,95-96,,
0:10.0,,,95-97,1,B. Beal makes free throw 1 of 2
0:10.0,A. Drummond enters the game for A. Tolliver,,95-97,,
0:10.0,,,95-97,,B. Beal misses free throw 2 of 2
0:08.0,,,95-97,,Offensive rebound by M. Gortat
0:07.0,Personal take foul by S. Dinwiddie (drawn by J. Wall),,95-97,,
0:07.0,,,95-98,1,J. Wall makes free throw 1 of 2
0:07.0,,,95-99,1,J. Wall makes free throw 2 of 2
0:07.0,Detroit full timeout,,95-99,,
0:07.0,A. Tolliver enters the game for A. Drummond,,95-99,,
0:07.0,,,95-99,,G. Temple enters the game for P. Pierce
0:07.0,,,95-99,,O. Porter enters the game for M. Gortat
0:04.0,A. Tolliver misses 3-pt shot from 23 ft,,95-99,,
0:03.0,,,95-99,,Defensive rebound by G. Temple
0:02.0,Personal take foul by C. Butler (drawn by G. Temple),,95-99,,
0:02.0,,,95-99,,G. Temple misses free throw 1 of 2
0:02.0,,,95-99,,Offensive rebound by Team
0:02.0,,,95-99,,G. Temple misses free throw 2 of 2
0:01.0,Defensive rebound by G. Monroe,,95-99,,
0:01.0,Detroit full timeout,,95-99,,
0:00.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,95-99,,
0:00.0,Offensive rebound by Team,,95-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
