time,Indiana,pts.away,score,pts.home,Charlotte
1:55.0,R. Stuckey misses 3-pt shot from 28 ft,,95-98,,
1:53.0,,,95-98,,Defensive rebound by A. Jefferson
1:36.0,,,95-98,,Shooting foul by R. Hibbert (drawn by A. Jefferson)
1:36.0,,,95-99,1,A. Jefferson makes free throw 1 of 2
1:36.0,D. West enters the game for R. Hibbert,,95-99,,
1:36.0,C. Watson enters the game for S. Hill,,95-99,,
1:36.0,,,95-99,,A. Jefferson misses free throw 2 of 2
1:34.0,Defensive rebound by R. Stuckey,,95-99,,
1:13.0,L. Scola misses 2-pt shot from 17 ft,,95-99,,
1:11.0,Offensive rebound by Team,,95-99,,
1:11.0,C. Miles enters the game for R. Stuckey,,95-99,,
0:58.0,C. Watson makes 3-pt shot from 23 ft (assist by G. Hill),3,98-99,,
0:42.0,,,98-99,,Turnover by M. Williams (bad pass)
0:42.0,Indiana full timeout,,98-99,,
0:42.0,,,98-99,,C. Zeller enters the game for A. Jefferson
0:42.0,,,98-99,,J. Taylor enters the game for G. Neal
0:33.0,Shooting foul by M. Williams (drawn by D. West),,98-99,,
0:33.0,D. West makes free throw 1 of 2,1,99-99,,
0:33.0,,,99-99,,A. Jefferson enters the game for C. Zeller
0:33.0,D. West makes free throw 2 of 2,1,100-99,,
0:33.0,,,100-99,,Charlotte full timeout
0:33.0,S. Hill enters the game for C. Watson,,100-99,,
0:33.0,,,100-99,,G. Neal enters the game for J. Taylor
0:24.0,,,100-99,,G. Henderson misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by L. Scola,,100-99,,
0:24.0,,,100-99,,Personal foul by A. Jefferson (drawn by L. Scola)
0:24.0,L. Scola misses free throw 1 of 2,,100-99,,
0:24.0,Offensive rebound by Team,,100-99,,
0:24.0,,,100-99,,J. Taylor enters the game for G. Neal
0:24.0,L. Scola makes free throw 2 of 2,1,101-99,,
0:24.0,,,101-99,,Charlotte full timeout
0:24.0,,,101-99,,G. Neal enters the game for J. Taylor
0:14.0,,,101-102,3,M. Williams makes 3-pt shot from 25 ft (assist by B. Roberts)
0:14.0,Indiana full timeout,,101-102,,
0:14.0,C. Watson enters the game for S. Hill,,101-102,,
0:14.0,,,101-102,,J. Taylor enters the game for A. Jefferson
0:14.0,,,101-102,,C. Zeller enters the game for G. Neal
0:05.0,G. Hill makes 2-pt shot from 2 ft,2,103-102,,
0:00.0,,,103-102,,B. Roberts misses 3-pt shot from 32 ft
0:00.0,,,103-102,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
