time,Washington,pts.away,score,pts.home,Philadelphia
2:53.0,Washington full timeout,,112-86,,
2:53.0,,,112-86,,H. Sims misses free throw 1 of 2
2:53.0,,,112-86,,Offensive rebound by Team
2:53.0,,,112-86,,G. Robinson enters the game for R. Covington
2:53.0,,,112-87,1,H. Sims makes free throw 2 of 2
2:36.0,M. Webster misses 3-pt shot from 23 ft,,112-87,,
2:34.0,,,112-87,,Defensive rebound by T. Robinson
2:21.0,,,112-87,,J. Grant misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by M. Webster,,112-87,,
2:10.0,D. Blair makes flagrant free throw 1 of 2,1,113-87,,
2:10.0,D. Blair misses flagrant free throw 2 of 2,,113-87,,
2:10.0,Offensive rebound by Team,,113-87,,
2:02.0,M. Webster misses 3-pt shot from 25 ft,,113-87,,
2:01.0,,,113-87,,Defensive rebound by T. Robinson
1:50.0,,,113-89,2,H. Sims makes 2-pt shot from 4 ft
1:37.0,R. Butler makes 2-pt shot from 1 ft (assist by W. Bynum),2,115-89,,
1:21.0,,,115-89,,J. Sampson misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by M. Webster,,115-89,,
1:12.0,W. Bynum misses 3-pt shot from 26 ft,,115-89,,
1:10.0,,,115-89,,Defensive rebound by T. Robinson
1:05.0,Personal foul by M. Webster (drawn by J. Grant),,115-89,,
1:05.0,,,115-90,1,J. Grant makes free throw 1 of 2
1:05.0,,,115-90,,J. Grant misses free throw 2 of 2
1:05.0,Defensive rebound by M. Webster,,115-90,,
0:42.0,K. Seraphin makes 2-pt shot from 14 ft,2,117-90,,
0:30.0,,,117-90,,G. Robinson misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by W. Bynum,,117-90,,
0:24.0,W. Bynum makes 2-pt shot from 3 ft,2,119-90,,
0:04.0,,,119-90,,J. Grant misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by K. Seraphin,,119-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
