time,Philadelphia,pts.away,score,pts.home,Houston
7:26.0,B. Davies misses 2-pt shot from 3 ft (block by D. Howard),,34-29,,
7:24.0,Offensive rebound by B. Davies,,34-29,,
7:22.0,B. Davies misses 2-pt shot from 3 ft,,34-29,,
7:21.0,Offensive rebound by H. Thompson,,34-29,,
7:15.0,T. Wroten misses 3-pt shot from 25 ft,,34-29,,
7:14.0,,,34-29,,Defensive rebound by D. Motiejunas
7:09.0,,,34-29,,Turnover by J. Harden (lost ball; steal by L. Mbah a Moute)
7:03.0,T. Wroten misses 2-pt shot from 4 ft (block by D. Motiejunas),,34-29,,
7:01.0,,,34-29,,Defensive rebound by D. Motiejunas
6:47.0,,,34-31,2,J. Harden makes 2-pt shot from 8 ft
6:42.0,Shooting foul by D. Howard (drawn by H. Sims),,34-31,,
6:42.0,H. Sims makes free throw 1 of 2,1,35-31,,
6:42.0,H. Sims makes free throw 2 of 2,1,36-31,,
6:23.0,,,36-31,,J. Harden misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by H. Sims,,36-31,,
6:14.0,Turnover by H. Sims (bad pass; steal by D. Motiejunas),,36-31,,
6:13.0,Personal foul by B. Davies (drawn by D. Motiejunas),,36-31,,
6:03.0,Personal foul by H. Thompson (drawn by T. Ariza),,36-31,,
5:55.0,,,36-31,,J. Harden misses 3-pt shot from 24 ft
5:54.0,,,36-31,,Offensive rebound by I. Canaan
5:48.0,,,36-34,3,I. Canaan makes 3-pt shot from 26 ft (assist by T. Ariza)
5:42.0,,,36-34,,Personal foul by D. Motiejunas (drawn by B. Davies)
5:42.0,Philadelphia full timeout,,36-34,,
5:42.0,M. Carter-Williams enters the game for H. Thompson,,36-34,,
5:31.0,M. Carter-Williams misses 3-pt shot from 25 ft,,36-34,,
5:30.0,,,36-34,,Defensive rebound by T. Ariza
5:07.0,,,36-34,,Turnover by J. Harden (bad pass; steal by L. Mbah a Moute)
5:02.0,Turnover by L. Mbah a Moute (lost ball; steal by J. Harden),,36-34,,
4:57.0,,,36-34,,I. Canaan misses 2-pt shot from 1 ft (block by B. Davies)
4:55.0,,,36-34,,Offensive rebound by D. Howard
4:55.0,,,36-36,2,D. Howard makes 2-pt shot at rim
4:48.0,T. Wroten makes 2-pt shot from 1 ft,2,38-36,,
4:37.0,Personal foul by B. Davies (drawn by D. Motiejunas),,38-36,,
4:37.0,N. Noel enters the game for B. Davies,,38-36,,
4:37.0,,,38-36,,T. Black enters the game for D. Howard
4:21.0,,,38-36,,T. Ariza misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by N. Noel,,38-36,,
4:17.0,Turnover by N. Noel (bad pass; steal by T. Ariza),,38-36,,
4:15.0,Personal block foul by M. Carter-Williams (drawn by T. Ariza),,38-36,,
4:15.0,,,38-37,1,T. Ariza makes free throw 1 of 2
4:15.0,,,38-38,1,T. Ariza makes free throw 2 of 2
3:57.0,T. Wroten makes 2-pt shot at rim,2,40-38,,
3:52.0,,,40-38,,Turnover by T. Ariza (lost ball; steal by M. Carter-Williams)
3:38.0,Turnover by M. Carter-Williams (bad pass),,40-38,,
3:32.0,,,40-40,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
3:09.0,N. Noel makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,42-40,,
3:09.0,Shooting foul by T. Black (drawn by N. Noel),,42-40,,
3:09.0,,,42-40,,K. Papanikolaou enters the game for D. Motiejunas
3:09.0,,,42-40,,D. Howard enters the game for T. Black
3:09.0,N. Noel misses free throw 1 of 1,,42-40,,
3:08.0,Offensive rebound by L. Mbah a Moute,,42-40,,
2:56.0,Offensive foul by T. Wroten,,42-40,,
2:56.0,Turnover by T. Wroten (offensive foul),,42-40,,
2:56.0,,,42-40,,Houston full timeout
2:56.0,D. Gordon enters the game for H. Sims,,42-40,,
2:44.0,,,42-42,2,J. Harden makes 2-pt shot from 1 ft
2:37.0,T. Wroten makes 2-pt shot at rim (assist by M. Carter-Williams),2,44-42,,
2:15.0,,,44-44,2,D. Howard makes 2-pt shot at rim (assist by K. Papanikolaou)
1:57.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by D. Howard),,44-44,,
1:56.0,,,44-44,,Defensive rebound by D. Howard
1:50.0,,,44-44,,T. Ariza misses 3-pt shot from 23 ft
1:49.0,,,44-44,,Offensive rebound by K. Papanikolaou
1:46.0,,,44-44,,I. Canaan misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by Team,,44-44,,
1:44.0,,,44-44,,J. Terry enters the game for I. Canaan
1:25.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,44-44,,
1:25.0,,,44-44,,Defensive rebound by J. Harden
1:16.0,,,44-44,,K. Papanikolaou misses 3-pt shot from 23 ft
1:16.0,,,44-44,,Offensive rebound by T. Ariza
