time,Orlando,pts.away,score,pts.home,Dallas
3:34.0,M. Harkless misses 2-pt shot from 2 ft,,91-97,,
3:32.0,,,91-97,,Defensive rebound by D. Nowitzki
3:23.0,,,91-97,,Turnover by R. Rondo (bad pass; steal by C. Frye)
3:18.0,,,91-97,,Violation by A. Aminu (def goaltending)
3:18.0,V. Oladipo makes 2-pt shot from 1 ft,2,93-97,,
3:08.0,,,93-99,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Rondo)
3:05.0,Orlando full timeout,,93-99,,
3:05.0,N. Vucevic enters the game for K. O'Quinn,,93-99,,
2:46.0,M. Harkless makes 2-pt shot at rim,2,95-99,,
2:26.0,,,95-101,2,M. Ellis makes 2-pt shot from 19 ft
2:10.0,E. Payton makes 3-pt shot from 25 ft (assist by V. Oladipo),3,98-101,,
1:46.0,,,98-101,,D. Nowitzki misses 2-pt shot from 1 ft (block by N. Vucevic)
1:43.0,,,98-101,,Offensive rebound by T. Chandler
1:42.0,,,98-101,,A. Aminu misses 3-pt shot from 25 ft
1:40.0,,,98-101,,Offensive rebound by D. Nowitzki
1:38.0,,,98-101,,Turnover by R. Rondo (lost ball)
1:38.0,,,98-101,,R. Jefferson enters the game for D. Nowitzki
1:30.0,Offensive foul by N. Vucevic,,98-101,,
1:30.0,Turnover by N. Vucevic (offensive foul),,98-101,,
1:30.0,,,98-101,,D. Nowitzki enters the game for R. Jefferson
1:07.0,,,98-101,,M. Ellis misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by N. Vucevic,,98-101,,
1:00.0,,,98-101,,Shooting block foul by A. Aminu (drawn by E. Payton)
1:00.0,E. Payton makes free throw 1 of 2,1,99-101,,
1:00.0,,,99-101,,D. Harris enters the game for R. Rondo
1:00.0,E. Payton makes free throw 2 of 2,1,100-101,,
0:39.0,,,100-101,,M. Ellis misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by E. Payton,,100-101,,
0:31.0,E. Payton misses 2-pt shot from 19 ft,,100-101,,
0:29.0,,,100-101,,Defensive rebound by D. Harris
0:29.0,Personal foul by E. Payton (drawn by D. Harris),,100-101,,
0:29.0,,,100-102,1,D. Harris makes free throw 1 of 2
0:29.0,,,100-102,,R. Rondo enters the game for D. Nowitzki
0:29.0,,,100-103,1,D. Harris makes free throw 2 of 2
0:29.0,Orlando full timeout,,100-103,,
0:26.0,V. Oladipo misses 2-pt shot from 4 ft (block by T. Chandler),,100-103,,
0:24.0,Offensive rebound by N. Vucevic,,100-103,,
0:24.0,N. Vucevic misses 2-pt shot from 1 ft,,100-103,,
0:22.0,,,100-103,,Defensive rebound by A. Aminu
0:22.0,Personal take foul by M. Harkless (drawn by M. Ellis),,100-103,,
0:22.0,,,100-103,,M. Ellis misses free throw 1 of 2
0:22.0,,,100-103,,Offensive rebound by Team
0:22.0,,,100-104,1,M. Ellis makes free throw 2 of 2
0:22.0,Orlando full timeout,,100-104,,
0:18.0,V. Oladipo makes 2-pt shot from 21 ft (assist by E. Payton),2,102-104,,
0:18.0,,,102-104,,Dallas full timeout
0:18.0,,,102-104,,J. Barea enters the game for T. Chandler
0:18.0,,,102-104,,C. Parsons enters the game for R. Rondo
0:18.0,,,102-104,,D. Nowitzki enters the game for A. Aminu
0:18.0,A. Gordon enters the game for C. Frye,,102-104,,
0:15.0,Personal foul by M. Harkless (drawn by D. Harris),,102-104,,
0:15.0,,,102-104,,D. Harris misses free throw 1 of 2
0:15.0,,,102-104,,Offensive rebound by Team
0:15.0,,,102-104,,T. Chandler enters the game for D. Nowitzki
0:15.0,C. Frye enters the game for A. Gordon,,102-104,,
0:15.0,,,102-104,,A. Aminu enters the game for C. Parsons
0:15.0,,,102-104,,R. Rondo enters the game for J. Barea
0:15.0,,,102-105,1,D. Harris makes free throw 2 of 2
0:05.0,V. Oladipo misses 3-pt shot from 25 ft,,102-105,,
0:04.0,,,102-105,,Defensive rebound by A. Aminu
0:04.0,,,102-105,,Shooting foul by V. Oladipo (drawn by A. Aminu)
0:04.0,,,102-106,1,A. Aminu makes free throw 1 of 2
0:04.0,,,102-107,1,A. Aminu makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
