time,San Antonio,pts.away,score,pts.home,LA Clippers
4:17.0,B. Diaw makes 2-pt shot from 2 ft (assist by T. Parker),2,65-58,,
4:07.0,,,65-60,2,B. Griffin makes 2-pt shot from 3 ft
4:07.0,,,65-60,,Shooting foul by T. Duncan (drawn by B. Griffin)
4:07.0,,,65-61,1,B. Griffin makes free throw 1 of 1
3:43.0,K. Leonard makes 3-pt shot from 25 ft (assist by B. Diaw),3,68-61,,
3:23.0,,,68-63,2,D. Jordan makes 2-pt shot from 3 ft (assist by B. Griffin)
3:04.0,T. Duncan misses 2-pt shot from 8 ft (block by C. Paul),,68-63,,
3:02.0,,,68-63,,Defensive rebound by C. Paul
2:57.0,,,68-66,3,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul)
2:41.0,,,68-66,,Personal foul by M. Barnes (drawn by K. Leonard)
2:41.0,,,68-66,,LA Clippers full timeout
2:41.0,K. Leonard misses free throw 1 of 2,,68-66,,
2:41.0,Offensive rebound by Team,,68-66,,
2:41.0,K. Leonard makes free throw 2 of 2,1,69-66,,
2:41.0,Personal take foul by T. Parker (drawn by D. Jordan),,69-66,,
2:41.0,,,69-67,1,D. Jordan makes free throw 1 of 2
2:41.0,M. Bonner enters the game for B. Diaw,,69-67,,
2:41.0,P. Mills enters the game for T. Parker,,69-67,,
2:41.0,,,69-68,1,D. Jordan makes free throw 2 of 2
2:24.0,P. Mills misses 3-pt shot from 24 ft,,69-68,,
2:21.0,Offensive rebound by T. Duncan,,69-68,,
2:07.0,M. Bonner misses 2-pt shot from 21 ft,,69-68,,
2:05.0,,,69-68,,Defensive rebound by J. Crawford
2:02.0,Personal take foul by M. Bonner (drawn by D. Jordan),,69-68,,
2:02.0,,,69-68,,D. Jordan misses free throw 1 of 2
2:02.0,,,69-68,,Offensive rebound by Team
2:02.0,,,69-68,,A. Rivers enters the game for M. Barnes
2:02.0,D. Green enters the game for K. Leonard,,69-68,,
2:02.0,,,69-68,,D. Jordan misses free throw 2 of 2
2:01.0,Defensive rebound by T. Duncan,,69-68,,
1:48.0,Shooting foul by A. Rivers (drawn by M. Ginobili),,69-68,,
1:48.0,M. Ginobili makes free throw 1 of 2,1,70-68,,
1:48.0,,,70-68,,G. Davis enters the game for D. Jordan
1:48.0,B. Diaw enters the game for M. Bonner,,70-68,,
1:48.0,M. Ginobili makes free throw 2 of 2,1,71-68,,
1:37.0,Personal foul by M. Ginobili (drawn by J. Crawford),,71-68,,
1:37.0,,,71-69,1,J. Crawford makes free throw 1 of 2
1:37.0,,,71-69,,J. Redick enters the game for C. Paul
1:37.0,T. Splitter enters the game for T. Duncan,,71-69,,
1:37.0,,,71-70,1,J. Crawford makes free throw 2 of 2
1:17.0,P. Mills misses 3-pt shot from 26 ft,,71-70,,
1:16.0,,,71-70,,Defensive rebound by B. Griffin
1:05.0,,,71-70,,J. Crawford misses 2-pt shot from 15 ft
1:03.0,Defensive rebound by T. Splitter,,71-70,,
0:51.0,B. Diaw misses 2-pt shot from 4 ft,,71-70,,
0:50.0,,,71-70,,Defensive rebound by J. Redick
0:47.0,Personal foul by D. Green (drawn by J. Redick),,71-70,,
0:47.0,,,71-71,1,J. Redick makes free throw 1 of 2
0:47.0,,,71-71,,H. Turkoglu enters the game for B. Griffin
0:47.0,,,71-72,1,J. Redick makes free throw 2 of 2
0:35.0,P. Mills makes 3-pt shot from 26 ft (assist by T. Splitter),3,74-72,,
0:16.0,,,74-74,2,J. Crawford makes 2-pt shot from 3 ft
0:03.0,P. Mills makes 3-pt shot from 23 ft (assist by B. Diaw),3,77-74,,
0:01.0,,,77-74,,G. Davis misses 3-pt shot from 54 ft
0:00.0,,,77-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,T. Splitter misses 2-pt shot from 6 ft,,77-74,,
11:36.0,,,77-74,,Defensive rebound by G. Davis
11:25.0,,,77-74,,A. Rivers misses 2-pt shot from 19 ft
11:24.0,Defensive rebound by B. Diaw,,77-74,,
