time,Chicago,pts.away,score,pts.home,Sacramento
1:14.0,Defensive rebound by Team,,63-76,,
1:14.0,,,63-76,,Loose ball foul by D. Cousins (drawn by N. Mirotic)
1:06.0,A. Brooks makes 2-pt shot from 4 ft,2,65-76,,
1:06.0,Shooting foul by D. Cousins (drawn by A. Brooks),,65-76,,
1:06.0,,,65-76,,C. Landry enters the game for D. Cousins
1:06.0,A. Brooks makes free throw 1 of 1,1,66-76,,
0:55.0,,,66-78,2,D. Collison makes 2-pt shot from 20 ft
0:49.0,Shooting foul by D. Collison (drawn by A. Brooks),,66-78,,
0:49.0,A. Brooks misses free throw 1 of 2,,66-78,,
0:49.0,Offensive rebound by Team,,66-78,,
0:49.0,A. Brooks misses free throw 2 of 2,,66-78,,
0:48.0,Offensive rebound by A. Brooks,,66-78,,
0:35.0,N. Mirotic misses 3-pt shot from 25 ft,,66-78,,
0:35.0,,,66-78,,Defensive rebound by D. Williams
0:19.0,Personal foul by A. Brooks (drawn by D. Collison),,66-78,,
0:19.0,,,66-79,1,D. Collison makes free throw 1 of 2
0:19.0,,,66-79,,O. Casspi enters the game for J. Thompson
0:19.0,,,66-80,1,D. Collison makes free throw 2 of 2
0:00.0,Shooting foul by C. Landry (drawn by T. Gibson),,66-80,,
0:00.0,T. Gibson makes free throw 1 of 2,1,67-80,,
0:00.0,T. Gibson makes free throw 2 of 2,1,68-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,68-80,,C. Landry misses 2-pt shot from 4 ft (block by N. Mirotic)
11:41.0,,,68-80,,Offensive rebound by C. Landry
11:40.0,,,68-80,,C. Landry misses 2-pt shot from 2 ft (block by J. Noah)
11:39.0,Defensive rebound by N. Mirotic,,68-80,,
11:32.0,,,68-80,,Personal foul by R. Sessions (drawn by A. Brooks)
11:26.0,J. Noah misses 2-pt shot from 3 ft,,68-80,,
11:25.0,,,68-80,,Defensive rebound by C. Landry
11:19.0,,,68-80,,Turnover by R. Sessions (lost ball; steal by A. Brooks)
11:16.0,Shooting foul by D. Collison (drawn by D. McDermott),,68-80,,
11:16.0,D. McDermott misses free throw 1 of 2,,68-80,,
11:16.0,Offensive rebound by Team,,68-80,,
11:16.0,D. McDermott makes free throw 2 of 2,1,69-80,,
11:02.0,,,69-82,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Collison)
10:41.0,J. Noah misses 2-pt shot from 1 ft,,69-82,,
10:40.0,,,69-82,,Defensive rebound by O. Casspi
10:25.0,,,69-82,,D. Williams misses 2-pt shot from 11 ft
10:23.0,Defensive rebound by J. Noah,,69-82,,
10:17.0,N. Mirotic makes 2-pt shot from 2 ft (assist by K. Hinrich),2,71-82,,
10:17.0,,,71-82,,Sacramento full timeout
10:17.0,,,71-82,,R. Gay enters the game for D. Williams
10:17.0,J. Butler enters the game for D. McDermott,,71-82,,
10:05.0,,,71-82,,C. Landry misses 2-pt shot from 4 ft
10:05.0,,,71-82,,Offensive rebound by Team
9:53.0,,,71-84,2,R. Sessions makes 2-pt shot from 2 ft (assist by R. Gay)
9:28.0,K. Hinrich misses 2-pt shot from 5 ft,,71-84,,
9:27.0,Offensive rebound by J. Noah,,71-84,,
9:25.0,J. Noah makes 2-pt shot from 3 ft,2,73-84,,
9:02.0,,,73-84,,Shooting foul by A. Brooks (drawn by O. Casspi)
9:02.0,,,73-85,1,O. Casspi makes free throw 1 of 2
9:02.0,,,73-85,,D. Cousins enters the game for C. Landry
9:02.0,Violation by J. Noah (def goaltending),,73-85,,
9:02.0,,,73-86,1,O. Casspi makes free throw 2 of 2
8:48.0,A. Brooks misses 2-pt shot from 16 ft,,73-86,,
8:47.0,Offensive rebound by J. Noah,,73-86,,
8:41.0,J. Noah makes 2-pt shot from 3 ft (assist by K. Hinrich),2,75-86,,
8:12.0,,,75-86,,D. Cousins misses 2-pt shot from 20 ft
8:11.0,,,75-86,,Offensive rebound by D. Collison
8:06.0,,,75-88,2,D. Collison makes 2-pt shot from 6 ft
7:51.0,J. Noah misses 2-pt shot from 19 ft,,75-88,,
7:50.0,Offensive rebound by J. Butler,,75-88,,
7:50.0,J. Butler makes 2-pt shot at rim,2,77-88,,
7:35.0,,,77-88,,Offensive charge foul by D. Cousins
7:35.0,,,77-88,,Turnover by D. Cousins (offensive foul)
7:35.0,T. Gibson enters the game for N. Mirotic,,77-88,,
7:35.0,,,77-88,,J. Thompson enters the game for D. Cousins
7:21.0,J. Noah misses 2-pt shot from 5 ft,,77-88,,
7:19.0,Offensive rebound by J. Butler,,77-88,,
7:19.0,Shooting foul by R. Gay (drawn by J. Butler),,77-88,,
7:19.0,J. Butler makes free throw 1 of 2,1,78-88,,
7:19.0,,,78-88,,C. Landry enters the game for O. Casspi
7:19.0,J. Butler misses free throw 2 of 2,,78-88,,
7:18.0,Offensive rebound by J. Butler,,78-88,,
7:09.0,K. Hinrich misses 2-pt shot from 3 ft (block by C. Landry),,78-88,,
7:09.0,Offensive rebound by Team,,78-88,,
7:02.0,K. Hinrich misses 2-pt shot from 22 ft,,78-88,,
7:01.0,,,78-88,,Defensive rebound by D. Collison
6:53.0,Personal foul by K. Hinrich (drawn by C. Landry),,78-88,,
6:42.0,,,78-88,,C. Landry misses 2-pt shot from 23 ft
6:41.0,,,78-88,,Offensive rebound by D. Collison
6:22.0,,,78-88,,C. Landry misses 2-pt shot from 20 ft
6:21.0,Defensive rebound by K. Hinrich,,78-88,,
6:10.0,Shooting foul by R. Gay (drawn by T. Gibson),,78-88,,
6:10.0,T. Gibson makes free throw 1 of 2,1,79-88,,
6:10.0,M. Dunleavy enters the game for K. Hinrich,,79-88,,
6:10.0,,,79-88,,B. McLemore enters the game for R. Sessions
6:10.0,T. Gibson makes free throw 2 of 2,1,80-88,,
5:51.0,,,80-88,,B. McLemore misses 2-pt shot from 16 ft
5:50.0,,,80-88,,Offensive rebound by R. Gay
5:50.0,,,80-88,,Shooting foul by T. Gibson (drawn by R. Gay)
5:50.0,Official timeout,,80-88,,
5:50.0,,,80-89,1,R. Gay makes free throw 1 of 2
5:50.0,,,80-90,1,R. Gay makes free throw 2 of 2
5:32.0,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah),2,82-90,,
5:09.0,,,82-90,,J. Thompson misses 2-pt shot from 11 ft
5:08.0,Defensive rebound by M. Dunleavy,,82-90,,
4:56.0,Offensive charge foul by A. Brooks,,82-90,,
4:56.0,Turnover by A. Brooks (offensive foul),,82-90,,
4:56.0,,,82-90,,D. Cousins enters the game for C. Landry
4:47.0,,,82-90,,Shooting foul by A. Brooks (drawn by D. Collison)
4:47.0,,,82-91,1,D. Collison makes free throw 1 of 2
4:47.0,,,82-92,1,D. Collison makes free throw 2 of 2
4:28.0,J. Butler makes 2-pt shot from 12 ft,2,84-92,,
4:14.0,Def 3 sec tech foul by J. Noah,,84-92,,
4:14.0,,,84-93,1,R. Gay makes technical free throw
4:09.0,,,84-95,2,R. Gay makes 2-pt shot from 1 ft (assist by D. Collison)
3:50.0,T. Gibson misses 2-pt shot from 7 ft,,84-95,,
3:50.0,,,84-95,,Defensive rebound by D. Cousins
3:30.0,,,84-97,2,D. Cousins makes 2-pt shot from 6 ft (assist by R. Gay)
3:29.0,Chicago full timeout,,84-97,,
3:13.0,T. Gibson makes 2-pt shot at rim (assist by M. Dunleavy),2,86-97,,
2:49.0,,,86-97,,R. Gay misses 2-pt shot from 21 ft
2:48.0,,,86-97,,Offensive rebound by D. Cousins
2:45.0,,,86-99,2,D. Cousins makes 2-pt shot from 2 ft
