time,San Antonio,pts.away,score,pts.home,Indiana
0:46.0,,,93-93,,D. West misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by D. Green,,93-93,,
0:28.0,D. Green misses 3-pt shot from 22 ft,,93-93,,
0:28.0,Offensive rebound by T. Duncan,,93-93,,
0:21.0,San Antonio full timeout,,93-93,,
0:21.0,M. Belinelli enters the game for A. Baynes,,93-93,,
0:02.0,M. Belinelli makes 2-pt shot from 17 ft (assist by K. Leonard),2,95-93,,
0:02.0,,,95-93,,Indiana full timeout
0:02.0,A. Baynes enters the game for M. Belinelli,,95-93,,
0:02.0,,,95-93,,D. Rudez enters the game for R. Hibbert
0:00.0,,,95-93,,G. Hill misses 3-pt shot from 25 ft
0:00.0,,,95-93,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
