time,Phoenix,pts.away,score,pts.home,Washington
3:37.0,,,93-86,,B. Beal misses free throw 1 of 2
3:37.0,,,93-86,,Offensive rebound by Team
3:37.0,,,93-87,1,B. Beal makes free throw 2 of 2
3:37.0,Phoenix full timeout,,93-87,,
3:24.0,G. Dragic misses 3-pt shot from 25 ft,,93-87,,
3:23.0,,,93-87,,Defensive rebound by R. Butler
3:09.0,,,93-87,,B. Beal misses 2-pt shot from 9 ft
3:08.0,Defensive rebound by G. Dragic,,93-87,,
3:04.0,I. Thomas makes 2-pt shot from 1 ft (assist by G. Dragic),2,95-87,,
2:40.0,,,95-89,2,P. Pierce makes 2-pt shot from 2 ft (assist by J. Wall)
2:15.0,M. Morris makes 2-pt shot from 15 ft (assist by I. Thomas),2,97-89,,
2:02.0,,,97-89,,P. Pierce misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by E. Bledsoe,,97-89,,
1:56.0,E. Bledsoe makes 2-pt shot from 19 ft,2,99-89,,
1:56.0,,,99-89,,Washington full timeout
1:37.0,,,99-89,,B. Beal misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by I. Thomas,,99-89,,
1:18.0,E. Bledsoe makes 2-pt shot from 2 ft,2,101-89,,
1:05.0,,,101-89,,K. Seraphin misses 2-pt shot from 17 ft
1:04.0,Defensive rebound by G. Dragic,,101-89,,
1:01.0,E. Bledsoe makes 2-pt shot at rim (assist by G. Dragic),2,103-89,,
1:01.0,Shooting foul by K. Seraphin (drawn by E. Bledsoe),,103-89,,
1:01.0,,,103-89,,G. Temple enters the game for J. Wall
1:01.0,,,103-89,,O. Porter enters the game for P. Pierce
1:01.0,E. Bledsoe makes free throw 1 of 1,1,104-89,,
0:50.0,,,104-89,,Turnover by B. Beal (lost ball)
0:50.0,,,104-89,,D. Gooden enters the game for B. Beal
0:27.0,I. Thomas misses 2-pt shot from 1 ft (block by K. Seraphin),,104-89,,
0:24.0,,,104-89,,Defensive rebound by D. Gooden
0:20.0,,,104-89,,Shooting foul by M. Morris (drawn by R. Butler)
0:20.0,,,104-90,1,R. Butler makes free throw 1 of 3
0:20.0,,,104-91,1,R. Butler makes free throw 2 of 3
0:20.0,,,104-92,1,R. Butler makes free throw 3 of 3
0:00.0,End of 4th quarter,,,,End of 4th quarter
