time,Boston,pts.away,score,pts.home,Brooklyn
2:51.0,Defensive rebound by E. Turner,,83-74,,
2:49.0,Turnover by J. Sullinger (bad pass; steal by M. Teletovic),,83-74,,
2:48.0,,,83-74,,Shooting foul by J. Sullinger (drawn by M. Plumlee)
2:48.0,,,83-74,,M. Plumlee misses free throw 1 of 2
2:48.0,,,83-74,,Offensive rebound by Team
2:48.0,T. Zeller enters the game for J. Sullinger,,83-74,,
2:48.0,,,83-74,,M. Plumlee misses free throw 2 of 2
2:46.0,Defensive rebound by B. Bass,,83-74,,
2:31.0,J. Green misses 3-pt shot from 26 ft,,83-74,,
2:30.0,Offensive rebound by B. Bass,,83-74,,
2:06.0,J. Green makes 2-pt shot from 10 ft,2,85-74,,
1:48.0,,,85-74,,M. Teletovic misses 2-pt shot from 20 ft
1:47.0,,,85-74,,Offensive rebound by A. Anderson
1:45.0,,,85-76,2,J. Johnson makes 2-pt shot from 7 ft
1:24.0,J. Green makes 2-pt shot at rim (assist by E. Turner),2,87-76,,
1:12.0,,,87-78,2,J. Jack makes 2-pt shot from 2 ft
0:53.0,E. Turner makes 2-pt shot from 1 ft,2,89-78,,
0:43.0,,,89-78,,Shooting foul by E. Turner (drawn by M. Plumlee)
0:43.0,,,89-79,1,M. Plumlee makes free throw 1 of 2
0:43.0,,,89-79,,M. Plumlee misses free throw 2 of 2
0:43.0,Defensive rebound by E. Turner,,89-79,,
0:22.0,T. Zeller misses 2-pt shot from 6 ft,,89-79,,
0:20.0,,,89-79,,Defensive rebound by J. Jack
0:08.0,,,89-81,2,J. Jack makes 2-pt shot from 4 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
