time,Brooklyn,pts.away,score,pts.home,LA Lakers
10:57.0,,,98-79,,Personal foul by N. Young (drawn by C. Jefferson)
10:45.0,A. Anderson misses 3-pt shot from 22 ft,,98-79,,
10:43.0,,,98-79,,Defensive rebound by J. Hill
10:40.0,Shooting block foul by M. Brown (drawn by J. Lin),,98-79,,
10:40.0,,,98-80,1,J. Lin makes free throw 1 of 2
10:40.0,,,98-81,1,J. Lin makes free throw 2 of 2
10:26.0,B. Lopez makes 2-pt shot from 1 ft (assist by A. Anderson),2,100-81,,
10:26.0,Shooting foul by J. Hill (drawn by B. Lopez),,100-81,,
10:26.0,B. Lopez makes free throw 1 of 1,1,101-81,,
10:16.0,Violation by M. Brown (kicked ball),,101-81,,
10:07.0,,,101-81,,E. Davis misses 2-pt shot from 1 ft
10:06.0,,,101-81,,Offensive rebound by J. Hill
10:04.0,,,101-81,,Turnover by J. Hill (lost ball; steal by A. Anderson)
9:48.0,D. Morris misses 2-pt shot from 15 ft,,101-81,,
9:47.0,,,101-81,,Defensive rebound by E. Davis
9:38.0,,,101-81,,N. Young misses 3-pt shot from 22 ft
9:37.0,Defensive rebound by B. Lopez,,101-81,,
9:22.0,Shooting foul by R. Price (drawn by M. Brown),,101-81,,
9:22.0,M. Brown makes free throw 1 of 2,1,102-81,,
9:22.0,B. Bogdanovic enters the game for A. Anderson,,102-81,,
9:22.0,M. Brown makes free throw 2 of 2,1,103-81,,
9:00.0,,,103-83,2,J. Lin makes 2-pt shot from 16 ft (assist by R. Price)
8:43.0,B. Lopez misses 2-pt shot from 19 ft,,103-83,,
8:42.0,,,103-83,,Defensive rebound by E. Davis
8:34.0,,,103-85,2,N. Young makes 2-pt shot from 18 ft
8:33.0,Brooklyn full timeout,,103-85,,
8:33.0,D. Williams enters the game for D. Morris,,103-85,,
8:33.0,T. Young enters the game for C. Jefferson,,103-85,,
8:16.0,M. Brown misses 2-pt shot from 20 ft,,103-85,,
8:14.0,Offensive rebound by B. Lopez,,103-85,,
8:02.0,T. Young makes 2-pt shot from 1 ft (assist by D. Williams),2,105-85,,
7:46.0,,,105-87,2,J. Hill makes 2-pt shot from 21 ft (assist by E. Davis)
7:26.0,T. Young misses 2-pt shot from 7 ft,,105-87,,
7:23.0,Offensive rebound by B. Lopez,,105-87,,
7:23.0,B. Lopez misses 2-pt shot from 1 ft,,105-87,,
7:21.0,,,105-87,,Defensive rebound by N. Young
7:16.0,,,105-87,,N. Young misses 3-pt shot from 26 ft
7:14.0,,,105-87,,Offensive rebound by J. Hill
7:11.0,,,105-87,,J. Hill misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by M. Brown,,105-87,,
7:09.0,,,105-87,,Personal foul by R. Price (drawn by M. Brown)
6:56.0,D. Williams misses 2-pt shot from 17 ft,,105-87,,
6:53.0,,,105-87,,Defensive rebound by E. Davis
6:42.0,,,105-89,2,E. Davis makes 2-pt shot from 1 ft (assist by J. Hill)
6:25.0,B. Lopez misses 2-pt shot from 16 ft,,105-89,,
6:24.0,,,105-89,,Defensive rebound by E. Davis
6:10.0,Personal foul by B. Lopez (drawn by J. Hill),,105-89,,
6:10.0,J. Johnson enters the game for B. Lopez,,105-89,,
6:10.0,M. Plumlee enters the game for M. Brown,,105-89,,
6:01.0,,,105-91,2,J. Lin makes 2-pt shot from 10 ft
5:44.0,Turnover by D. Williams (bad pass; steal by R. Price),,105-91,,
5:40.0,,,105-93,2,J. Lin makes 2-pt shot at rim (assist by R. Price)
5:40.0,Brooklyn full timeout,,105-93,,
5:40.0,Official timeout,,105-93,,
5:18.0,B. Bogdanovic misses 3-pt shot from 23 ft,,105-93,,
5:15.0,,,105-93,,Defensive rebound by J. Hill
4:57.0,,,105-93,,J. Lin misses 3-pt shot from 24 ft
4:56.0,,,105-93,,Offensive rebound by E. Davis
4:55.0,,,105-93,,Shooting foul by T. Young (drawn by E. Davis)
4:55.0,,,105-93,,E. Davis misses free throw 1 of 2
4:55.0,,,105-93,,Offensive rebound by Team
4:55.0,,,105-93,,E. Davis misses free throw 2 of 2
4:54.0,Defensive rebound by Team,,105-93,,
4:32.0,J. Johnson misses 2-pt shot from 12 ft,,105-93,,
4:31.0,,,105-93,,Defensive rebound by J. Hill
4:31.0,Personal foul by M. Plumlee (drawn by J. Hill),,105-93,,
4:31.0,,,105-94,1,J. Hill makes free throw 1 of 2
4:31.0,B. Lopez enters the game for M. Plumlee,,105-94,,
4:31.0,,,105-95,1,J. Hill makes free throw 2 of 2
4:18.0,,,105-95,,Personal foul by J. Lin (drawn by B. Bogdanovic)
4:18.0,B. Bogdanovic makes free throw 1 of 2,1,106-95,,
4:18.0,B. Bogdanovic makes free throw 2 of 2,1,107-95,,
