time,Orlando,pts.away,score,pts.home,Golden State
1:11.0,,,95-95,,K. Thompson misses 3-pt shot from 26 ft
1:09.0,,,95-95,,Offensive rebound by D. Green
1:01.0,,,95-95,,S. Curry misses 3-pt shot from 24 ft
1:00.0,,,95-95,,Offensive rebound by A. Bogut
0:57.0,,,95-95,,S. Curry misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by E. Payton,,95-95,,
0:48.0,Orlando full timeout,,95-95,,
0:38.0,T. Harris makes 2-pt shot from 5 ft (assist by E. Payton),2,97-95,,
0:30.0,,,97-95,,A. Bogut misses 2-pt shot at rim
0:29.0,Defensive rebound by K. O'Quinn,,97-95,,
0:09.0,E. Payton misses 2-pt shot from 1 ft,,97-95,,
0:07.0,,,97-95,,Defensive rebound by D. Green
0:04.0,,,97-98,3,S. Curry makes 3-pt shot from 27 ft
0:02.0,Orlando full timeout,,97-98,,
0:02.0,,,97-98,,H. Barnes enters the game for A. Bogut
0:02.0,,,97-98,,Golden State full timeout
0:02.0,,,97-98,,A. Bogut enters the game for H. Barnes
0:02.0,Turnover by K. O'Quinn (bad pass; steal by D. Green),,97-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
