time,New Orleans,pts.away,score,pts.home,Charlotte
3:35.0,E. Gordon misses 3-pt shot from 25 ft,,84-90,,
3:32.0,,,84-90,,Defensive rebound by G. Henderson
3:19.0,,,84-90,,K. Walker misses 2-pt shot from 2 ft
3:18.0,Defensive rebound by R. Anderson,,84-90,,
3:00.0,J. Holiday misses 3-pt shot from 23 ft,,84-90,,
2:59.0,,,84-90,,Defensive rebound by G. Henderson
2:46.0,,,84-90,,G. Henderson misses 2-pt shot from 16 ft
2:44.0,Defensive rebound by E. Gordon,,84-90,,
2:39.0,New Orleans full timeout,,84-90,,
2:30.0,Shooting foul by B. Biyombo (drawn by A. Davis),,84-90,,
2:30.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Gordon),2,86-90,,
2:30.0,A. Davis makes free throw 1 of 1,1,87-90,,
2:11.0,,,87-90,,K. Walker misses 2-pt shot from 1 ft
2:08.0,Defensive rebound by A. Davis,,87-90,,
1:59.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Holiday),3,90-90,,
1:41.0,,,90-90,,G. Henderson misses 2-pt shot from 15 ft (block by A. Davis)
1:39.0,Defensive rebound by A. Davis,,90-90,,
1:24.0,Shooting foul by B. Biyombo (drawn by T. Evans),,90-90,,
1:24.0,T. Evans makes free throw 1 of 2,1,91-90,,
1:24.0,,,91-90,,G. Neal enters the game for M. Kidd-Gilchrist
1:24.0,,,91-90,,M. Williams enters the game for B. Biyombo
1:24.0,T. Evans makes free throw 2 of 2,1,92-90,,
1:09.0,,,92-92,2,K. Walker makes 2-pt shot from 11 ft
0:46.0,T. Evans misses 2-pt shot from 7 ft,,92-92,,
0:45.0,,,92-92,,Defensive rebound by K. Walker
0:35.0,,,92-92,,Charlotte full timeout
0:35.0,D. Cunningham enters the game for R. Anderson,,92-92,,
0:23.0,,,92-94,2,K. Walker makes 2-pt shot from 16 ft
0:23.0,New Orleans full timeout,,92-94,,
0:23.0,R. Anderson enters the game for D. Cunningham,,92-94,,
0:23.0,,,92-94,,M. Kidd-Gilchrist enters the game for G. Neal
0:19.0,A. Davis makes 2-pt shot from 2 ft,2,94-94,,
0:19.0,,,94-94,,Charlotte full timeout
0:19.0,,,94-94,,G. Neal enters the game for M. Kidd-Gilchrist
0:01.0,,,94-96,2,K. Walker makes 2-pt shot from 10 ft
0:01.0,,,94-96,,Shooting foul by J. Holiday (drawn by K. Walker)
0:01.0,,,94-97,1,K. Walker makes free throw 1 of 1
0:01.0,New Orleans full timeout,,94-97,,
0:01.0,,,94-97,,M. Kidd-Gilchrist enters the game for G. Neal
0:01.0,New Orleans full timeout,,94-97,,
0:00.0,Turnover by T. Evans (bad pass; steal by M. Williams),,94-97,,
0:00.0,Personal foul by R. Anderson (drawn by M. Williams),,94-97,,
0:00.0,,,94-98,1,M. Williams makes free throw 1 of 2
0:00.0,,,94-98,,M. Williams misses free throw 2 of 2
0:00.0,Defensive rebound by T. Evans,,94-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
