time,Milwaukee,pts.away,score,pts.home,Cleveland
1:07.0,,,98-103,,S. Marion enters the game for K. Love
1:07.0,L. Sanders makes free throw 2 of 2,1,99-103,,
0:43.0,,,99-103,,L. James misses 3-pt shot from 28 ft
0:42.0,,,99-103,,Offensive rebound by M. Miller
0:37.0,,,99-103,,Cleveland full timeout
0:34.0,Personal foul by L. Sanders (drawn by T. Thompson),,99-103,,
0:34.0,K. Middleton enters the game for L. Sanders,,99-103,,
0:33.0,Personal foul by B. Knight (drawn by L. James),,99-103,,
0:33.0,,,99-104,1,L. James makes free throw 1 of 2
0:33.0,L. Sanders enters the game for K. Middleton,,99-104,,
0:33.0,,,99-104,,L. James misses free throw 2 of 2
0:33.0,Defensive rebound by J. Parker,,99-104,,
0:32.0,Milwaukee full timeout,,99-104,,
0:32.0,K. Middleton enters the game for L. Sanders,,99-104,,
0:27.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,101-104,,
0:25.0,Personal foul by G. Antetokounmpo (drawn by L. James),,101-104,,
0:25.0,,,101-105,1,L. James makes free throw 1 of 2
0:25.0,L. Sanders enters the game for K. Middleton,,101-105,,
0:25.0,,,101-106,1,L. James makes free throw 2 of 2
0:25.0,Milwaukee full timeout,,101-106,,
0:25.0,J. Dudley enters the game for G. Antetokounmpo,,101-106,,
0:25.0,K. Middleton enters the game for L. Sanders,,101-106,,
0:25.0,Z. Pachulia enters the game for J. Parker,,101-106,,
0:19.0,O. Mayo misses 3-pt shot from 25 ft,,101-106,,
0:18.0,,,101-106,,Defensive rebound by L. James
0:17.0,Personal foul by B. Knight (drawn by L. James),,101-106,,
0:17.0,,,101-107,1,L. James makes free throw 1 of 2
0:17.0,,,101-108,1,L. James makes free throw 2 of 2
0:13.0,B. Knight makes 3-pt shot from 28 ft,3,104-108,,
0:12.0,Personal foul by J. Dudley (drawn by L. James),,104-108,,
0:12.0,,,104-109,1,L. James makes free throw 1 of 2
0:12.0,,,104-110,1,L. James makes free throw 2 of 2
0:06.0,Z. Pachulia makes 2-pt shot at rim (assist by O. Mayo),2,106-110,,
0:05.0,Personal foul by O. Mayo (drawn by L. James),,106-110,,
0:05.0,,,106-111,1,L. James makes free throw 1 of 2
0:05.0,,,106-111,,L. James misses free throw 2 of 2
0:05.0,Defensive rebound by J. Dudley,,106-111,,
0:05.0,Milwaukee full timeout,,106-111,,
0:02.0,O. Mayo makes 2-pt shot from 1 ft,2,108-111,,
0:00.0,,,108-111,,Turnover by L. James (lost ball; steal by K. Middleton)
0:00.0,End of 4th quarter,,,,End of 4th quarter
