time,LA Lakers,pts.away,score,pts.home,Chicago
1:16.0,,,91-111,3,D. Rose makes 3-pt shot from 25 ft (assist by A. Brooks)
1:10.0,W. Ellington misses 2-pt shot from 1 ft (block by P. Gasol),,91-111,,
1:08.0,,,91-111,,Defensive rebound by P. Gasol
0:50.0,,,91-111,,D. Rose misses 3-pt shot from 24 ft
0:50.0,,,91-111,,Offensive rebound by P. Gasol
0:50.0,,,91-111,,Shooting foul by W. Johnson (drawn by P. Gasol)
0:50.0,,,91-112,1,P. Gasol makes free throw 1 of 2
0:50.0,,,91-112,,C. Bairstow enters the game for J. Noah
0:50.0,,,91-112,,E. Moore enters the game for J. Butler
0:50.0,,,91-112,,T. Snell enters the game for D. Rose
0:50.0,,,91-113,1,P. Gasol makes free throw 2 of 2
0:42.0,J. Hill misses 2-pt shot from 20 ft,,91-113,,
0:40.0,,,91-113,,Defensive rebound by C. Bairstow
0:17.0,,,91-113,,A. Brooks misses 2-pt shot from 17 ft
0:17.0,,,91-113,,Offensive rebound by T. Snell
0:17.0,,,91-113,,T. Snell misses 2-pt shot from 3 ft (block by W. Johnson)
0:17.0,,,91-113,,Offensive rebound by Team
0:17.0,,,91-113,,Turnover by Team (shot clock)
0:09.0,E. Davis misses 2-pt shot from 2 ft (block by P. Gasol),,91-113,,
0:06.0,,,91-113,,Defensive rebound by P. Gasol
0:03.0,,,91-113,,Turnover by P. Gasol (lost ball; steal by R. Price)
0:00.0,W. Ellington makes 2-pt shot from 1 ft (assist by R. Price),2,93-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
