time,San Antonio,pts.away,score,pts.home,Chicago
2:13.0,,,76-99,1,T. Snell makes free throw 1 of 2
2:13.0,,,76-99,,T. Snell misses free throw 2 of 2
2:11.0,Defensive rebound by J. Ayres,,76-99,,
2:00.0,Shooting foul by C. Bairstow (drawn by C. Joseph),,76-99,,
2:00.0,C. Joseph misses free throw 1 of 2,,76-99,,
2:00.0,Offensive rebound by Team,,76-99,,
2:00.0,C. Joseph makes free throw 2 of 2,1,77-99,,
1:42.0,,,77-99,,C. Bairstow misses 2-pt shot from 2 ft
1:41.0,Defensive rebound by J. Ayres,,77-99,,
1:34.0,B. Diaw misses 2-pt shot from 2 ft,,77-99,,
1:32.0,,,77-99,,Defensive rebound by C. Bairstow
1:27.0,,,77-101,2,N. Mirotic makes 2-pt shot at rim (assist by E. Moore)
1:07.0,J. Green makes 2-pt shot from 2 ft (assist by C. Joseph),2,79-101,,
0:45.0,,,79-101,,E. Moore misses 2-pt shot from 15 ft
0:44.0,,,79-101,,Offensive rebound by C. Bairstow
0:44.0,,,79-103,2,C. Bairstow makes 2-pt shot from 1 ft
0:44.0,,,79-103,,Shooting foul by J. Green (drawn by C. Bairstow)
0:44.0,,,79-104,1,C. Bairstow makes free throw 1 of 1
0:25.0,J. Ayres misses 2-pt shot from 1 ft,,79-104,,
0:23.0,Offensive rebound by J. Green,,79-104,,
0:23.0,J. Green makes 2-pt shot from 1 ft,2,81-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
