time,Washington,pts.away,score,pts.home,Detroit
6:42.0,R. Sessions misses free throw 2 of 2,,82-97,,
6:41.0,,,82-97,,Defensive rebound by G. Monroe
6:27.0,,,82-97,,C. Martin misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by J. Wall,,82-97,,
6:15.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,84-97,,
5:53.0,,,84-97,,S. Dinwiddie misses 3-pt shot from 26 ft
5:53.0,,,84-97,,Offensive rebound by Team
5:53.0,Loose ball foul by P. Pierce (drawn by A. Tolliver),,84-97,,
5:53.0,,,84-97,,Detroit full timeout
5:53.0,,,84-97,,R. Jackson enters the game for S. Dinwiddie
5:53.0,,,84-97,,K. Caldwell-Pope enters the game for C. Martin
5:53.0,,,84-98,1,A. Tolliver makes free throw 1 of 2
5:53.0,,,84-99,1,A. Tolliver makes free throw 2 of 2
5:41.0,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall),3,87-99,,
5:26.0,,,87-101,2,R. Jackson makes 2-pt shot at rim
5:04.0,M. Gortat misses 2-pt shot from 7 ft,,87-101,,
5:04.0,Offensive rebound by G. Temple,,87-101,,
5:03.0,G. Temple misses 2-pt shot at rim,,87-101,,
5:02.0,,,87-101,,Defensive rebound by J. Meeks
4:44.0,,,87-101,,Offensive charge foul by J. Meeks
4:44.0,,,87-101,,Turnover by J. Meeks (offensive foul)
4:44.0,R. Butler enters the game for R. Sessions,,87-101,,
4:31.0,Turnover by G. Temple (bad pass; steal by K. Caldwell-Pope),,87-101,,
