time,Cleveland,pts.away,score,pts.home,Denver
2:29.0,,,102-92,,Personal block foul by J. Nurkic (drawn by L. James)
2:19.0,Turnover by L. James (bad pass; steal by A. Gee),,102-92,,
2:14.0,,,102-92,,A. Gee misses 2-pt shot at rim
2:13.0,,,102-92,,Offensive rebound by J. Nurkic
2:13.0,,,102-94,2,J. Nurkic makes 2-pt shot at rim
1:47.0,K. Irving makes 2-pt shot from 2 ft,2,104-94,,
1:36.0,,,104-96,2,J. Nurkic makes 2-pt shot from 3 ft (assist by R. Foye)
1:18.0,Shooting foul by J. Nurkic (drawn by K. Love),,104-96,,
1:18.0,K. Love makes free throw 1 of 2,1,105-96,,
1:18.0,K. Love makes free throw 2 of 2,1,106-96,,
1:10.0,,,106-99,3,R. Foye makes 3-pt shot from 26 ft
0:53.0,L. James makes 2-pt shot from 2 ft,2,108-99,,
0:50.0,,,108-101,2,A. Gee makes 2-pt shot at rim (assist by R. Foye)
0:33.0,L. James makes 2-pt shot at rim,2,110-101,,
0:25.0,,,110-101,,W. Chandler misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by L. James,,110-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
