time,Toronto,pts.away,score,pts.home,Detroit
2:59.0,,,96-99,2,R. Jackson makes 2-pt shot from 5 ft
2:35.0,L. Williams makes 3-pt shot from 26 ft (assist by P. Patterson),3,99-99,,
2:17.0,,,99-101,2,R. Jackson makes 2-pt shot at rim
1:55.0,P. Patterson misses 2-pt shot from 6 ft,,99-101,,
1:55.0,Offensive rebound by J. Valanciunas,,99-101,,
1:55.0,J. Valanciunas misses 2-pt shot from 2 ft,,99-101,,
1:55.0,Offensive rebound by P. Patterson,,99-101,,
1:55.0,P. Patterson makes 2-pt shot from 6 ft,2,101-101,,
1:55.0,Shooting foul by A. Tolliver (drawn by P. Patterson),,101-101,,
1:55.0,G. Vasquez enters the game for T. Ross,,101-101,,
1:55.0,,,101-101,,J. Meeks enters the game for A. Tolliver
1:55.0,P. Patterson makes free throw 1 of 1,1,102-101,,
1:51.0,Personal foul by G. Vasquez (drawn by R. Jackson),,102-101,,
1:51.0,Toronto full timeout,,102-101,,
1:51.0,,,102-102,1,R. Jackson makes free throw 1 of 2
1:51.0,,,102-102,,R. Jackson misses free throw 2 of 2
1:50.0,Defensive rebound by J. Valanciunas,,102-102,,
1:37.0,D. DeRozan misses 2-pt shot from 17 ft,,102-102,,
1:35.0,,,102-102,,Defensive rebound by A. Drummond
1:31.0,,,102-102,,Shooting foul by D. DeRozan (drawn by R. Jackson)
1:31.0,,,102-102,,R. Jackson misses free throw 1 of 2
1:31.0,,,102-102,,Offensive rebound by Team
1:31.0,A. Johnson enters the game for J. Valanciunas,,102-102,,
1:31.0,,,102-103,1,R. Jackson makes free throw 2 of 2
1:21.0,G. Vasquez misses 3-pt shot from 26 ft,,102-103,,
1:20.0,Offensive rebound by P. Patterson,,102-103,,
1:18.0,Turnover by D. DeRozan (bad pass),,102-103,,
1:00.0,,,102-105,2,T. Prince makes 2-pt shot from 5 ft (assist by J. Meeks)
1:00.0,Toronto full timeout,,102-105,,
0:47.0,D. DeRozan misses 2-pt shot at rim,,102-105,,
0:47.0,,,102-105,,Defensive rebound by Team
0:47.0,Loose ball foul by P. Patterson (drawn by A. Drummond),,102-105,,
0:47.0,,,102-105,,A. Drummond misses free throw 1 of 2
0:47.0,,,102-105,,Offensive rebound by Team
0:47.0,,,102-106,1,A. Drummond makes free throw 2 of 2
0:43.0,D. DeRozan makes 2-pt shot at rim,2,104-106,,
0:23.0,,,104-106,,R. Jackson misses 2-pt shot from 20 ft
0:19.0,Defensive rebound by P. Patterson,,104-106,,
0:02.0,L. Williams misses 3-pt shot from 26 ft,,104-106,,
0:02.0,,,104-106,,Defensive rebound by J. Meeks
0:02.0,Loose ball foul by P. Patterson (drawn by J. Meeks),,104-106,,
0:02.0,,,104-107,1,J. Meeks makes free throw 1 of 2
0:02.0,,,104-108,1,J. Meeks makes free throw 2 of 2
0:02.0,Toronto full timeout,,104-108,,
0:02.0,T. Ross enters the game for P. Patterson,,104-108,,
0:00.0,D. DeRozan misses 3-pt shot from 26 ft,,104-108,,
0:00.0,Offensive rebound by Team,,104-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
