time,Portland,pts.away,score,pts.home,Atlanta
1:35.0,L. Aldridge misses 2-pt shot from 17 ft,,95-99,,
1:33.0,,,95-99,,Defensive rebound by A. Horford
1:30.0,,,95-101,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
1:21.0,N. Batum makes 2-pt shot from 17 ft (assist by W. Matthews),2,97-101,,
1:06.0,,,97-103,2,J. Teague makes 2-pt shot from 15 ft
0:58.0,,,97-103,,Personal foul by K. Bazemore (drawn by W. Matthews)
0:58.0,W. Matthews makes free throw 1 of 2,1,98-103,,
0:58.0,W. Matthews makes free throw 2 of 2,1,99-103,,
0:33.0,,,99-103,,A. Horford misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by D. Lillard,,99-103,,
0:24.0,N. Batum misses 3-pt shot from 24 ft,,99-103,,
0:21.0,,,99-103,,Defensive rebound by Team
0:21.0,S. Blake enters the game for C. Kaman,,99-103,,
0:20.0,Personal take foul by N. Batum (drawn by J. Teague),,99-103,,
0:20.0,,,99-103,,Atlanta full timeout
0:20.0,,,99-103,,D. Schroder enters the game for K. Bazemore
0:18.0,,,99-103,,Turnover by A. Horford (bad pass; steal by D. Lillard)
0:12.0,W. Matthews misses 3-pt shot from 23 ft,,99-103,,
0:11.0,,,99-103,,Defensive rebound by P. Millsap
0:11.0,,,99-103,,K. Bazemore enters the game for D. Schroder
0:11.0,Jump ball: D. Lillard vs. P. Millsap,,,,Jump ball: D. Lillard vs. P. Millsap
0:10.0,Loose ball foul by S. Blake (drawn by K. Korver),,99-103,,
0:10.0,,,99-104,1,K. Korver makes free throw 1 of 2
0:10.0,C. Kaman enters the game for S. Blake,,99-104,,
0:10.0,,,99-105,1,K. Korver makes free throw 2 of 2
0:10.0,Portland full timeout,,99-105,,
0:10.0,D. Wright enters the game for C. Kaman,,99-105,,
0:08.0,L. Aldridge misses 3-pt shot from 26 ft,,99-105,,
0:06.0,,,99-105,,Defensive rebound by A. Horford
0:00.0,End of 4th quarter,,,,End of 4th quarter
