time,Washington,pts.away,score,pts.home,Cleveland
1:28.0,,,63-77,,Personal foul by D. Waiters (drawn by B. Beal)
1:28.0,B. Beal makes free throw 1 of 2,1,64-77,,
1:28.0,B. Beal makes free throw 2 of 2,1,65-77,,
1:18.0,Personal foul by P. Pierce (drawn by L. James),,65-77,,
1:18.0,,,65-77,,L. James misses free throw 1 of 2
1:18.0,,,65-77,,Offensive rebound by Team
1:18.0,O. Porter enters the game for P. Pierce,,65-77,,
1:18.0,,,65-77,,W. Cherry enters the game for K. Irving
1:18.0,,,65-78,1,L. James makes free throw 2 of 2
1:03.0,K. Seraphin misses 2-pt shot from 2 ft,,65-78,,
1:02.0,,,65-78,,Defensive rebound by J. Harris
0:59.0,Personal block foul by J. Wall (drawn by L. James),,65-78,,
0:59.0,,,65-78,,L. James misses free throw 1 of 2
0:59.0,,,65-78,,Offensive rebound by Team
0:59.0,,,65-79,1,L. James makes free throw 2 of 2
0:47.0,K. Seraphin makes 2-pt shot from 10 ft (assist by J. Wall),2,67-79,,
0:27.0,,,67-81,2,L. James makes 2-pt shot from 12 ft
0:06.0,R. Butler misses 3-pt shot from 24 ft,,67-81,,
0:04.0,,,67-81,,Defensive rebound by L. James
0:00.0,,,67-81,,D. Waiters misses 3-pt shot from 29 ft
0:00.0,,,67-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,R. Butler makes 2-pt shot at rim (assist by B. Beal),2,69-81,,
11:34.0,Violation by O. Porter (kicked ball),,69-81,,
11:34.0,D. Blair enters the game for B. Beal,,69-81,,
11:17.0,,,69-81,,L. James misses 2-pt shot from 11 ft
11:13.0,,,69-81,,Offensive rebound by K. Love
11:13.0,,,69-83,2,K. Love makes 2-pt shot at rim
10:58.0,R. Butler misses 2-pt shot from 13 ft,,69-83,,
10:57.0,,,69-83,,Defensive rebound by Team
10:57.0,Loose ball foul by D. Blair (drawn by K. Love),,69-83,,
10:44.0,,,69-83,,Shooting foul by D. Blair (drawn by K. Love)
10:44.0,,,69-84,1,K. Love makes free throw 1 of 2
10:44.0,,,69-85,1,K. Love makes free throw 2 of 2
10:29.0,R. Butler misses 2-pt shot from 21 ft,,69-85,,
10:27.0,,,69-85,,Defensive rebound by Team
10:12.0,,,69-87,2,L. James makes 2-pt shot from 10 ft
10:12.0,Washington full timeout,,69-87,,
10:01.0,,,69-87,,Violation by K. Love (kicked ball)
9:46.0,R. Butler misses 3-pt shot from 26 ft,,69-87,,
9:43.0,,,69-87,,Defensive rebound by L. James
9:32.0,Personal foul by D. Blair (drawn by K. Love),,69-87,,
