time,Philadelphia,pts.away,score,pts.home,Denver
5:10.0,,,81-79,,K. Faried misses 2-pt shot from 6 ft
5:08.0,,,81-79,,Offensive rebound by K. Faried
5:08.0,,,81-79,,K. Faried misses 2-pt shot from 1 ft (block by J. Grant)
5:06.0,Defensive rebound by I. Canaan,,81-79,,
4:44.0,H. Thompson misses 2-pt shot from 10 ft,,81-79,,
4:43.0,,,81-79,,Defensive rebound by J. Nelson
4:38.0,Violation by R. Covington (kicked ball),,81-79,,
4:26.0,,,81-81,2,J. Nelson makes 2-pt shot from 2 ft (assist by T. Lawson)
4:10.0,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant),3,84-81,,
3:52.0,,,84-81,,T. Lawson misses 2-pt shot from 7 ft (block by N. Noel)
3:50.0,,,84-81,,Offensive rebound by J. Nelson
3:47.0,,,84-83,2,J. Nelson makes 2-pt shot from 5 ft
3:25.0,I. Canaan makes 3-pt shot from 25 ft,3,87-83,,
3:07.0,,,87-83,,J. Nelson misses 2-pt shot from 20 ft
3:05.0,,,87-83,,Offensive rebound by K. Faried
3:03.0,,,87-83,,K. Faried misses 2-pt shot from 2 ft
3:02.0,Defensive rebound by I. Canaan,,87-83,,
2:58.0,I. Canaan misses 3-pt shot from 25 ft,,87-83,,
2:58.0,,,87-83,,Defensive rebound by Team
2:58.0,,,87-83,,Denver full timeout
2:42.0,,,87-83,,W. Chandler misses 3-pt shot from 25 ft (block by J. Grant)
2:40.0,Defensive rebound by I. Canaan,,87-83,,
2:30.0,R. Covington misses 2-pt shot from 13 ft,,87-83,,
2:28.0,,,87-83,,Defensive rebound by W. Chandler
2:19.0,,,87-83,,R. Foye misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by N. Noel,,87-83,,
2:07.0,,,87-83,,Personal foul by R. Foye (drawn by I. Canaan)
1:56.0,H. Thompson makes 3-pt shot from 23 ft (assist by I. Canaan),3,90-83,,
1:38.0,,,90-83,,Turnover by W. Chandler (bad pass; steal by N. Noel)
1:26.0,Shooting foul by W. Chandler (drawn by N. Noel),,90-83,,
1:26.0,N. Noel misses free throw 1 of 2,,90-83,,
1:26.0,Offensive rebound by Team,,90-83,,
1:26.0,I. Smith enters the game for H. Thompson,,90-83,,
1:26.0,N. Noel misses free throw 2 of 2,,90-83,,
1:25.0,,,90-83,,Defensive rebound by W. Chandler
1:14.0,,,90-83,,J. Nelson misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by N. Noel,,90-83,,
1:10.0,,,90-83,,Personal take foul by K. Faried (drawn by I. Canaan)
1:10.0,I. Canaan misses free throw 1 of 2,,90-83,,
1:10.0,Offensive rebound by Team,,90-83,,
1:10.0,I. Canaan makes free throw 2 of 2,1,91-83,,
1:10.0,,,91-83,,Denver full timeout
1:08.0,,,91-83,,Turnover by W. Chandler (bad pass; steal by N. Noel)
1:07.0,N. Noel makes 2-pt shot at rim,2,93-83,,
1:07.0,,,93-83,,Denver full timeout
0:57.0,,,93-83,,W. Chandler misses 2-pt shot from 5 ft
0:55.0,Defensive rebound by N. Noel,,93-83,,
0:51.0,,,93-83,,Personal take foul by R. Foye (drawn by I. Canaan)
0:51.0,I. Canaan makes free throw 1 of 2,1,94-83,,
0:51.0,J. Sampson enters the game for N. Noel,,94-83,,
0:51.0,I. Canaan makes free throw 2 of 2,1,95-83,,
0:42.0,,,95-85,2,T. Lawson makes 2-pt shot from 12 ft
0:42.0,Philadelphia full timeout,,95-85,,
0:39.0,,,95-85,,Personal take foul by R. Foye (drawn by I. Canaan)
0:39.0,I. Canaan makes free throw 1 of 2,1,96-85,,
0:39.0,I. Canaan makes free throw 2 of 2,1,97-85,,
0:32.0,,,97-85,,W. Chandler misses 3-pt shot from 27 ft
0:31.0,Defensive rebound by R. Covington,,97-85,,
0:31.0,,,97-85,,Personal foul by K. Faried (drawn by R. Covington)
0:31.0,,,97-85,,G. Harris enters the game for K. Faried
0:31.0,R. Covington makes free throw 1 of 2,1,98-85,,
0:31.0,R. Covington makes free throw 2 of 2,1,99-85,,
0:25.0,,,99-85,,T. Lawson misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by Team,,99-85,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
