time,Milwaukee,pts.away,score,pts.home,LA Clippers
3:13.0,,,99-100,,Turnover by B. Griffin (bad pass)
3:02.0,Shooting foul by D. Jordan (drawn by L. Sanders),,99-100,,
3:02.0,L. Sanders misses free throw 1 of 2,,99-100,,
3:02.0,Offensive rebound by Team,,99-100,,
3:02.0,L. Sanders misses free throw 2 of 2,,99-100,,
3:01.0,,,99-100,,Defensive rebound by D. Jordan
2:46.0,,,99-100,,J. Redick misses 3-pt shot from 23 ft
2:45.0,Defensive rebound by J. Bayless,,99-100,,
2:40.0,B. Knight misses 3-pt shot from 24 ft,,99-100,,
2:37.0,,,99-100,,Defensive rebound by D. Jordan
2:19.0,,,99-100,,C. Paul misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by J. Bayless,,99-100,,
1:56.0,J. Bayless misses 2-pt shot from 20 ft,,99-100,,
1:55.0,,,99-100,,Defensive rebound by C. Paul
1:53.0,Personal foul by J. Bayless (drawn by C. Paul),,99-100,,
1:53.0,,,99-101,1,C. Paul makes free throw 1 of 2
1:53.0,G. Antetokounmpo enters the game for L. Sanders,,99-101,,
1:53.0,,,99-102,1,C. Paul makes free throw 2 of 2
1:29.0,B. Knight makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,102-102,,
1:12.0,,,102-102,,C. Paul misses 2-pt shot from 3 ft
1:12.0,,,102-102,,Offensive rebound by C. Paul
1:12.0,Personal foul by K. Middleton (drawn by C. Paul),,102-102,,
1:12.0,,,102-103,1,C. Paul makes free throw 1 of 2
1:12.0,,,102-104,1,C. Paul makes free throw 2 of 2
0:51.0,B. Knight misses 3-pt shot from 24 ft,,102-104,,
0:49.0,Offensive rebound by J. Dudley,,102-104,,
0:48.0,,,102-104,,M. Barnes enters the game for J. Crawford
0:48.0,Milwaukee full timeout,,102-104,,
0:31.0,B. Knight misses 2-pt shot from 20 ft,,102-104,,
0:29.0,,,102-104,,Defensive rebound by M. Barnes
0:07.0,,,102-104,,C. Paul misses 2-pt shot from 19 ft
0:05.0,,,102-104,,Offensive rebound by B. Griffin
0:05.0,,,102-106,2,B. Griffin makes 2-pt shot at rim
0:05.0,Milwaukee full timeout,,102-106,,
0:02.0,K. Middleton misses 3-pt shot from 22 ft,,102-106,,
0:01.0,,,102-106,,Defensive rebound by C. Paul
0:00.0,End of 4th quarter,,,,End of 4th quarter
