time,Philadelphia,pts.away,score,pts.home,San Antonio
4:27.0,,,67-88,,Personal take foul by A. Daye (drawn by T. Wroten)
4:27.0,,,67-88,,A. Baynes enters the game for B. Diaw
4:14.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,69-88,,
3:55.0,,,69-88,,A. Daye misses 3-pt shot from 25 ft
3:53.0,,,69-88,,Offensive rebound by Team
3:50.0,,,69-90,2,A. Daye makes 2-pt shot from 10 ft (assist by C. Joseph)
3:29.0,T. Wroten misses 3-pt shot from 24 ft,,69-90,,
3:28.0,,,69-90,,Defensive rebound by A. Daye
3:21.0,,,69-90,,Turnover by A. Daye (bad pass)
3:06.0,Turnover by M. Carter-Williams (bad pass; steal by C. Joseph),,69-90,,
3:06.0,Loose ball foul by N. Noel (drawn by C. Joseph),,69-90,,
3:06.0,,,69-91,1,C. Joseph makes free throw 1 of 2
3:06.0,,,69-92,1,C. Joseph makes free throw 2 of 2
3:05.0,,,69-92,,Personal take foul by K. Anderson (drawn by M. Carter-Williams)
3:05.0,M. Carter-Williams misses free throw 1 of 2,,69-92,,
3:05.0,Offensive rebound by Team,,69-92,,
3:05.0,,,69-92,,M. Bonner enters the game for C. Joseph
3:05.0,M. Carter-Williams makes free throw 2 of 2,1,70-92,,
2:48.0,,,70-92,,K. Anderson misses 2-pt shot from 1 ft (block by N. Noel)
2:47.0,,,70-92,,Offensive rebound by Team
2:47.0,,,70-92,,San Antonio full timeout
2:47.0,J. Sampson enters the game for H. Thompson,,70-92,,
2:47.0,D. Gordon enters the game for T. Wroten,,70-92,,
2:47.0,A. Shved enters the game for M. Carter-Williams,,70-92,,
2:41.0,,,70-94,2,A. Daye makes 2-pt shot from 13 ft
2:27.0,Turnover by D. Gordon (lost ball; steal by J. Ayres),,70-94,,
2:12.0,,,70-96,2,A. Daye makes 2-pt shot from 9 ft
1:56.0,K. McDaniels misses 3-pt shot from 23 ft,,70-96,,
1:55.0,,,70-96,,Defensive rebound by A. Baynes
1:33.0,,,70-96,,J. Ayres misses 2-pt shot from 15 ft
1:33.0,Defensive rebound by Team,,70-96,,
1:33.0,,,70-96,,Loose ball foul by A. Baynes (drawn by D. Gordon)
1:33.0,D. Gordon misses free throw 1 of 2,,70-96,,
1:33.0,Offensive rebound by Team,,70-96,,
1:33.0,D. Gordon makes free throw 2 of 2,1,71-96,,
1:20.0,,,71-98,2,M. Bonner makes 2-pt shot from 7 ft (assist by A. Daye)
1:11.0,D. Gordon makes 2-pt shot from 2 ft (assist by A. Shved),2,73-98,,
0:59.0,,,73-98,,A. Daye misses 3-pt shot from 24 ft
0:58.0,,,73-98,,Offensive rebound by A. Baynes
0:51.0,,,73-98,,Shooting foul by N. Noel (drawn by J. Ayres)
0:51.0,,,73-99,1,J. Ayres makes free throw 1 of 2
0:51.0,,,73-100,1,J. Ayres makes free throw 2 of 2
0:36.0,K. McDaniels misses 2-pt shot from 4 ft,,73-100,,
0:35.0,,,73-100,,Defensive rebound by K. Anderson
0:14.0,,,73-100,,K. Anderson misses 2-pt shot from 13 ft
0:13.0,Defensive rebound by K. McDaniels,,73-100,,
0:09.0,K. McDaniels makes 2-pt shot from 1 ft,2,75-100,,
0:09.0,Shooting foul by K. Anderson (drawn by K. McDaniels),,75-100,,
0:09.0,K. McDaniels misses free throw 1 of 1,,75-100,,
0:08.0,,,75-100,,Defensive rebound by A. Baynes
0:00.0,End of 4th quarter,,,,End of 4th quarter
